 	le	chien	aboie	là-bas	dans	la	forêt	parce	qu'	il	a	vu	un	gibier	</S>
a61	0.0485157	0.0674535	0.0886786	0.0672112	0.0890476	0.102879	0.11441	0.0939419	0.0720177	0.058468	0.0425868	0.0357916	0.0329995	0.0388363	0.0471618
a75	0.0546463	0.065068	0.0704887	0.0546582	0.0758798	0.0991292	0.110597	0.0993781	0.0853886	0.0678311	0.0502321	0.0420708	0.0375862	0.0413016	0.0457438
a92	0.0450585	0.0440515	0.0476884	0.0390916	0.0512699	0.0626785	0.0816094	0.0982832	0.109534	0.100162	0.0779546	0.0605537	0.0528015	0.0598114	0.069452
a85	0.0345987	0.0364973	0.0518824	0.0462016	0.0604168	0.0667628	0.0814397	0.0933629	0.109828	0.104548	0.0831887	0.0653111	0.0498242	0.053306	0.0628325
a43	0.0378317	0.0376325	0.0541234	0.0491604	0.060823	0.0635216	0.0756029	0.0864555	0.10131	0.0936456	0.0789653	0.070603	0.0573687	0.0609885	0.0719678
a75	0.0356085	0.0351084	0.0391452	0.0342574	0.0533838	0.0641557	0.0884836	0.105703	0.118105	0.101957	0.0714439	0.053385	0.0482014	0.0643	0.0867618
a79	0.023291	0.0248723	0.043091	0.0386638	0.0584854	0.0623859	0.078261	0.0859392	0.102853	0.101752	0.0792999	0.0726613	0.0591075	0.0729375	0.0963997
a26	0.0186931	0.0211169	0.0369655	0.0354001	0.0561193	0.0637822	0.0815274	0.09174	0.110107	0.106932	0.0812307	0.0709406	0.0570678	0.07188	0.0964977
a40	0.0127212	0.0140644	0.0163394	0.0176826	0.0389048	0.0562424	0.0789151	0.0856566	0.0901549	0.0806292	0.0625745	0.0572822	0.0596987	0.115565	0.213569
a90	0.0196668	0.0215245	0.0346552	0.0364741	0.0591308	0.0655302	0.0738367	0.0719358	0.0751442	0.0773694	0.0694365	0.0746968	0.0712817	0.101327	0.14799
a25	0.0120993	0.0141177	0.0230917	0.025599	0.0477105	0.0591664	0.0737823	0.0799353	0.0940499	0.0968874	0.0839949	0.0767198	0.0656145	0.0970778	0.150154
a90	0.0116211	0.0126398	0.0164549	0.0188523	0.0343331	0.0424727	0.0577624	0.0716078	0.0876269	0.0878283	0.07601	0.0754758	0.0677743	0.119779	0.219761
a58	0.00784163	0.0096911	0.0148131	0.0181952	0.0401128	0.0537533	0.0657998	0.0722703	0.0854666	0.089931	0.0855058	0.0931763	0.0797073	0.112242	0.171493
a75	0.00690859	0.00551997	0.00590552	0.00730964	0.0180918	0.035275	0.0456946	0.0520702	0.0529496	0.047046	0.0436524	0.0649313	0.0790515	0.167578	0.368016
a66	0.0169159	0.0154899	0.01789	0.0231432	0.0412709	0.046181	0.0493738	0.051263	0.0558076	0.0610515	0.0670128	0.0918841	0.0965504	0.144818	0.221348
a0	0.00231359	0.00215699	0.00326091	0.00430703	0.0106347	0.0215978	0.0334448	0.0455388	0.0537622	0.0546128	0.0603101	0.099358	0.10981	0.175239	0.323653
a11	0.00177787	0.00138344	0.00169336	0.00220149	0.00546625	0.0118045	0.0195361	0.0282791	0.0349774	0.0346941	0.0415666	0.0811854	0.112523	0.219307	0.403605
a75	0.00543593	0.00395054	0.00448593	0.00531307	0.0119347	0.0211251	0.0286674	0.0361265	0.0412216	0.0378883	0.0400548	0.0735277	0.104271	0.216579	0.369418
a37	0.00217324	0.00282901	0.00463983	0.00779105	0.0181985	0.0269759	0.0334542	0.0401396	0.0477285	0.0505069	0.0571553	0.0939744	0.114164	0.188199	0.31207
a61	0.000725334	0.000789835	0.00132251	0.00199153	0.00480343	0.0102198	0.016899	0.0246032	0.0306308	0.0297025	0.0336275	0.0668771	0.102011	0.226758	0.449039
a83	0.00142752	0.00139225	0.00196143	0.00241615	0.00484658	0.00841329	0.0130847	0.0210864	0.031199	0.0312628	0.0371485	0.0728774	0.113333	0.238866	0.420685
a25	0.00132985	0.00134355	0.0019706	0.00246214	0.00523938	0.00905906	0.0133414	0.0198576	0.0270785	0.0256248	0.0283117	0.0602026	0.103417	0.253498	0.447264
a75	0.00301867	0.00241698	0.00238768	0.00337996	0.00614922	0.010258	0.0127042	0.0177938	0.0241147	0.0223986	0.0278567	0.0665749	0.132447	0.27469	0.39381
a47	0.000973386	0.000996147	0.00132578	0.00182094	0.00356295	0.00632112	0.00921362	0.0142805	0.0199943	0.0210195	0.0300826	0.0740502	0.131623	0.255439	0.429297
a6	0.000255577	0.000371387	0.000814865	0.00143689	0.00334646	0.00659968	0.00980831	0.0156591	0.0226479	0.0233456	0.0298526	0.0702522	0.127789	0.255797	0.432023
a61	0.000241797	0.000309939	0.000590523	0.000945733	0.00213437	0.00425326	0.00693182	0.0114831	0.015871	0.0159786	0.0218033	0.0588955	0.11845	0.264114	0.477997
a75	0.000576391	0.000660303	0.000923411	0.00121484	0.00235353	0.00387642	0.00560651	0.00919666	0.0136201	0.0133218	0.0190376	0.056816	0.11727	0.269706	0.48582
a37	0.00145775	0.00189504	0.00302718	0.00422539	0.00725224	0.0108308	0.013443	0.0186778	0.0239884	0.023447	0.034518	0.0873628	0.149285	0.246509	0.374081
a44	0.000980625	0.0012048	0.00184231	0.00239439	0.00471243	0.00783667	0.0110506	0.0152837	0.0192413	0.017514	0.0223281	0.0593968	0.119463	0.263252	0.453499
a7	0.000793483	0.0010364	0.00179576	0.00266579	0.00568232	0.00998047	0.0134669	0.0178329	0.0215177	0.0209461	0.0246439	0.0571121	0.112355	0.262539	0.447632
a57	0.00195894	0.00189705	0.00272945	0.00446759	0.00924312	0.01555	0.0192167	0.0244229	0.0293584	0.0305297	0.0350917	0.07208	0.124741	0.246998	0.381715
a87	0.0215146	0.0132309	0.0120394	0.0130807	0.0193473	0.0239529	0.0237496	0.0294866	0.0421517	0.0468394	0.059787	0.0986321	0.139253	0.200076	0.25686
a23	0.12266	0.0695178	0.0370473	0.0302234	0.0319845	0.0277112	0.0271298	0.0336516	0.0499271	0.0613086	0.0867251	0.105446	0.107024	0.10253	0.107114
a87	0.0708342	0.0300322	0.0144035	0.0115335	0.0134325	0.0141162	0.0186528	0.0296712	0.0457942	0.0627267	0.100737	0.140599	0.14371	0.139082	0.164676
</S>	0.011279	0.00743433	0.0058871	0.00612983	0.0105032	0.0152294	0.0219024	0.0339544	0.0442216	0.0493683	0.074348	0.128228	0.168234	0.190598	0.232683
