 	tout	en	chantant	les	femmes	d'	ongondza	sont	en	train	d'	élever	une	butte	en	mémoire	d'	un	mort	</S>
a44	0.0188104	0.0282742	0.0489759	0.0381483	0.0637343	0.0699854	0.0788818	0.082729	0.066387	0.0656151	0.0612082	0.0498553	0.0382628	0.0449402	0.0499065	0.0536318	0.0398096	0.0379865	0.0315367	0.0313207
a98	0.0171542	0.025611	0.0496167	0.036768	0.0592053	0.0702043	0.0844746	0.0856308	0.068075	0.0643025	0.0618196	0.0499134	0.0381565	0.0442975	0.0489296	0.050445	0.0396094	0.0383364	0.0328549	0.0345951
a6	0.0196243	0.029919	0.0393485	0.0316509	0.0470249	0.0542752	0.0635823	0.070112	0.060272	0.0609556	0.05683	0.0505245	0.0402464	0.0465039	0.0530318	0.0655651	0.0560712	0.054087	0.048997	0.0513783
a11	0.0155865	0.0241401	0.0409748	0.0373907	0.0587593	0.0709928	0.0868898	0.0875476	0.0670171	0.0569959	0.0513043	0.0396662	0.0298936	0.035667	0.0435379	0.0593861	0.0516939	0.0497769	0.0434533	0.0493262
a75	0.00750819	0.0134757	0.0465374	0.0360708	0.0697956	0.103858	0.127697	0.11418	0.081937	0.0641544	0.0559522	0.0361877	0.0254756	0.0284477	0.0316621	0.0323821	0.0267907	0.0296641	0.0275591	0.0406639
a47	0.0208428	0.0275145	0.0361882	0.0276218	0.0383205	0.0524198	0.0667311	0.0696522	0.0579978	0.053237	0.0527365	0.0541852	0.0417666	0.048697	0.0468433	0.0549492	0.0537726	0.0599245	0.0622432	0.0743563
a73	0.00814741	0.0114802	0.033086	0.0278915	0.0462421	0.0715976	0.0927275	0.0899424	0.071468	0.0613422	0.0556097	0.0385392	0.0271936	0.0319761	0.038392	0.0504163	0.0488962	0.054618	0.0532938	0.0871404
a44	0.0136273	0.015369	0.0258501	0.0232856	0.0361206	0.0503175	0.0676147	0.0683375	0.0595844	0.0537452	0.0540888	0.0487528	0.039468	0.0477691	0.0519422	0.0651949	0.0595015	0.0654633	0.0635458	0.0904215
a38	0.00744667	0.0113348	0.0291764	0.0245267	0.0403655	0.0604854	0.0784894	0.0772434	0.0609666	0.0497447	0.0489339	0.0418296	0.0355424	0.042834	0.0484777	0.0613355	0.0596934	0.0664051	0.0657282	0.0894407
a4	0.00564483	0.0093644	0.028727	0.0221648	0.0397602	0.065758	0.0844203	0.0835994	0.064187	0.0526124	0.051689	0.0414552	0.0350666	0.041758	0.0478947	0.0565501	0.054551	0.0616618	0.0604263	0.0927089
a93	0.00475023	0.00868887	0.0254324	0.0212763	0.0354931	0.0606675	0.0810282	0.0755462	0.0599394	0.0479232	0.0505146	0.0469827	0.0409143	0.0485631	0.054248	0.0612963	0.0588237	0.0641809	0.0641418	0.089589
a35	0.00368277	0.00652762	0.0201368	0.0174902	0.0317918	0.056667	0.0702336	0.067035	0.0530274	0.0445651	0.0497839	0.0483348	0.0434051	0.0486279	0.0586008	0.0692507	0.0697024	0.0725153	0.068987	0.0996348
a36	0.00665302	0.0109173	0.0253515	0.0244198	0.0394184	0.0691328	0.086351	0.0773176	0.0674509	0.0555255	0.0578393	0.0570567	0.0451412	0.0470337	0.0459935	0.0458647	0.0454956	0.051386	0.0571049	0.0845466
a57	0.0027124	0.004684	0.0130575	0.0127156	0.020285	0.0380035	0.04828	0.0453655	0.0383435	0.0311012	0.0355985	0.0407096	0.0367251	0.0448038	0.0517132	0.0684832	0.0807982	0.0916748	0.106733	0.188212
a87	0.00105662	0.00186827	0.00471272	0.00531072	0.00913307	0.0241606	0.0354499	0.0278748	0.0245714	0.0170672	0.0170739	0.0205519	0.0167166	0.023922	0.0279461	0.0512446	0.0765792	0.110584	0.141718	0.362459
a23	0.0034444	0.00248646	0.0022679	0.00427118	0.00544058	0.0123375	0.0203886	0.0181997	0.0205302	0.0195753	0.0259958	0.045133	0.0346376	0.0460363	0.0453918	0.0790277	0.117488	0.129961	0.166828	0.200559
a54	0.000937484	0.000528266	0.000436583	0.00116432	0.00130677	0.00254624	0.00486127	0.00559808	0.00706081	0.00600642	0.00770153	0.0129221	0.0156516	0.0250941	0.0303893	0.067848	0.109318	0.145442	0.223421	0.331767
a36	0.00304472	0.00356759	0.00834792	0.00837623	0.0164793	0.0306699	0.0362973	0.0322296	0.0298812	0.0248074	0.028684	0.0366071	0.0339781	0.041744	0.0399939	0.053287	0.0787728	0.106653	0.144899	0.24168
a26	0.000747399	0.000924298	0.00304357	0.00380731	0.00742899	0.0142998	0.015446	0.0154609	0.0153531	0.0134298	0.0168667	0.0275082	0.0272617	0.0348773	0.0341676	0.0515502	0.0812998	0.124986	0.160807	0.350734
a57	0.00037577	0.000553255	0.00122407	0.00147665	0.00301124	0.00839391	0.010354	0.00978324	0.0104343	0.00978762	0.0115256	0.0223177	0.022618	0.0307553	0.0279196	0.0489126	0.0769856	0.126673	0.167516	0.409382
a38	0.000447425	0.000501622	0.000802927	0.00120009	0.00227064	0.00747289	0.0118154	0.0101411	0.0114909	0.00962972	0.011458	0.0267776	0.0226735	0.0376908	0.0311664	0.0529469	0.0894899	0.131963	0.178509	0.361553
a75	0.000409049	0.000474407	0.000747489	0.00100638	0.00199051	0.00605516	0.00995126	0.00851684	0.010155	0.010097	0.0133266	0.0286641	0.0305448	0.0423737	0.0387922	0.0649735	0.0948811	0.122452	0.171895	0.342694
a44	0.000884139	0.00116116	0.00263662	0.00292887	0.0050729	0.0111174	0.0146673	0.0142433	0.0151692	0.0145184	0.0195174	0.0373872	0.0372238	0.0496909	0.0476366	0.063035	0.0843661	0.118339	0.158942	0.301463
a13	0.00042681	0.000767238	0.00165273	0.00187648	0.00330171	0.00795238	0.0103793	0.00946772	0.00936459	0.00864135	0.0112383	0.0239472	0.0260036	0.0388401	0.0341459	0.0543667	0.0906892	0.143023	0.174039	0.349877
a54	0.000347343	0.000655136	0.00140302	0.001773	0.00316095	0.00898086	0.0124491	0.0105322	0.0105293	0.0087386	0.0101069	0.0209877	0.0214357	0.0335563	0.0287828	0.0545886	0.0961026	0.143576	0.177361	0.354932
a47	0.000326256	0.000561844	0.00138103	0.00191382	0.00331101	0.00849756	0.00975829	0.00821725	0.00833779	0.006599	0.00795517	0.0173637	0.0169356	0.028805	0.0282962	0.0494873	0.0821439	0.13268	0.185236	0.402194
a5	0.000379505	0.000669648	0.00159263	0.00213051	0.00366228	0.00967367	0.0125749	0.0102619	0.0102581	0.00799066	0.00829296	0.0164331	0.015708	0.0276813	0.0285121	0.0574831	0.0900289	0.148825	0.1758	0.372042
a61	0.000454716	0.000896718	0.00192919	0.00263325	0.00387932	0.00941404	0.0115558	0.00966867	0.00948263	0.0075058	0.00874632	0.019571	0.0197992	0.0330375	0.0283044	0.0484257	0.0834052	0.139303	0.185793	0.376195
a62	0.000600018	0.00108546	0.00186782	0.00237884	0.00384654	0.0099566	0.0123924	0.0103448	0.00973364	0.00772	0.00887975	0.0195384	0.0192811	0.0337374	0.0273037	0.0483245	0.0881655	0.142695	0.186941	0.365207
a47	0.000782346	0.00118613	0.00183751	0.00253953	0.00403599	0.00943061	0.0111948	0.00933011	0.00849043	0.00624858	0.00665562	0.0142592	0.0142937	0.0290012	0.0253424	0.0503879	0.0905423	0.148719	0.192777	0.372946
a83	0.000817317	0.00109499	0.00136063	0.00203124	0.00261276	0.00628335	0.00854033	0.00685954	0.00703287	0.00514153	0.00542044	0.0114318	0.0115028	0.0230756	0.0208202	0.0520939	0.0959452	0.141804	0.198643	0.397488
a18	0.000663451	0.000890696	0.00116575	0.00195972	0.00253106	0.00598019	0.00791328	0.0065198	0.00693044	0.00479377	0.00504815	0.0113581	0.011103	0.02343	0.0210691	0.0502463	0.0950211	0.143807	0.207752	0.391817
a26	0.00140103	0.00144777	0.00173902	0.00295513	0.00288226	0.00563125	0.00701269	0.00665671	0.00672176	0.00525104	0.00603444	0.00928872	0.00955351	0.0161705	0.0175902	0.0473177	0.0967149	0.147855	0.247987	0.359789
a57	0.00353199	0.00286768	0.0028718	0.00368587	0.00448996	0.0080183	0.00837366	0.00755093	0.00740539	0.00750633	0.0105845	0.0189442	0.0215852	0.0333105	0.042566	0.0904943	0.133704	0.159398	0.206709	0.226402
a87	0.00705467	0.00309878	0.00218112	0.00401729	0.00470957	0.00914147	0.0129675	0.0125421	0.0158044	0.0199416	0.0274081	0.0497372	0.0412477	0.0619567	0.0615915	0.0954291	0.121664	0.137892	0.140288	0.171326
a23	0.0310851	0.013575	0.0104119	0.0164551	0.0205719	0.0325495	0.0390328	0.0415754	0.0463506	0.0566743	0.0580218	0.0586301	0.0462471	0.0510536	0.049294	0.0678115	0.078788	0.0885151	0.0857845	0.107573
a87	0.0056138	0.00224933	0.00196926	0.0068948	0.00956007	0.0181196	0.0285352	0.0287339	0.0348244	0.0328492	0.0363277	0.0390075	0.0388695	0.046455	0.0534986	0.0792579	0.0965731	0.117722	0.138184	0.184755
</S>	0.00348073	0.00176817	0.00147201	0.00495191	0.00736604	0.0135688	0.0160597	0.0138775	0.0158331	0.0150656	0.0170289	0.0248337	0.0250967	0.0342914	0.0462475	0.0892884	0.119852	0.154179	0.169102	0.226637
