 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
a31	0.00584091	0.0114776	0.0182276	0.0228677	0.0406318	0.0620435	0.11633	0.0975915	0.11603	0.160434	0.156546	0.191979
a21	0.0103487	0.0147061	0.0211215	0.0296893	0.0537081	0.076303	0.133507	0.0972417	0.0990097	0.123609	0.152758	0.187998
a85	0.0212871	0.0243479	0.0279477	0.0339552	0.0539768	0.0731321	0.119594	0.0796308	0.0804248	0.10857	0.158661	0.218472
a30	0.0259948	0.0349326	0.046708	0.0487154	0.06228	0.0763067	0.097028	0.0563858	0.070575	0.112523	0.162579	0.205972
a2	0.0453466	0.056842	0.0700037	0.0732639	0.0948536	0.118473	0.141107	0.0825703	0.0649709	0.067499	0.0805857	0.104485
a21	0.00899658	0.010323	0.0142747	0.0200882	0.035718	0.05914	0.0944206	0.0515246	0.0628979	0.102408	0.213797	0.326412
a61	0.0256325	0.0290128	0.0442809	0.0566908	0.0734755	0.0805123	0.087281	0.0496001	0.0494554	0.0821169	0.184639	0.237303
a21	0.00900829	0.01162	0.017302	0.0242676	0.0352662	0.0390172	0.0499661	0.0298118	0.0316619	0.068405	0.228022	0.455651
a61	0.0240228	0.0258813	0.0378578	0.0493373	0.0592704	0.0612338	0.0742707	0.0505383	0.0509729	0.0784732	0.174193	0.313948
a43	0.0147066	0.0169644	0.0249552	0.035251	0.0488368	0.0522694	0.0670331	0.0435534	0.0405673	0.0654599	0.18116	0.409243
a75	0.0100737	0.0116946	0.0149676	0.0199155	0.0273331	0.0318814	0.044011	0.0281729	0.0342251	0.0671731	0.213162	0.49739
a41	0.0159184	0.0177479	0.0255653	0.0301571	0.0405102	0.0468714	0.0562431	0.032225	0.0370996	0.0637802	0.196107	0.437775
a24	0.00464887	0.00584979	0.00946736	0.0113382	0.0157988	0.0202871	0.0285528	0.0195274	0.0289681	0.0719081	0.258186	0.525468
a41	0.00387977	0.00378547	0.00482721	0.00590978	0.00819945	0.0109727	0.0178846	0.0125205	0.017864	0.044775	0.205611	0.663771
a5	0.00421531	0.0041897	0.00557416	0.00697946	0.0098807	0.0127536	0.0197969	0.0150363	0.0192031	0.0561625	0.212977	0.633231
a18	0.0103335	0.0108783	0.0160567	0.0196287	0.0313107	0.0428009	0.0584778	0.0355926	0.0395656	0.0788431	0.198449	0.458063
a21	0.00506019	0.00488927	0.00591228	0.00690068	0.0123296	0.0195083	0.0330132	0.0206304	0.0254833	0.0571408	0.180883	0.628249
a5	0.0138899	0.014343	0.0192382	0.023382	0.0292952	0.0319119	0.0406204	0.0252648	0.0282692	0.0597881	0.216846	0.497152
a36	0.0138058	0.0115473	0.0127461	0.0152434	0.0212847	0.0242103	0.0357686	0.021182	0.0224789	0.0512684	0.200949	0.569515
a27	0.0076762	0.00608994	0.00579729	0.0059586	0.0103382	0.0157107	0.0299472	0.0183891	0.0212969	0.0563873	0.190633	0.631776
a53	0.00482508	0.00341246	0.00264193	0.00215534	0.00293159	0.00472399	0.00953915	0.00659887	0.0143505	0.0649519	0.271247	0.612622
a94	0.00395596	0.00283423	0.00201522	0.00217575	0.00309142	0.00470626	0.00844975	0.00611909	0.00972821	0.0309869	0.155091	0.770846
a98	0.00889272	0.00621542	0.00448634	0.00408399	0.00546582	0.00748322	0.0125245	0.00746826	0.00840083	0.0286494	0.168202	0.738127
a9	0.00399565	0.00286653	0.00240874	0.00253504	0.004232	0.00632279	0.0118426	0.0069436	0.00959798	0.034216	0.162189	0.75285
a87	0.00378905	0.0027732	0.00198524	0.00162081	0.00249024	0.00421577	0.00966822	0.00705161	0.0113119	0.0523501	0.179061	0.723682
</S>	0.00366748	0.00278811	0.00187693	0.00141286	0.00138224	0.00204072	0.00365438	0.00377278	0.0130482	0.0764836	0.253253	0.63662
