 	tout	s'	était	passé	comme	le	chef	l'	avait	prédit	</S>
a30	0.000671338	0.000512062	0.00056983	0.00123014	0.00373479	0.00889967	0.017604	0.0395048	0.0657013	0.205001	0.656571
a13	0.00102556	0.000668895	0.000507708	0.000780995	0.00232078	0.00567603	0.0110306	0.0280919	0.0494997	0.196049	0.704349
a70	0.00133831	0.000951907	0.00071663	0.00120162	0.0035751	0.0074962	0.0121888	0.0329442	0.05744	0.223085	0.659062
a56	0.000688449	0.000514646	0.000428661	0.000914145	0.00298654	0.00671552	0.0121664	0.0314158	0.0585645	0.188266	0.69734
a79	0.000391544	0.000326011	0.000340964	0.000794412	0.0027281	0.0057138	0.00968744	0.0237321	0.0463433	0.154844	0.755098
a44	0.000148624	0.000137924	0.000184126	0.000501672	0.00201967	0.00453324	0.00857325	0.0240449	0.0450784	0.174517	0.740261
a54	0.000448931	0.000331976	0.000282318	0.000664031	0.00252359	0.0055072	0.00982348	0.0254271	0.0477631	0.150609	0.75662
a36	0.000247397	0.00020756	0.00021103	0.000483849	0.00208013	0.00390139	0.00581461	0.0147553	0.029662	0.132905	0.809731
a2	0.00418388	0.00309344	0.00206482	0.00272818	0.00653896	0.00888407	0.0129039	0.0251361	0.040216	0.15401	0.74024
a57	0.0226805	0.0160539	0.0131829	0.0151273	0.0207863	0.0263754	0.032985	0.0617176	0.0692593	0.26352	0.458312
a3	0.0428394	0.0171702	0.00997244	0.00781855	0.0103695	0.017096	0.0264018	0.061154	0.0644922	0.256214	0.486471
a97	0.0804259	0.0343055	0.0188578	0.013513	0.018518	0.0329258	0.0510109	0.0959828	0.0988625	0.211957	0.343641
a38	0.0460124	0.0206259	0.0121029	0.0104983	0.0203424	0.0458765	0.0714095	0.112363	0.108934	0.206845	0.34499
</S>	0.0465464	0.0235775	0.0181299	0.0161959	0.0270801	0.0463486	0.06208	0.0978275	0.110242	0.197879	0.354093
