 	je	ne	veux	pas	que	tu	restes	près	de	moi	parce	que	tu	ennuyeux	</S>
a79	0.00362387	0.00475969	0.00790531	0.021009	0.0363454	0.0468165	0.0487386	0.0845879	0.0835678	0.0925865	0.0983671	0.101313	0.103983	0.120505	0.145891
a44	0.00368173	0.00452271	0.00695283	0.0189597	0.0338187	0.0452489	0.0467717	0.0885296	0.0908639	0.101279	0.121734	0.112515	0.107626	0.103471	0.114025
a5	0.00329207	0.00383266	0.00616305	0.0158347	0.0318509	0.0557405	0.0707606	0.148171	0.123329	0.118917	0.111916	0.0831487	0.0753145	0.0723416	0.0793879
a61	0.00303296	0.00356274	0.00494166	0.00940791	0.0147179	0.0245246	0.0298903	0.0777121	0.0852466	0.106363	0.136037	0.131952	0.129029	0.119231	0.12435
a21	0.00294915	0.00338113	0.00431471	0.00742849	0.0119722	0.0211089	0.0316877	0.105478	0.124541	0.136304	0.13832	0.110314	0.0988704	0.0969402	0.10639
a5	0.00326072	0.003763	0.0048444	0.00775259	0.0111369	0.017673	0.0234689	0.074698	0.102072	0.125182	0.143804	0.13126	0.120961	0.113088	0.117034
a37	0.00199943	0.0024429	0.00348775	0.00596518	0.00865512	0.0129672	0.0184954	0.0602963	0.0890398	0.113228	0.131656	0.129874	0.129288	0.136845	0.15576
a6	0.00120572	0.00146547	0.00206611	0.00399303	0.00731576	0.01179	0.0178899	0.0529469	0.0874299	0.105859	0.121856	0.121468	0.132379	0.146985	0.185351
a36	0.000776453	0.000800602	0.000934611	0.00163482	0.0029693	0.00483032	0.00710448	0.0255805	0.0613326	0.0828211	0.106064	0.127926	0.144884	0.172154	0.260187
a54	0.00179523	0.00187439	0.00226396	0.00394463	0.00832673	0.01272	0.0166841	0.0345263	0.0657429	0.0811926	0.0941523	0.112755	0.144049	0.184448	0.235526
a36	0.00182954	0.00162619	0.0016702	0.0022866	0.00375268	0.00537412	0.00759766	0.0189434	0.045606	0.0576001	0.0662657	0.09833	0.131047	0.206471	0.3516
a2	0.00509102	0.0043126	0.00419156	0.00555799	0.0108363	0.0149853	0.0169093	0.0225954	0.0459698	0.0567443	0.0677848	0.107392	0.15716	0.211295	0.269175
a57	0.0091918	0.00787159	0.00765422	0.00997476	0.015506	0.0191816	0.0187968	0.0175781	0.0311202	0.0391383	0.051309	0.0957163	0.162533	0.249911	0.264517
a87	0.0179102	0.0140724	0.0141779	0.0183006	0.025812	0.0318092	0.0358176	0.0301778	0.0357112	0.0435043	0.0502715	0.0895622	0.143637	0.23327	0.215966
a23	0.0406479	0.0229335	0.018763	0.0233115	0.0322377	0.0469154	0.0647988	0.0622614	0.0620329	0.0679631	0.0693774	0.107709	0.124971	0.135051	0.121026
a10	0.0268209	0.0134532	0.00950563	0.0102291	0.0117222	0.0180667	0.0273195	0.0326785	0.0453242	0.053294	0.069139	0.119073	0.165692	0.174367	0.223316
a83	0.00293796	0.00143119	0.0010907	0.00141907	0.00205076	0.0038683	0.00792267	0.0158312	0.0342308	0.0444593	0.067989	0.120874	0.182737	0.211777	0.301381
a18	0.000389498	0.000262015	0.000309331	0.000660996	0.00148194	0.00347376	0.0098759	0.0266358	0.0453202	0.0518343	0.0639003	0.0993056	0.158522	0.221067	0.316962
a70	0.000574922	0.000356244	0.000430952	0.000883666	0.00187635	0.00409232	0.00884462	0.0222195	0.0350242	0.0406845	0.052147	0.0843262	0.149986	0.234459	0.364095
a66	0.000309254	0.000231847	0.000303096	0.000658384	0.00120861	0.00264532	0.00713224	0.0216273	0.0416783	0.0485366	0.0583788	0.0958479	0.154507	0.240676	0.326259
a13	0.000544916	0.000468025	0.000607954	0.00118544	0.00233924	0.00473264	0.0112101	0.0250349	0.0430241	0.046001	0.0480663	0.074958	0.132514	0.256271	0.353042
a66	0.000400174	0.000323685	0.000407304	0.000799857	0.00168605	0.0032235	0.00682893	0.0156786	0.030727	0.0347573	0.0400704	0.0713173	0.136928	0.259496	0.397355
a99	0.00146056	0.00102757	0.00109477	0.00208441	0.00487279	0.00871399	0.0150121	0.0234266	0.0363721	0.0408197	0.0477178	0.0803638	0.133395	0.237219	0.36642
a13	0.00872709	0.00542467	0.00452262	0.00643899	0.0113209	0.01662	0.0221819	0.0260612	0.0368764	0.042762	0.0522243	0.0911589	0.135841	0.217446	0.322394
a9	0.00994811	0.00579331	0.00446078	0.00596769	0.00932653	0.0128019	0.0160445	0.0195255	0.0298106	0.0368487	0.0485731	0.0879005	0.138244	0.231953	0.342801
a24	0.0614523	0.0351687	0.023763	0.026014	0.0308009	0.0371701	0.0336701	0.0282732	0.0374757	0.0488146	0.0638878	0.0928039	0.121278	0.164995	0.194432
a9	0.00967072	0.00416913	0.00282648	0.00350537	0.00402285	0.00600847	0.00687341	0.011863	0.0296623	0.0451138	0.0744151	0.123538	0.185026	0.197505	0.2958
a87	0.0168118	0.00838313	0.00535819	0.00621293	0.00842715	0.0120397	0.011187	0.0144071	0.0287738	0.0395281	0.0568141	0.0884255	0.145787	0.201675	0.356169
</S>	0.0693337	0.0476896	0.0351274	0.0343843	0.0349622	0.04294	0.0322012	0.0208321	0.0323105	0.0443157	0.0592468	0.0752842	0.1057	0.145664	0.220008
