 	les	feuilles	de	l'	arbuste	grimpant	ekuu	sont	utilisées	comme	remède	aux	maux	de	ventre	</S>
a3	0.0140198	0.0101126	0.014118	0.0255933	0.043585	0.0904312	0.0950444	0.156059	0.156974	0.0942319	0.0793029	0.0510447	0.0405689	0.0368473	0.0403011	0.0517664
a87	0.0179768	0.0146186	0.0163443	0.0209525	0.0372005	0.0861804	0.115368	0.174706	0.154254	0.100511	0.0816958	0.0504131	0.0362703	0.0283376	0.0293113	0.0358594
a79	0.0487431	0.0338331	0.0338635	0.0347443	0.0422031	0.0665524	0.0786423	0.117555	0.105393	0.0896685	0.0889325	0.0698367	0.0571346	0.0455132	0.0411947	0.0461894
a12	0.0274584	0.0176874	0.0159672	0.0238616	0.0308373	0.0474311	0.0484702	0.0699362	0.0755131	0.0811809	0.101877	0.10147	0.0832436	0.0703458	0.0847977	0.119923
a18	0.0103436	0.00603313	0.00804215	0.0136257	0.0174913	0.0276174	0.0318674	0.0447686	0.0544917	0.0614752	0.0812593	0.092433	0.0905969	0.114742	0.14208	0.203133
a90	0.00688755	0.00396341	0.00469436	0.00824031	0.0108453	0.019507	0.0211945	0.0360159	0.0481326	0.0624578	0.0920771	0.118046	0.127854	0.141243	0.135887	0.162954
a44	0.0065733	0.00451369	0.00615709	0.0104916	0.0135984	0.0229616	0.0269631	0.0398665	0.0447271	0.0582068	0.0740874	0.0888114	0.0993741	0.145415	0.159264	0.198989
a47	0.0068293	0.00507855	0.00700266	0.0127184	0.0177267	0.030266	0.0354234	0.0516014	0.055207	0.0649168	0.0762014	0.0861187	0.0966019	0.136584	0.1421	0.175624
a62	0.00357313	0.00287428	0.00453493	0.00908045	0.0150853	0.0303337	0.0381497	0.0608387	0.0716892	0.0746856	0.0879147	0.0915733	0.0935141	0.121917	0.130112	0.164124
a34	0.00450112	0.00356799	0.00573859	0.010611	0.016555	0.0388299	0.051458	0.072198	0.0779542	0.0827525	0.0830336	0.0799576	0.0850495	0.120525	0.124863	0.142405
a98	0.00275192	0.00231287	0.00364134	0.00579413	0.00787311	0.0225368	0.0334766	0.0501009	0.0599662	0.0723308	0.0784719	0.0819017	0.0951974	0.152945	0.164216	0.166483
a79	0.000696006	0.000597762	0.00129067	0.00283906	0.00579948	0.0174856	0.0299364	0.0433704	0.0526764	0.0628618	0.0759498	0.0845389	0.0896669	0.139606	0.176849	0.215836
a7	0.00112451	0.000933722	0.00189979	0.00395109	0.00818119	0.0262335	0.0483368	0.0610575	0.0706526	0.0725544	0.0799742	0.0809457	0.0794009	0.116078	0.151308	0.197367
a90	0.00166972	0.00138497	0.00187818	0.00248716	0.00462311	0.0112371	0.0188825	0.033512	0.046147	0.0409645	0.0542034	0.0528512	0.066162	0.128103	0.214192	0.321701
a25	0.00230047	0.00196482	0.00274366	0.00318152	0.0048689	0.011454	0.0221183	0.0284037	0.0347609	0.0376243	0.0498491	0.0539219	0.065179	0.129139	0.221477	0.331013
a79	0.000527017	0.00045147	0.000725837	0.0012003	0.00232326	0.00645776	0.0134961	0.0213419	0.0316512	0.033752	0.0426702	0.0423398	0.0489524	0.101018	0.221791	0.431301
a56	0.000845341	0.000705901	0.000989094	0.00134179	0.00256617	0.00530768	0.00935431	0.0139406	0.0217903	0.0200109	0.0267826	0.0271665	0.0356304	0.0875734	0.226714	0.519281
a96	0.00108717	0.000975682	0.00137554	0.00147356	0.00284341	0.00606391	0.0108875	0.0140319	0.0193276	0.0197584	0.0280134	0.0306895	0.0419671	0.101723	0.247957	0.471825
a43	0.000339257	0.000274438	0.000424244	0.000586977	0.0015986	0.00358558	0.0049897	0.00671458	0.00896476	0.00806023	0.0105065	0.0118306	0.0206563	0.083694	0.255534	0.58224
a11	0.000866754	0.000683196	0.000912643	0.00121463	0.0034807	0.00691049	0.00694253	0.0120886	0.0167111	0.0157148	0.0175936	0.0190802	0.0339891	0.105174	0.248825	0.509812
a70	0.00346149	0.00285087	0.00294177	0.00351367	0.00911211	0.0157182	0.0127152	0.0255974	0.0272143	0.0211256	0.0222532	0.0244991	0.0459595	0.123552	0.242125	0.417361
a66	0.00146196	0.00121681	0.00139128	0.0016652	0.00495347	0.00916286	0.00852518	0.0171548	0.0186919	0.0148191	0.0160507	0.0185588	0.0358427	0.111876	0.259988	0.478642
a9	0.0150159	0.015224	0.0161349	0.0173408	0.0315589	0.0353583	0.030174	0.0424049	0.0375575	0.0310907	0.0293378	0.03441	0.0523908	0.109243	0.19359	0.309169
a10	0.039391	0.0394582	0.0409642	0.0403446	0.0634669	0.0493392	0.0450471	0.0429556	0.0364048	0.0318487	0.0346108	0.0436721	0.0617597	0.0962815	0.13978	0.194676
a87	0.101063	0.073161	0.0480458	0.0360386	0.0453654	0.0399098	0.0329254	0.0348244	0.0327293	0.0415124	0.0505873	0.0583999	0.0690955	0.0890987	0.116569	0.130675
a23	0.0943231	0.0643258	0.0363282	0.0252606	0.0343784	0.0414162	0.0368276	0.0424903	0.0430868	0.0658934	0.0796718	0.0770248	0.0712541	0.0785928	0.0982108	0.110915
a99	0.0302424	0.0179223	0.00946499	0.00795414	0.0103111	0.0125046	0.0106693	0.0122931	0.0171357	0.0365515	0.056409	0.0761089	0.0887234	0.13117	0.202721	0.279819
a87	0.0156881	0.00919089	0.00607545	0.00636956	0.00757931	0.0113096	0.0135983	0.0168934	0.0246429	0.038292	0.0499717	0.0686308	0.0757659	0.124423	0.206284	0.325285
</S>	0.022705	0.0129887	0.00773652	0.00677451	0.00656202	0.0128595	0.0143323	0.0189911	0.0222927	0.0279915	0.0299765	0.0359351	0.0411615	0.094175	0.210824	0.434694
