 	le	gibier	qu'	ils	ont	laissé	dans	la	cuisine	est	déjà	dépécé	</S>
a44	0.00150312	0.00173519	0.00213368	0.00370275	0.00604785	0.0114976	0.0179446	0.0275456	0.0338329	0.0581244	0.0781127	0.246948	0.510872
a21	0.000648275	0.000685459	0.0011819	0.00224902	0.00472321	0.00770893	0.0124606	0.0131201	0.0125077	0.015751	0.0230122	0.149748	0.756204
a47	0.000428577	0.000472308	0.00062679	0.000917234	0.0014334	0.00222803	0.00379436	0.00571843	0.00795501	0.0119284	0.0237112	0.180386	0.7604
a31	0.000947366	0.00110804	0.00175273	0.00273455	0.00547565	0.0086252	0.0136292	0.0171057	0.0176794	0.0185966	0.0214688	0.100693	0.790184
a43	0.000554152	0.00051389	0.00075824	0.00111329	0.00215077	0.0033845	0.00547999	0.0069445	0.00744661	0.00911752	0.0141345	0.104266	0.844136
a47	0.00123074	0.00131448	0.00218779	0.00347292	0.00777635	0.0130685	0.0227755	0.0272398	0.0240246	0.0249124	0.0257485	0.12955	0.716699
a88	0.00133137	0.00165418	0.00310904	0.00487838	0.00996893	0.0140227	0.0198565	0.02158	0.0207014	0.0195501	0.0203421	0.0953804	0.767625
a62	0.000846063	0.000859633	0.00158252	0.00242353	0.00509346	0.0078237	0.0134383	0.0144444	0.0126869	0.0146883	0.0183337	0.099858	0.807922
a0	0.00101836	0.00102826	0.00153553	0.00220986	0.00428417	0.00694329	0.0121537	0.0148877	0.0132992	0.0151663	0.0174412	0.0911415	0.818891
a9	0.00112196	0.00102595	0.00173242	0.00262047	0.0056485	0.00904609	0.0158457	0.0170822	0.0124613	0.0165406	0.0209501	0.112408	0.783517
a87	0.0168596	0.0130879	0.0134152	0.0177068	0.0330985	0.0457753	0.0504007	0.0647141	0.0554694	0.0642392	0.0691189	0.174226	0.381889
a23	0.121314	0.0554293	0.0450571	0.046771	0.0483213	0.0534902	0.0520342	0.0586917	0.0588207	0.0714721	0.12155	0.141414	0.125634
a87	0.0821919	0.0228577	0.0179393	0.0156675	0.0134081	0.0142848	0.0180717	0.0197849	0.0219675	0.0340834	0.0667981	0.169717	0.503228
</S>	0.0210027	0.00665558	0.00541424	0.00500163	0.00478702	0.00600178	0.0100062	0.0133558	0.0144372	0.0261096	0.051241	0.179035	0.656952
