 	l'	enfant	roule	par	terre	parce	que	sa	mère	l'	a	tapé	</S>
a21	0.0133122	0.026537	0.0367465	0.0557462	0.0785599	0.130651	0.174656	0.161087	0.0800847	0.0449494	0.030064	0.0437037	0.123903
a47	0.037917	0.0573276	0.0739196	0.0876829	0.0951127	0.114743	0.1348	0.113942	0.0689597	0.0486336	0.0377439	0.0465196	0.0826983
a62	0.0224501	0.0371798	0.0583951	0.0735193	0.0904499	0.117091	0.133942	0.11165	0.0650547	0.0463621	0.0416669	0.0672566	0.134983
a83	0.018392	0.0282934	0.0447376	0.0568693	0.0758079	0.113776	0.140638	0.123526	0.0713728	0.049734	0.0488237	0.0763346	0.151695
a62	0.0121056	0.0215156	0.032124	0.0535229	0.0701305	0.106145	0.124055	0.102808	0.059333	0.0428975	0.0512195	0.104402	0.219741
a88	0.013475	0.0239025	0.0380082	0.0531731	0.0660334	0.0968237	0.117679	0.103325	0.0647252	0.0504781	0.061741	0.113779	0.196857
a71	0.00790058	0.0134475	0.0229706	0.0382081	0.0498763	0.0773558	0.0918282	0.0782347	0.0477434	0.0386511	0.0581631	0.153606	0.322015
a9	0.00598086	0.00845365	0.012071	0.0235193	0.0355607	0.063913	0.0801456	0.0764655	0.0512196	0.0406226	0.0562893	0.149534	0.396225
a87	0.00936363	0.0111436	0.0145968	0.0246925	0.0390791	0.0696551	0.0913394	0.11002	0.0887095	0.0638518	0.0593906	0.131778	0.28638
a23	0.0180709	0.0160842	0.0193084	0.0240409	0.03541	0.0544192	0.0795552	0.11343	0.126605	0.117594	0.107778	0.119358	0.168346
a10	0.00416433	0.00304865	0.00280104	0.00342735	0.00670263	0.0131934	0.0199949	0.0278552	0.0378869	0.0559076	0.0900044	0.218688	0.516326
a50	0.00085551	0.000879013	0.00124733	0.00205942	0.00428003	0.00898842	0.0118607	0.0140212	0.0168097	0.0296192	0.0687409	0.225875	0.614763
a75	0.00023363	0.000300176	0.000453884	0.000795126	0.00136412	0.00309214	0.00442746	0.0054383	0.00696414	0.0126775	0.0355462	0.203342	0.725365
a92	0.000294596	0.000612112	0.00101483	0.00161241	0.00208985	0.00356425	0.00471263	0.0065877	0.00821195	0.0134793	0.0468306	0.302577	0.608413
a56	0.000315551	0.000660276	0.00105639	0.0018174	0.00236863	0.00386032	0.00476058	0.0056127	0.00701169	0.0117842	0.0415849	0.316099	0.603068
a96	0.000229171	0.000376532	0.000550285	0.000773429	0.00116702	0.00195457	0.0027446	0.0040255	0.0060833	0.0122085	0.0425	0.275673	0.651714
a93	0.000222806	0.000389998	0.000657641	0.000960339	0.00145547	0.00251366	0.00323864	0.00414278	0.0052366	0.00994453	0.0362241	0.238534	0.696479
a90	0.000127463	0.00021582	0.000395	0.000644518	0.00106304	0.00209529	0.00279575	0.00356603	0.00422858	0.00794264	0.0292067	0.233535	0.714184
a98	0.000127945	0.000250086	0.000480172	0.000845006	0.00125295	0.00218381	0.00272095	0.00348409	0.0047052	0.0101195	0.0385735	0.236519	0.698738
a79	0.000126749	0.000251957	0.000382134	0.000658078	0.000878314	0.00139155	0.00159444	0.00187873	0.00231018	0.0047591	0.0202398	0.169776	0.795753
a44	0.000105163	0.000178809	0.000340642	0.000618675	0.00103711	0.00178817	0.00221485	0.00291659	0.00392651	0.00724171	0.023851	0.133922	0.821859
a21	0.000495963	0.000687098	0.00113279	0.00189238	0.00336123	0.00591691	0.00645129	0.00718935	0.00794129	0.0127718	0.0340201	0.171108	0.747032
a34	0.000247651	0.000342902	0.000722369	0.00125836	0.00219078	0.00425695	0.00578877	0.00711547	0.00629194	0.00925864	0.0334967	0.20853	0.720499
a93	0.000365384	0.000410481	0.000692177	0.00113051	0.00205731	0.00386878	0.00469115	0.0052765	0.00478999	0.00669774	0.0208319	0.18376	0.765428
a44	0.000351232	0.000477336	0.00101353	0.00156676	0.00266027	0.00463206	0.00560397	0.00652413	0.00619833	0.00858977	0.0240978	0.224916	0.713369
a26	0.000426784	0.000598595	0.00130403	0.00207246	0.00331528	0.00502962	0.00580558	0.00652038	0.00665141	0.0104611	0.031369	0.235434	0.691012
a3	0.00973684	0.00815737	0.00587796	0.0090301	0.0110582	0.0158325	0.0177656	0.0212604	0.0227105	0.0228388	0.0413299	0.231227	0.583174
a87	0.0925551	0.0509025	0.0258458	0.0261073	0.0313198	0.0407464	0.0507484	0.0675685	0.0957971	0.0841864	0.0808693	0.135059	0.218294
a23	0.133441	0.0658389	0.022452	0.0200005	0.0239099	0.0305723	0.0472487	0.0973953	0.15941	0.134998	0.0924944	0.0794358	0.0928038
a87	0.053913	0.023569	0.00850724	0.00826426	0.0118621	0.0218677	0.0382555	0.0819605	0.123958	0.110328	0.120919	0.136585	0.26001
a23	0.00548322	0.0042516	0.00259292	0.00318346	0.00575222	0.0113731	0.0160625	0.0271918	0.0503116	0.0658703	0.102881	0.220628	0.484418
a87	0.0108117	0.00764872	0.00392251	0.00473014	0.00953731	0.0213165	0.0348005	0.0622389	0.0868306	0.0841853	0.102659	0.195972	0.375347
</S>	0.0111825	0.00956751	0.0049476	0.00678472	0.0139331	0.0295145	0.0445615	0.0708662	0.086807	0.0763456	0.0885751	0.180446	0.376469
