 	qui	parmi	vous	a	laissé	l'	argent	pour	les	courses	</S>
a62	0.00107644	0.000730157	0.000947527	0.00169832	0.0044088	0.0119912	0.024315	0.0518993	0.13789	0.219056	0.545988
a83	0.000731732	0.000531001	0.00074199	0.00121312	0.00256724	0.00817456	0.0147175	0.0467098	0.157678	0.251879	0.515056
a75	0.000569414	0.000446856	0.000637455	0.000976767	0.00200501	0.00699878	0.0117083	0.0387226	0.137214	0.226299	0.574422
a36	0.000223219	0.000193063	0.000294735	0.000525195	0.00144799	0.00517122	0.0106615	0.0323667	0.107942	0.200597	0.640578
a27	0.0026294	0.0021968	0.00190059	0.00187963	0.00247058	0.00738257	0.0128309	0.0461624	0.141695	0.206007	0.574844
a82	0.0707034	0.0660494	0.0627692	0.0544219	0.0440019	0.0584345	0.0650721	0.0775356	0.111457	0.114972	0.274583
a87	0.171998	0.094363	0.0552253	0.0518156	0.0543104	0.0507225	0.0535743	0.048369	0.0673389	0.101512	0.250771
a23	0.222933	0.181933	0.0484841	0.0296808	0.0234135	0.0313609	0.0433534	0.0610999	0.0890715	0.127014	0.141655
a99	0.124048	0.0671517	0.0204243	0.0108771	0.009011	0.0130504	0.0213763	0.0492121	0.103166	0.172445	0.409239
a3	0.0592387	0.0293405	0.0155753	0.0135902	0.0131179	0.0219564	0.032033	0.0539643	0.100187	0.184905	0.476091
a99	0.0398467	0.0247807	0.0108827	0.0111631	0.0153818	0.0312712	0.0400249	0.060408	0.0898783	0.171709	0.504654
a97	0.0375564	0.0243297	0.0124309	0.011734	0.0127109	0.0265007	0.0382795	0.0630908	0.0991687	0.179772	0.494427
a87	0.0831404	0.0427403	0.0220609	0.0237276	0.0353132	0.0548816	0.0611826	0.072445	0.0912916	0.14603	0.367187
a97	0.124703	0.0801623	0.0314681	0.0292016	0.0347225	0.0479102	0.0555545	0.065231	0.0807852	0.137415	0.312847
a87	0.136653	0.0850369	0.032254	0.0349732	0.0452754	0.059498	0.0666422	0.0740423	0.0828012	0.1283	0.254524
a23	0.164143	0.12504	0.0426739	0.0398136	0.0446285	0.0455389	0.0522277	0.0584091	0.0678913	0.114929	0.244705
a87	0.0635435	0.0434816	0.0235532	0.0148995	0.0142376	0.022036	0.0296296	0.0490827	0.0853013	0.168388	0.485847
</S>	0.0552992	0.036486	0.0263451	0.0177757	0.0191042	0.0232384	0.0280801	0.042932	0.0755174	0.153058	0.522164
