 	dans	ce	village	que	tu	sois	pauvre	ou	riche	on	t'	enterre	avec	un	drap	blanc	</S>
a4	0.0631594	0.0375828	0.0304771	0.0295998	0.047243	0.0540788	0.0895986	0.0838735	0.0753119	0.0739764	0.0646958	0.0608515	0.0634112	0.055795	0.0441045	0.0568322	0.0694086
a44	0.0156647	0.0111286	0.0134151	0.0179753	0.0394838	0.0389484	0.0617512	0.0613966	0.0582526	0.0720936	0.0792457	0.0648799	0.0633091	0.0748456	0.0874616	0.130045	0.110103
a11	0.012355	0.009445	0.0118505	0.0152144	0.0315199	0.0337802	0.0572067	0.0593787	0.0650114	0.0803075	0.0915733	0.0780681	0.0717047	0.070409	0.0797648	0.123182	0.109229
a62	0.0112259	0.00823162	0.00978979	0.0116694	0.0214909	0.0237469	0.0483713	0.0533294	0.0638824	0.0855823	0.0897233	0.0852251	0.0804055	0.0752868	0.0809072	0.121237	0.129895
a88	0.0092161	0.00706101	0.00832947	0.0106524	0.0190051	0.0227813	0.0522162	0.0620304	0.0871656	0.107226	0.0894523	0.104683	0.0921576	0.0754756	0.0702639	0.0886858	0.0935987
a50	0.0069135	0.00568662	0.00679851	0.00917505	0.0167516	0.0189034	0.0407832	0.047331	0.0680347	0.0889542	0.0707802	0.096609	0.102891	0.0877392	0.079829	0.108649	0.144171
a70	0.00900668	0.00755749	0.00857475	0.011009	0.0187288	0.0190222	0.0322	0.0348812	0.0482807	0.0612373	0.0466176	0.0701697	0.0914272	0.0948466	0.0948226	0.151056	0.200562
a13	0.0111802	0.0101164	0.011015	0.0143682	0.0225318	0.0239697	0.0362947	0.0393083	0.051272	0.0643031	0.049055	0.0747729	0.0956067	0.10116	0.094353	0.13474	0.165953
a9	0.0092894	0.00794663	0.00795614	0.00958797	0.0151962	0.0150623	0.0252999	0.0305296	0.0361818	0.0554029	0.0453377	0.0671771	0.0972995	0.114652	0.111365	0.164505	0.187211
a99	0.022317	0.0194941	0.0204329	0.0208888	0.0269691	0.0312142	0.0447121	0.0512712	0.0621797	0.0768238	0.066012	0.0857782	0.116674	0.0973056	0.0706169	0.0844144	0.102896
a87	0.0264889	0.0155622	0.0131111	0.0104516	0.0117416	0.0107191	0.0191506	0.0267475	0.035693	0.0507302	0.0444251	0.0609136	0.101702	0.117794	0.110442	0.163639	0.180689
a23	0.0751903	0.0432626	0.0307027	0.0156181	0.0132624	0.00960417	0.0140875	0.0218991	0.0307336	0.0554894	0.0633651	0.0889761	0.135504	0.134288	0.104766	0.0908097	0.072441
a79	0.0453307	0.0237801	0.0162098	0.00883074	0.00813685	0.00489955	0.00855337	0.0128246	0.0206332	0.0401467	0.0548719	0.0592149	0.11011	0.151777	0.130565	0.14354	0.160575
a44	0.00160115	0.000772229	0.000627431	0.000437799	0.000612067	0.000545984	0.00160753	0.00278532	0.00456622	0.0137973	0.017726	0.0317302	0.103536	0.202786	0.197798	0.228337	0.190733
a90	0.00115705	0.000633323	0.000638728	0.000658979	0.00118358	0.00154136	0.00348166	0.00406018	0.00774851	0.0171963	0.0185339	0.0354873	0.0826273	0.157811	0.155471	0.236941	0.274829
a79	0.000901412	0.000653069	0.000793569	0.00104595	0.00206891	0.0029717	0.00640154	0.00664503	0.012397	0.0221865	0.0211519	0.0361381	0.058472	0.119331	0.136762	0.258787	0.313293
a37	0.000324017	0.000310167	0.000422037	0.000715343	0.00176604	0.00312644	0.0079484	0.0094358	0.018233	0.0296552	0.0250254	0.0514846	0.0583914	0.0860697	0.102255	0.252354	0.352484
a6	0.000809163	0.00068822	0.000888514	0.00126055	0.00217394	0.00305758	0.0051758	0.00685495	0.0137475	0.0242893	0.0222777	0.0423956	0.052174	0.0908322	0.104798	0.254036	0.374541
a37	0.000448183	0.000411038	0.000572947	0.000845803	0.00150564	0.00222288	0.00389889	0.00530316	0.0105351	0.0207765	0.020432	0.0434607	0.056569	0.0888337	0.0979554	0.255621	0.390608
a36	0.000377054	0.000344328	0.000505642	0.00079169	0.00150037	0.00223573	0.00343846	0.00509667	0.0104387	0.0173008	0.0152702	0.0308559	0.0461971	0.0772135	0.0919637	0.263204	0.433266
a2	0.000368581	0.000307598	0.000398719	0.000613191	0.00121673	0.00169877	0.00302471	0.00498653	0.00858239	0.014848	0.0126937	0.0222096	0.0342603	0.0742184	0.0861072	0.255223	0.479242
a57	0.00744573	0.00669262	0.00660536	0.00665902	0.00870027	0.0102918	0.0162402	0.0315331	0.0387942	0.0594208	0.0440591	0.0784393	0.0929683	0.127198	0.114995	0.157431	0.192527
a87	0.0200968	0.0139277	0.0118683	0.0100325	0.0119028	0.0135578	0.0167217	0.0239465	0.0365579	0.0574795	0.0560214	0.091922	0.135393	0.160146	0.126364	0.111997	0.102065
a23	0.0393173	0.0258152	0.0199431	0.0100588	0.0091692	0.00792175	0.0113034	0.0144409	0.0244518	0.0525127	0.0632114	0.0854438	0.164449	0.176977	0.122798	0.0979628	0.0742241
a40	0.0131662	0.00730796	0.00508387	0.00280441	0.00295138	0.0016547	0.00252228	0.00389238	0.00720652	0.0225999	0.042552	0.0703292	0.164194	0.19644	0.135933	0.147965	0.173398
a7	0.00170823	0.000841636	0.000796715	0.000586671	0.000930916	0.000940991	0.00236234	0.00377806	0.00842468	0.0280471	0.0312971	0.0577606	0.125363	0.17531	0.141213	0.186958	0.233681
a13	0.000144426	0.000110742	0.000142973	0.000197318	0.000489874	0.000771696	0.00230467	0.00297666	0.00619316	0.0182876	0.0173279	0.0456646	0.095546	0.145604	0.130571	0.221512	0.312155
a83	0.000130188	0.0001072	0.000144485	0.000216602	0.000484547	0.000770788	0.00205177	0.00307304	0.00705264	0.0157693	0.0148818	0.0349693	0.0777748	0.14032	0.136103	0.247227	0.318924
a54	0.000261447	0.000227849	0.000315637	0.000451746	0.000950273	0.0013614	0.0021677	0.00308915	0.00720419	0.0115278	0.010861	0.0219568	0.0507021	0.107975	0.120558	0.268219	0.392171
a79	9.18224e-05	7.96582e-05	0.000101253	0.000157536	0.000360701	0.000494414	0.00105913	0.00151316	0.00361809	0.00746431	0.00648141	0.0194094	0.0535932	0.139508	0.168336	0.277723	0.320008
a37	3.46199e-05	3.30344e-05	4.63086e-05	8.25248e-05	0.000196077	0.000296696	0.000614364	0.000930428	0.00233129	0.00447033	0.00384643	0.0126047	0.0332549	0.0806502	0.110268	0.310846	0.439494
a44	7.03741e-05	5.97339e-05	8.45187e-05	0.000141303	0.000301788	0.000409502	0.000825218	0.00146026	0.00302023	0.00570063	0.00504233	0.0116514	0.0301378	0.0738864	0.089567	0.282609	0.495033
a70	0.000169226	0.000142644	0.000188471	0.000287755	0.000625136	0.000955589	0.00182475	0.00275131	0.00469368	0.0074193	0.0063564	0.0109489	0.0245972	0.0713308	0.0934512	0.271657	0.5026
a83	0.000246479	0.000211171	0.000276525	0.000398972	0.000889433	0.00131824	0.00253279	0.00339562	0.00550262	0.00882181	0.00775407	0.0119641	0.026597	0.0763096	0.0939871	0.259704	0.500091
a71	0.000398487	0.000368382	0.00045507	0.000670017	0.00153288	0.0024028	0.00426531	0.00562802	0.00843912	0.0121983	0.0100212	0.014255	0.0312555	0.0842106	0.0985145	0.248389	0.476996
a27	0.00174592	0.0016701	0.00177038	0.00197687	0.00324451	0.00424612	0.00687702	0.0138071	0.0147211	0.0242291	0.0214201	0.033353	0.052579	0.0950913	0.0967335	0.225134	0.401401
a10	0.00791236	0.00752851	0.00816786	0.00867562	0.0116405	0.0141619	0.0169859	0.0310446	0.0353389	0.0523082	0.0431861	0.0762155	0.085143	0.117959	0.115824	0.166365	0.201543
a87	0.0244272	0.0185225	0.0190284	0.0175466	0.021182	0.0240048	0.0228923	0.0301285	0.0449685	0.0712606	0.0703811	0.102563	0.0982818	0.109908	0.097701	0.10998	0.117224
a23	0.0690223	0.0428652	0.0335466	0.0196625	0.0223435	0.02126	0.0274981	0.0312915	0.0554885	0.0892454	0.0981352	0.110598	0.116812	0.0989493	0.0601113	0.0512165	0.0519543
a87	0.0136795	0.00633288	0.00519959	0.00290166	0.00424714	0.00295458	0.0046694	0.00706066	0.0150611	0.0378734	0.0631505	0.104816	0.144187	0.131994	0.0905667	0.150086	0.21522
</S>	0.00966412	0.0044873	0.00361149	0.00197274	0.00283243	0.00244949	0.00421841	0.00615527	0.016987	0.0350373	0.0433289	0.0882421	0.114375	0.118045	0.0870081	0.173877	0.287709
