 	il	était	en	train	d'	entasser	les	poissons	pour	les	vendre	</S>
a44	0.0191661	0.0198058	0.0269623	0.0327536	0.0410034	0.0340738	0.0623054	0.0900885	0.116455	0.141132	0.163707	0.252547
a93	0.00581468	0.00585944	0.00938865	0.0135674	0.0198871	0.0107218	0.0236158	0.0453697	0.0907665	0.149149	0.220661	0.405199
a13	0.00410477	0.00471129	0.00931177	0.0144482	0.0224609	0.0108726	0.0252429	0.0468833	0.0888484	0.141583	0.2301	0.401433
a98	0.00117431	0.00127039	0.00238933	0.003676	0.00696771	0.00388575	0.0113193	0.0213451	0.0530357	0.123286	0.253633	0.518017
a47	0.00584341	0.00606594	0.0101362	0.015922	0.0234805	0.018842	0.0435831	0.0681149	0.106834	0.157978	0.216435	0.326765
a41	0.00270707	0.00276314	0.00514466	0.00873429	0.0130145	0.0100874	0.0257513	0.0451755	0.0849489	0.161903	0.248052	0.391718
a26	0.00311395	0.00325402	0.00562497	0.00925326	0.0153525	0.0108598	0.0244321	0.0398659	0.0755491	0.152441	0.251183	0.40907
a57	0.00137933	0.00114476	0.00180147	0.00276393	0.00439384	0.00286326	0.0116079	0.0278777	0.0766192	0.169404	0.271622	0.428522
a10	0.00416992	0.00284538	0.00358205	0.00489039	0.00645118	0.00506817	0.0164791	0.034355	0.0869548	0.18743	0.24667	0.401103
a50	0.0140518	0.00878658	0.0102157	0.0121142	0.0138821	0.0139663	0.0470561	0.077281	0.129282	0.207007	0.205003	0.261354
a88	0.00975135	0.0063961	0.00733602	0.00817202	0.00893495	0.00813289	0.0267362	0.0511478	0.107378	0.203151	0.232509	0.330355
a61	0.000527768	0.000456415	0.00081954	0.00127337	0.00224583	0.00199508	0.0101203	0.0216969	0.0584161	0.156386	0.244647	0.501416
a36	0.000828922	0.000757411	0.00137387	0.00196799	0.0031844	0.00221804	0.00944195	0.0214867	0.057058	0.14114	0.24085	0.519692
a2	0.00249995	0.00177928	0.00264757	0.00347753	0.00459366	0.00329595	0.0106664	0.022484	0.0607547	0.161263	0.245366	0.481172
a57	0.00984008	0.00691747	0.00828312	0.0086746	0.00890866	0.00796018	0.0235052	0.0426104	0.09075	0.193905	0.237819	0.360827
a87	0.0228744	0.0162652	0.0179428	0.0193027	0.0202736	0.0199966	0.0544715	0.0819976	0.122457	0.180997	0.195322	0.2481
a23	0.0467774	0.0320346	0.0331353	0.0388671	0.0481284	0.0519122	0.0938496	0.0927546	0.107868	0.133935	0.137378	0.18336
a87	0.0325855	0.019518	0.0194077	0.0237322	0.0296623	0.02916	0.0776319	0.0870456	0.127788	0.161812	0.166054	0.225602
a97	0.0119743	0.0086125	0.0114344	0.0162806	0.0196746	0.0188441	0.0571082	0.0636487	0.0942453	0.166637	0.203653	0.327887
a99	0.043403	0.0274085	0.0365765	0.0544309	0.0631398	0.0755478	0.104418	0.0750946	0.0809147	0.116892	0.123873	0.1983
a97	0.0568997	0.0343659	0.0415941	0.0592594	0.0693195	0.0843168	0.0959604	0.0698176	0.0768019	0.105793	0.114958	0.190913
</S>	0.0675433	0.0390784	0.0459438	0.061207	0.0645781	0.0682665	0.0825138	0.0653353	0.0754113	0.105749	0.118188	0.206186
