 	sur	cette	bande	de	terrain	il	a	fait	une	belle	plantation	</S>
a20	0.0328147	0.0163586	0.0219969	0.0222038	0.0271784	0.0469243	0.0684389	0.112018	0.119861	0.126872	0.171397	0.233936
a41	0.0552659	0.0374481	0.0483248	0.0539762	0.0613514	0.124074	0.137992	0.159638	0.116793	0.0684806	0.0649045	0.0717517
a27	0.0287186	0.0220638	0.030769	0.0395738	0.0493695	0.125661	0.146302	0.168248	0.123293	0.0788678	0.0829912	0.104143
a11	0.0138293	0.0105214	0.0158996	0.0205348	0.0245246	0.0693614	0.0916608	0.150396	0.146457	0.120644	0.149863	0.186308
a62	0.0102971	0.00797707	0.0126597	0.0155013	0.0193236	0.0606182	0.0877037	0.153155	0.175204	0.153248	0.149374	0.154939
a18	0.0137298	0.0118094	0.0189472	0.0246143	0.0298234	0.105892	0.133172	0.177126	0.153424	0.118024	0.110435	0.103002
a88	0.0116194	0.00879188	0.0138439	0.0148546	0.0163359	0.0702556	0.0978537	0.149511	0.152082	0.150713	0.16097	0.153169
a71	0.0135004	0.0100293	0.0130076	0.0129079	0.0134229	0.0590196	0.0890054	0.149932	0.161509	0.156304	0.16304	0.158322
a53	0.014839	0.010693	0.0136629	0.0120729	0.0119484	0.0429342	0.0692782	0.13862	0.169957	0.173013	0.176873	0.166109
a90	0.0240656	0.0184298	0.0140569	0.0149972	0.0154475	0.0350702	0.0508009	0.0946626	0.122179	0.159076	0.213468	0.237747
a94	0.0231808	0.0170332	0.0119014	0.0123632	0.0121439	0.0280736	0.0373137	0.0634835	0.0888282	0.151832	0.233557	0.320289
a66	0.0211854	0.0142117	0.0104466	0.00895823	0.00756206	0.0170022	0.0238011	0.0442292	0.0721767	0.17056	0.26926	0.340607
a54	0.0225335	0.0158609	0.0132725	0.0100747	0.00748944	0.0164563	0.0222954	0.0460515	0.0745271	0.162458	0.272553	0.336428
a73	0.0203539	0.0111786	0.00631244	0.00517795	0.00457418	0.0151976	0.0229116	0.0390967	0.0558035	0.123103	0.251437	0.444853
a94	0.00826305	0.00437714	0.00270851	0.00281872	0.00292172	0.0151046	0.0228241	0.0382474	0.0612248	0.151585	0.273316	0.416609
a66	0.00750545	0.00425786	0.00305736	0.00267779	0.00230475	0.0117714	0.0178811	0.0349542	0.0565838	0.149162	0.29311	0.416735
a38	0.00517493	0.00308071	0.00233242	0.00191323	0.00173303	0.0064287	0.0103791	0.0256054	0.0457133	0.134071	0.298692	0.464875
a75	0.00652187	0.00299622	0.00212443	0.00157863	0.00153664	0.00662145	0.00999709	0.0212739	0.0377065	0.124366	0.299223	0.486055
a41	0.00887514	0.00420384	0.00299813	0.00251966	0.00261469	0.0102465	0.0145999	0.0250621	0.0408067	0.128346	0.299999	0.459728
a18	0.00393716	0.00191752	0.00131675	0.00130101	0.0014615	0.00742593	0.0111436	0.0199809	0.0355786	0.12121	0.309603	0.485124
a25	0.00470101	0.00263828	0.00168865	0.00115462	0.000927795	0.00391081	0.00567665	0.0130068	0.0242269	0.0836367	0.268253	0.590179
a87	0.00369922	0.0019162	0.00131415	0.00104498	0.000975938	0.00263482	0.00400175	0.0100214	0.0223358	0.100478	0.314891	0.536686
</S>	0.00268941	0.00134258	0.000928439	0.000794655	0.000778118	0.00305966	0.00466003	0.00862445	0.022807	0.119982	0.320506	0.513828
