 	ondouma	était	stérile	mais	le	guérisseur	l'	a	rendue	féconde	</S>
a13	0.0549319	0.0895266	0.121242	0.145837	0.143654	0.12458	0.0993201	0.0750063	0.0475304	0.0450934	0.0532787
a53	0.0426963	0.0724977	0.106168	0.152393	0.150356	0.134023	0.106125	0.0814264	0.0489703	0.0458493	0.0594949
a4	0.0427444	0.0673642	0.0889474	0.13833	0.138342	0.127448	0.0985255	0.0836276	0.0571642	0.0681195	0.0893863
a13	0.0473544	0.0725017	0.0912097	0.132765	0.129395	0.110379	0.0862625	0.0752877	0.056521	0.0871334	0.111191
a20	0.0433098	0.0692716	0.0890413	0.146524	0.14689	0.128287	0.093397	0.0761807	0.0456191	0.0673967	0.0940823
a73	0.0682041	0.0853172	0.0942447	0.129952	0.12409	0.105915	0.078098	0.0701424	0.0524745	0.0840927	0.10747
a2	0.0594534	0.0781528	0.0860939	0.143482	0.141571	0.127229	0.0954254	0.0786447	0.0477934	0.0642331	0.0779213
a57	0.0230952	0.034175	0.0365721	0.0897039	0.104586	0.153006	0.114085	0.127103	0.0867014	0.0868113	0.14416
a87	0.0349409	0.0362926	0.0355814	0.08496	0.0943561	0.133191	0.11181	0.11411	0.0812602	0.11001	0.163488
a23	0.0506354	0.0472999	0.0518982	0.0876233	0.0787207	0.0895041	0.0772713	0.0929293	0.0810204	0.142013	0.201085
a18	0.0515371	0.0435583	0.0454437	0.0675337	0.051723	0.0479689	0.0425594	0.0466126	0.0505221	0.167763	0.384778
a54	0.031455	0.0436681	0.0568897	0.0902673	0.0842174	0.07839	0.0624316	0.0553835	0.0325162	0.123817	0.340964
a73	0.0668216	0.0671015	0.0780475	0.0958401	0.0854482	0.0743742	0.0665634	0.0611719	0.0567136	0.108491	0.239427
a37	0.0507603	0.0636448	0.0681273	0.104449	0.106968	0.0995603	0.0882636	0.0774086	0.0492623	0.0914978	0.200058
a54	0.0476962	0.0579429	0.0550911	0.0806405	0.0871215	0.0952106	0.0860854	0.0795286	0.0646427	0.116062	0.229978
a41	0.0325315	0.0425359	0.0467762	0.0648096	0.0668089	0.0741361	0.0699166	0.07857	0.0936042	0.158241	0.27207
a66	0.032108	0.0429267	0.053269	0.0843865	0.0856206	0.0940481	0.0835777	0.0856127	0.077167	0.12365	0.237634
a75	0.00979622	0.0170679	0.0199159	0.0458928	0.0539151	0.0841107	0.0744414	0.0981606	0.0901893	0.162222	0.344288
a73	0.0270291	0.0379334	0.0431022	0.062306	0.0689015	0.0899959	0.0869382	0.0946202	0.108919	0.144503	0.235751
a37	0.015559	0.0267189	0.0313471	0.0546292	0.0595536	0.0878291	0.0766445	0.102623	0.109996	0.16198	0.27312
a61	0.0149523	0.0243478	0.0264543	0.0483564	0.0515594	0.0772843	0.0679845	0.0846753	0.106741	0.164922	0.332723
a66	0.0157619	0.0233468	0.0240979	0.041233	0.0430862	0.0639896	0.0569681	0.0723222	0.105327	0.173277	0.380589
a57	0.00441503	0.0063694	0.00665788	0.0120763	0.0127574	0.023834	0.0224181	0.0396642	0.0695077	0.221874	0.580427
a90	0.00297068	0.00378663	0.00427862	0.00835515	0.00895178	0.0193152	0.0183922	0.0377398	0.0739444	0.235777	0.586489
a44	0.011948	0.0163711	0.0208287	0.0367771	0.0406803	0.0680011	0.0597471	0.0827864	0.141369	0.189352	0.332138
a61	0.013946	0.0185519	0.0216478	0.0384504	0.0402867	0.0645543	0.0544174	0.0696111	0.100665	0.177708	0.400161
a0	0.00958946	0.0126881	0.0129966	0.0225386	0.0231774	0.0385857	0.0328433	0.0447161	0.0723658	0.196874	0.533624
a75	0.00760633	0.00870063	0.00920446	0.0128667	0.0123444	0.0204931	0.0165828	0.0276776	0.0548798	0.203157	0.626487
a73	0.0123892	0.0146282	0.0143846	0.0219872	0.022333	0.0351807	0.028863	0.0376342	0.0737138	0.200182	0.538704
a69	0.0100674	0.0133385	0.0115656	0.0165215	0.0166479	0.0245014	0.0189918	0.0281918	0.0512343	0.181716	0.627224
a84	0.00750305	0.011113	0.0126828	0.0202435	0.0210043	0.0355883	0.0289561	0.0474349	0.0917274	0.195393	0.528354
a87	0.00237558	0.00311561	0.00297603	0.00474662	0.00489368	0.00842083	0.00705711	0.0139217	0.0311205	0.188778	0.732594
</S>	0.00424982	0.00501545	0.00377374	0.00574373	0.00547202	0.00914427	0.00700636	0.015633	0.0374814	0.260055	0.646425
