 	le	manioc	que	nyebhi	a	préparé	hier	s'	est	déjà	durci	</S>
a75	0.0152172	0.016678	0.01772	0.0193282	0.037891	0.0607896	0.118488	0.145617	0.169633	0.123841	0.109173	0.165625
a85	0.00449841	0.0048395	0.00579086	0.00972034	0.0178447	0.029094	0.0743638	0.106032	0.161661	0.141525	0.171604	0.273026
a73	0.00311322	0.00343158	0.0040925	0.00496787	0.00928209	0.0158018	0.0487716	0.0779547	0.136596	0.142083	0.19993	0.353976
a7	0.00923836	0.00825013	0.00878425	0.00974726	0.0175511	0.0256876	0.0607429	0.0860229	0.127081	0.136012	0.166181	0.344702
a44	0.00979417	0.0092227	0.00993997	0.00866204	0.0179991	0.0230854	0.0522157	0.0721727	0.1066	0.123093	0.162681	0.404534
a34	0.00714644	0.00621404	0.00675227	0.00803596	0.0145945	0.0182606	0.0447793	0.0660833	0.112399	0.144055	0.183915	0.387764
a96	0.00276825	0.00243833	0.00268638	0.00276143	0.00660518	0.0101108	0.0309745	0.0536299	0.106872	0.160394	0.218011	0.402748
a62	0.00143518	0.00140525	0.00155269	0.00135921	0.00367872	0.00592613	0.0189351	0.0361324	0.0786848	0.156412	0.249892	0.444586
a0	0.000984607	0.0010243	0.00117798	0.00112654	0.00331418	0.00550986	0.01631	0.0305112	0.0718106	0.156494	0.268866	0.44287
a75	0.000976794	0.00111305	0.00133632	0.00103129	0.00287777	0.00396707	0.0121429	0.0223408	0.0529893	0.132886	0.267775	0.500564
a25	0.000208978	0.000217113	0.000232424	0.000258148	0.00073594	0.0011685	0.00456875	0.0105107	0.0306787	0.0977624	0.263858	0.5898
a69	0.000281558	0.000236337	0.000238196	0.000271963	0.000663386	0.000873562	0.00294481	0.00643408	0.0176937	0.0570671	0.212618	0.700677
a98	0.000524069	0.000507876	0.00051168	0.000490906	0.00118027	0.00147516	0.00402203	0.0070475	0.0180569	0.05603	0.193259	0.716895
a47	0.000419143	0.000431157	0.000465337	0.000538224	0.00119979	0.00141721	0.00379504	0.00638777	0.0145006	0.0474581	0.181053	0.742335
a37	0.000293227	0.000281563	0.000282322	0.000325376	0.000708842	0.00091537	0.00313534	0.00635176	0.0173719	0.0566125	0.19912	0.714601
a96	0.000774694	0.00060701	0.000551781	0.000476518	0.00112968	0.00135121	0.00425874	0.00843384	0.0224885	0.0636711	0.213966	0.682291
a66	0.0023552	0.00193428	0.00173005	0.00117052	0.0030211	0.00353962	0.0105253	0.0177832	0.039055	0.0911813	0.2312	0.596504
a18	0.00986044	0.0068118	0.0052745	0.0025478	0.00583992	0.00587208	0.0137496	0.019717	0.0380657	0.0785893	0.216714	0.596958
a27	0.0592894	0.0392412	0.0279583	0.014347	0.0241376	0.0204259	0.0308695	0.0344522	0.0479022	0.0764836	0.166784	0.458109
a9	0.128618	0.0794942	0.0513983	0.0262764	0.038419	0.0319644	0.0397071	0.0404063	0.0504919	0.0703383	0.126036	0.31685
a97	0.141211	0.0911312	0.0626452	0.0525436	0.0562307	0.0456739	0.043116	0.0385731	0.0488437	0.071905	0.11689	0.231237
a87	0.0903413	0.064982	0.046073	0.0356706	0.0482054	0.0455164	0.0534559	0.05117	0.0663143	0.0899878	0.14513	0.263153
a10	0.0573333	0.0442628	0.037082	0.0288695	0.049267	0.0491475	0.0631141	0.0608799	0.0721977	0.0972384	0.159103	0.281505
a87	0.0410393	0.0317082	0.0239483	0.0188258	0.0366692	0.0363609	0.0488176	0.0481606	0.0558938	0.0869197	0.184466	0.387191
</S>	0.040816	0.0349915	0.0304546	0.0287693	0.0537207	0.0448108	0.0500006	0.0451159	0.0487676	0.0772163	0.160208	0.385129
