 	elle	est	en	train	d'	emballer	du	manioc	avec	les	feuilles	sauvages	tsere	</S>
a90	0.0194604	0.0149109	0.0138808	0.0177932	0.0204037	0.0262388	0.0357287	0.0582426	0.0950346	0.11203	0.113492	0.125606	0.181196	0.165982
a25	0.00987787	0.00779825	0.00745565	0.0101053	0.013188	0.0187276	0.0272552	0.0461077	0.0868769	0.122637	0.14501	0.150496	0.175359	0.179106
a79	0.00560686	0.00434151	0.00393868	0.00514741	0.00635264	0.00933703	0.0132647	0.0243356	0.0548868	0.0993986	0.12409	0.147679	0.23059	0.271031
a75	0.00386873	0.00343596	0.00336281	0.00467744	0.00604111	0.00990038	0.0141004	0.0268682	0.0622368	0.105373	0.113206	0.139065	0.22636	0.281505
a92	0.00291054	0.00258389	0.00248094	0.00301567	0.00331293	0.00524197	0.00650078	0.0131382	0.0360275	0.0768613	0.103392	0.150275	0.266532	0.327728
a79	0.00320029	0.0024368	0.00205295	0.00225647	0.00198878	0.0024392	0.00284844	0.00551961	0.0159304	0.0479272	0.083604	0.149001	0.284172	0.396623
a56	0.00324718	0.00216238	0.00165075	0.00192806	0.00176729	0.00218601	0.00255781	0.00464086	0.0121355	0.0397169	0.0742284	0.148501	0.294058	0.411219
a21	0.00340983	0.00241879	0.00188198	0.00212847	0.00169249	0.00223885	0.00231755	0.00392082	0.0100153	0.0339796	0.0723111	0.146466	0.288012	0.429208
a5	0.00226125	0.00153688	0.0011096	0.0012325	0.00104652	0.0012334	0.00121374	0.00184581	0.00517895	0.0197696	0.0540728	0.138267	0.304268	0.466963
a23	0.0016224	0.00116467	0.000853699	0.00096113	0.000740226	0.000870369	0.000832295	0.00132994	0.00395085	0.016116	0.0459274	0.121061	0.313675	0.490895
a18	0.00158729	0.00148288	0.0013993	0.00181676	0.0018402	0.00251528	0.00283642	0.00600677	0.0136183	0.0382145	0.0683645	0.14974	0.332234	0.378344
a25	0.0148267	0.0127427	0.0120151	0.0150331	0.0163337	0.022032	0.024492	0.0334275	0.0473888	0.0728437	0.0917211	0.138683	0.230444	0.268016
a87	0.0603185	0.0448379	0.0394863	0.0464785	0.0485417	0.064648	0.0697191	0.0773358	0.0794044	0.0795647	0.0755757	0.0843898	0.107833	0.121866
a23	0.153151	0.107702	0.0827385	0.0959151	0.107923	0.156765	0.109517	0.0563667	0.0363566	0.0241859	0.0201394	0.0172323	0.0155501	0.0164577
a87	0.0377137	0.023196	0.0161029	0.018071	0.0145982	0.0195712	0.0127158	0.00943475	0.0131305	0.0287826	0.0640856	0.144847	0.255863	0.341887
</S>	0.0127881	0.00827178	0.00684074	0.00847641	0.008117	0.0105852	0.010088	0.00863542	0.0133784	0.0280372	0.0558922	0.121164	0.30649	0.401236
