 	il	ne	mange	plus	les	baguettes	de	man	ioc	à	cause	du	mal	des	dents	</S>
a47	0.00791724	0.00745543	0.0107998	0.0211472	0.0445317	0.0911844	0.168621	0.19853	0.11857	0.0736318	0.0536064	0.0432803	0.0286164	0.0271108	0.0443026	0.0606944
a37	0.0123402	0.00877755	0.00969197	0.0128832	0.0184105	0.033309	0.0941314	0.156121	0.166312	0.13431	0.0932652	0.0539354	0.0280901	0.0366382	0.0660037	0.0757812
a47	0.0190379	0.0143704	0.0146609	0.0156355	0.018865	0.0296165	0.0636358	0.0990691	0.139293	0.166234	0.128964	0.0663831	0.0303791	0.0342894	0.0713049	0.0882611
a37	0.00953127	0.00640558	0.00650284	0.00749072	0.0096224	0.0154874	0.0408647	0.0716504	0.109651	0.138081	0.118325	0.0748793	0.0383972	0.0546227	0.132078	0.166411
a75	0.00812081	0.0062461	0.006783	0.00790667	0.0107818	0.0182697	0.0379356	0.0544732	0.0940125	0.135445	0.124532	0.0844448	0.0464546	0.061195	0.136424	0.166976
a47	0.00186262	0.00160849	0.00246093	0.00367141	0.00519673	0.00802786	0.0178006	0.0255599	0.0541187	0.0775383	0.0760469	0.0792911	0.0799692	0.117155	0.215007	0.234686
a36	0.000969278	0.000635978	0.00079719	0.00110727	0.00169582	0.0032255	0.00971575	0.0178494	0.0446024	0.0651994	0.0636582	0.0566105	0.0564744	0.106084	0.259038	0.312336
a54	0.00197598	0.00124296	0.00106945	0.001066	0.0011375	0.00102696	0.00282025	0.00761798	0.0171374	0.0282501	0.0290382	0.0244412	0.0359362	0.0946657	0.310428	0.442146
a47	0.000633179	0.00040406	0.000486171	0.000611189	0.000804193	0.000990764	0.00302506	0.00645207	0.0153104	0.0231799	0.0254379	0.0294879	0.056019	0.136831	0.303916	0.396411
a37	0.000287617	0.000195	0.000270241	0.00040104	0.000554176	0.000885238	0.00246006	0.00504345	0.0149975	0.0205543	0.0229867	0.0270742	0.0609886	0.139282	0.298557	0.405463
a79	0.000711845	0.0004201	0.000398754	0.000460018	0.000579784	0.000614613	0.00217209	0.00456528	0.00889681	0.012094	0.0127768	0.0131009	0.0270961	0.0762239	0.293354	0.546535
a44	0.000609118	0.00036177	0.000382705	0.000525391	0.000664838	0.0007179	0.00225437	0.00388344	0.0074191	0.0104011	0.0120375	0.0145184	0.0344258	0.0948407	0.29332	0.523638
a4	0.00179345	0.00107978	0.00101349	0.00130282	0.00172628	0.00199118	0.00560881	0.00853062	0.0129453	0.0132517	0.0144863	0.0173082	0.0375612	0.0870094	0.270632	0.523759
a13	0.00304098	0.0019567	0.00177388	0.00219955	0.00318916	0.00392258	0.00881938	0.0129225	0.0185831	0.019345	0.0212081	0.0256701	0.0527434	0.105311	0.256626	0.462688
a53	0.00129736	0.00105872	0.000826685	0.0011654	0.00231912	0.0026634	0.00553817	0.0077415	0.0139736	0.011552	0.0140327	0.0199292	0.0541671	0.118799	0.291317	0.453619
a7	0.0014319	0.00121584	0.00115591	0.00176287	0.00333481	0.00393267	0.00692953	0.00930911	0.0173979	0.0154493	0.0186017	0.0243648	0.0583746	0.125315	0.281647	0.429777
a84	0.000579198	0.000484086	0.000381245	0.000603042	0.00128216	0.00155689	0.00352731	0.00435981	0.0092384	0.00799986	0.00992858	0.0132682	0.0428672	0.121655	0.295814	0.486454
a87	0.0696847	0.0400657	0.0272607	0.0230073	0.0246789	0.0167515	0.0320882	0.033591	0.0652167	0.0766813	0.100859	0.09976	0.0867532	0.0764789	0.0978126	0.12931
a23	0.242576	0.178411	0.0977609	0.0684451	0.0586	0.0363307	0.0343122	0.029503	0.03067	0.0450715	0.0506137	0.0434219	0.0327329	0.0233676	0.0138737	0.0143094
a87	0.096123	0.0753356	0.0435323	0.0347814	0.0272112	0.0131426	0.0245982	0.0215942	0.0203328	0.0238478	0.0345296	0.0537637	0.100032	0.162821	0.132527	0.135828
</S>	0.0506744	0.0441468	0.0267423	0.0189971	0.0143482	0.00752468	0.015875	0.0173449	0.0235215	0.0261997	0.0302198	0.0307693	0.0626269	0.144445	0.212919	0.273645
