 	l'	enfant	est	calme	dans	le	lit	parce	que	le	bruit	du	véhicule	lui	a	fait	peur	</S>
a24	0.0482359	0.0257698	0.0200224	0.0232217	0.031544	0.0503016	0.0629436	0.0833064	0.0854441	0.0881104	0.0761812	0.0677962	0.0598926	0.0558584	0.0576897	0.0500439	0.0536483	0.0599896
a88	0.00608037	0.0040715	0.00396793	0.00586016	0.0111453	0.0271962	0.0447076	0.0667642	0.0824132	0.086025	0.0739828	0.0690496	0.0573097	0.0605811	0.068896	0.0809331	0.117482	0.133535
a61	0.00322409	0.00208146	0.00228177	0.00481624	0.0095418	0.0186646	0.0252149	0.0370146	0.0460839	0.0504534	0.0440642	0.0427979	0.0437036	0.0553821	0.0747418	0.11438	0.199103	0.226451
a75	0.00523033	0.00416311	0.00472267	0.00975857	0.0177518	0.0274106	0.0360721	0.0465105	0.0561071	0.0579635	0.0469239	0.0422846	0.0390806	0.0469596	0.0604378	0.094618	0.184099	0.219906
a92	0.0019763	0.00202707	0.00298437	0.00682576	0.0119427	0.0182474	0.0241113	0.0336509	0.0438598	0.0533201	0.0496558	0.0500443	0.0480763	0.0551031	0.0687036	0.102177	0.192975	0.234318
a56	0.00216851	0.0024291	0.00344647	0.00714936	0.0114501	0.0184633	0.0269338	0.038804	0.0480435	0.0589736	0.061075	0.0636067	0.0611095	0.0678449	0.0801044	0.105039	0.163415	0.179945
a96	0.00221081	0.00278341	0.00379567	0.00691028	0.0130083	0.022881	0.0343363	0.0453331	0.0597628	0.0698875	0.067884	0.068403	0.0661151	0.0749672	0.0908212	0.108298	0.133984	0.128618
a90	0.00213545	0.00257892	0.0032874	0.00573253	0.0114428	0.0211717	0.0347904	0.0466018	0.0623193	0.0724969	0.0685035	0.0684018	0.0637694	0.0745536	0.0940507	0.11604	0.131866	0.120257
a25	0.000954593	0.00115378	0.00145968	0.00289243	0.00640137	0.0133561	0.0219296	0.030643	0.0430814	0.0574991	0.0564985	0.0628908	0.0630546	0.0766352	0.0973442	0.132539	0.167858	0.163808
a69	0.00052479	0.000538261	0.000690631	0.0014953	0.00329924	0.00771271	0.014116	0.020719	0.0297084	0.042046	0.0426896	0.0466443	0.0491273	0.0635453	0.0837755	0.138498	0.213618	0.241251
a94	0.0013045	0.00132191	0.00142223	0.00200178	0.00359366	0.00799626	0.013913	0.0192473	0.0292153	0.0410199	0.041927	0.051202	0.0572144	0.072125	0.0971309	0.148632	0.205061	0.205672
a90	0.000790471	0.000855478	0.000959153	0.00148309	0.0030429	0.00758721	0.014732	0.0197658	0.0286372	0.0388917	0.0375365	0.0424211	0.0427447	0.0575558	0.0838145	0.147257	0.222754	0.249171
a44	0.000642321	0.000636378	0.000726087	0.00116963	0.00219587	0.00544533	0.0104888	0.0162235	0.0252348	0.0377909	0.0393435	0.0448332	0.0455649	0.060022	0.0789318	0.13612	0.223399	0.271232
a62	0.000822456	0.000787646	0.000843032	0.00104506	0.00182664	0.00429489	0.0091981	0.0130033	0.0191722	0.0280493	0.0283099	0.0339442	0.0341675	0.0508724	0.0743253	0.148127	0.250311	0.3009
a88	0.000978657	0.000981038	0.00127343	0.00191124	0.00321226	0.00641047	0.013362	0.0179612	0.0232847	0.0309065	0.0257042	0.0276707	0.0257513	0.0436032	0.0701982	0.156135	0.243001	0.307656
a75	0.000531776	0.000560351	0.000846864	0.00160918	0.00286199	0.00585324	0.0122664	0.016368	0.0200119	0.0265224	0.0207135	0.0218944	0.0203003	0.0352795	0.0576403	0.146967	0.252169	0.357604
a92	0.000159322	0.00016077	0.000221601	0.000391166	0.000809976	0.00232802	0.00527495	0.00826346	0.0106767	0.0161383	0.0156629	0.0191506	0.0179739	0.0306633	0.0512883	0.14536	0.269286	0.406191
a79	0.000128639	0.000148382	0.000219188	0.000434623	0.000973357	0.00279859	0.00623656	0.00936535	0.0119817	0.0176375	0.0171546	0.0205829	0.0194081	0.0329003	0.0541703	0.137799	0.258801	0.40926
a69	0.000158873	0.00016266	0.000234198	0.000443572	0.000898078	0.00260418	0.00609097	0.00992202	0.0130106	0.0194368	0.0191897	0.0213859	0.0190605	0.0331885	0.0495653	0.124287	0.25269	0.427672
a4	0.000231139	0.000256586	0.000367548	0.000621571	0.0012901	0.00342129	0.00761118	0.0109712	0.0140631	0.0202238	0.0188031	0.0198764	0.017256	0.0293611	0.0459354	0.119363	0.245903	0.444445
a53	0.000304554	0.000333572	0.000479537	0.000793672	0.0014877	0.00352343	0.00748176	0.0103165	0.0123775	0.017411	0.0153201	0.0169388	0.0151764	0.0273121	0.0438669	0.118857	0.25292	0.455099
a4	0.000210112	0.000224919	0.000343339	0.000645829	0.00124422	0.00311249	0.0068585	0.00976848	0.011684	0.0168934	0.0148068	0.0153535	0.0131287	0.0240978	0.0370583	0.105903	0.242549	0.496118
a58	0.000374749	0.000402754	0.000609624	0.00105004	0.00182416	0.00359083	0.00755861	0.0103456	0.0120785	0.0162256	0.0142627	0.0142979	0.0141687	0.0246362	0.0415154	0.121309	0.263575	0.452175
a82	0.00380742	0.00350225	0.00434953	0.00606914	0.00727068	0.0116041	0.0197517	0.025224	0.0314824	0.0362388	0.0371557	0.0294925	0.0310973	0.0456042	0.0609694	0.120238	0.20752	0.318622
a10	0.0366766	0.0256199	0.0225162	0.0248959	0.029391	0.0337346	0.0398392	0.0448562	0.0536417	0.0550263	0.0552437	0.0408904	0.0427695	0.0500957	0.055939	0.0861676	0.124915	0.177782
a87	0.121429	0.0614661	0.0321841	0.0206958	0.0204607	0.0225096	0.0271978	0.0311294	0.0353448	0.0375769	0.039567	0.0363751	0.0369307	0.0476516	0.0561073	0.0875102	0.126342	0.159523
a23	0.115131	0.0749289	0.0399917	0.0228688	0.0212927	0.0240787	0.0304632	0.0334861	0.0378882	0.0417787	0.0414534	0.0438007	0.043835	0.0582286	0.0667196	0.088513	0.104396	0.111146
a87	0.0409596	0.0236063	0.0127585	0.00691071	0.00655243	0.00870261	0.0105302	0.0147672	0.0164445	0.0254907	0.0287684	0.0401965	0.0423545	0.0706897	0.0813256	0.137653	0.192355	0.239935
a97	0.0072524	0.0046522	0.00308823	0.0028206	0.00368605	0.00594024	0.00902038	0.0120733	0.0115443	0.016888	0.0179178	0.0205685	0.0214092	0.0386528	0.048719	0.118352	0.247558	0.409857
a99	0.0278062	0.0175692	0.013021	0.0119855	0.0157095	0.0276934	0.0416516	0.0443272	0.0365118	0.038208	0.0348543	0.033712	0.0283452	0.0432726	0.0464762	0.087988	0.171763	0.279105
</S>	0.0290579	0.0174441	0.0117374	0.00892411	0.0116022	0.0201837	0.0302796	0.0371265	0.0321698	0.037631	0.0362027	0.039517	0.0359599	0.0567228	0.0636097	0.107422	0.170474	0.253936
