 	j'	ai	attrapé	la	mante	religieuse	lorsque	je	revenais	de	la	pêche	</S>
a79	0.0208974	0.0260436	0.0390558	0.0811184	0.130806	0.0939563	0.103063	0.116332	0.0985139	0.0639596	0.0549642	0.072368	0.0989223
a56	0.0117782	0.0153712	0.0251917	0.0677024	0.135164	0.102145	0.114138	0.133814	0.113483	0.0727316	0.0532567	0.0638796	0.0913442
a96	0.0130777	0.0155566	0.0254681	0.0628734	0.123455	0.103367	0.125419	0.141867	0.117892	0.0765658	0.0542413	0.058555	0.0816627
a62	0.00819406	0.0100073	0.0183689	0.053567	0.120892	0.0960315	0.124919	0.1579	0.138875	0.09022	0.0575303	0.0542863	0.0692076
a83	0.0090953	0.0101077	0.0196518	0.0488134	0.101081	0.0872952	0.129606	0.158297	0.142259	0.098052	0.0665478	0.0578354	0.071359
a9	0.00544554	0.00625407	0.0115551	0.0333983	0.0868501	0.072624	0.110605	0.156774	0.159176	0.124609	0.0837952	0.069226	0.0796872
a99	0.00735097	0.00853802	0.0108236	0.0279725	0.0972297	0.082757	0.115409	0.173873	0.206776	0.114821	0.0606458	0.0447195	0.0490836
a87	0.00638428	0.0069168	0.00836212	0.01573	0.0507899	0.0522248	0.0953982	0.169856	0.266152	0.130182	0.0715786	0.0595575	0.0668679
a23	0.0210304	0.0177106	0.0167807	0.0198219	0.0360432	0.0391337	0.0700084	0.1305	0.208344	0.131702	0.0925844	0.0953407	0.121
a70	0.0163081	0.0118752	0.0112776	0.0147234	0.0256674	0.0248211	0.0317041	0.0582985	0.0770401	0.120686	0.117792	0.193283	0.296523
a13	0.00163387	0.00158613	0.0020485	0.00342847	0.00628338	0.00463088	0.00678308	0.0132992	0.0189227	0.0369756	0.109247	0.318185	0.476976
a70	0.00200273	0.00218963	0.00335796	0.00765966	0.0164111	0.0121525	0.0168142	0.0320491	0.0425255	0.0625222	0.140469	0.27826	0.383587
a93	0.00162549	0.00164691	0.00265217	0.00600352	0.0110091	0.00903091	0.0152425	0.0305145	0.0387628	0.059913	0.141395	0.288089	0.394115
a70	0.00127251	0.00131741	0.00237299	0.00508257	0.00946741	0.00797576	0.0121662	0.0195129	0.0262763	0.040406	0.115176	0.306613	0.452361
a50	0.00116186	0.00114934	0.00211626	0.00472969	0.00827427	0.00684217	0.0104385	0.0178119	0.022738	0.0360283	0.120684	0.299847	0.468179
a62	0.00153868	0.001509	0.00220212	0.00513632	0.0107252	0.00861664	0.0115099	0.023861	0.0323481	0.0470162	0.155475	0.306141	0.39392
a34	0.00106057	0.00101119	0.00181109	0.00350631	0.00696323	0.00659785	0.00989323	0.017227	0.0239006	0.0362999	0.12721	0.27827	0.486249
a90	0.000443669	0.00040309	0.000699521	0.00159124	0.00327206	0.00307692	0.00525282	0.011878	0.0194307	0.0297743	0.107749	0.292128	0.5243
a44	0.000107563	9.89036e-05	0.00017609	0.000476649	0.00112811	0.00100353	0.00183769	0.00548599	0.0108896	0.0217413	0.0965143	0.308567	0.551973
a4	0.000126784	0.000112305	0.000182169	0.000467889	0.00136751	0.00113674	0.00187223	0.00633924	0.0127677	0.0207577	0.0840038	0.268469	0.602397
a57	6.29735e-05	5.69775e-05	9.3311e-05	0.00028967	0.000879695	0.000702917	0.00109689	0.00369614	0.00754594	0.0136182	0.0639354	0.250237	0.657785
a82	7.90694e-05	7.42025e-05	0.000118953	0.000303883	0.0010106	0.000764151	0.00107357	0.00390391	0.00901461	0.01187	0.0524426	0.220634	0.698711
a97	0.00459814	0.0033857	0.00444831	0.00607072	0.00854205	0.00657127	0.00657315	0.0113612	0.0362932	0.0413269	0.129656	0.257391	0.483782
a87	0.044507	0.0248109	0.0198417	0.0202333	0.025953	0.0276014	0.0336247	0.0611412	0.100758	0.100686	0.13501	0.18383	0.222002
a23	0.0877355	0.0462575	0.0246221	0.023052	0.0377525	0.0471954	0.063659	0.107867	0.151779	0.106766	0.0842871	0.103837	0.11519
a87	0.106171	0.0505476	0.0227662	0.0140035	0.0192196	0.0230751	0.0251668	0.0578548	0.072757	0.0730806	0.102754	0.168031	0.264573
a97	0.0229074	0.0118488	0.00628834	0.00593132	0.0123239	0.0166704	0.0191068	0.0438709	0.0576396	0.0535696	0.0874814	0.22552	0.436841
a87	0.0391594	0.0213866	0.0126042	0.0166824	0.0430601	0.0579704	0.0590473	0.0862055	0.09214	0.0504461	0.053683	0.13878	0.328834
a23	0.093819	0.0553436	0.0263001	0.0240377	0.0579327	0.0811597	0.0842118	0.106694	0.103674	0.0531517	0.041954	0.0870662	0.184656
a10	0.0582438	0.0323406	0.0155877	0.0101507	0.016296	0.0204663	0.0226205	0.0434948	0.0488227	0.0483066	0.0769777	0.204534	0.402159
a87	0.0285907	0.0152714	0.0103664	0.0113289	0.0209083	0.0242924	0.0217195	0.035165	0.0384831	0.0393781	0.0822048	0.221557	0.450734
</S>	0.0866566	0.043025	0.019954	0.0146593	0.0265671	0.0344366	0.0342317	0.0447144	0.0438407	0.0317683	0.0512317	0.166961	0.401953
