 	on	ne	peut	parler	sérieusement	il	blague	toujours	</S>
a75	0.00753386	0.00495523	0.00511101	0.00382744	0.00808425	0.0316651	0.132623	0.324257	0.481944
a73	0.0179478	0.0140694	0.0147627	0.0133236	0.0216365	0.0614885	0.171153	0.2992	0.386418
a84	0.0107734	0.00844315	0.0082761	0.00619808	0.00992867	0.0329721	0.118372	0.295048	0.509988
a57	0.00709266	0.00497039	0.0044436	0.00356372	0.00623583	0.0194465	0.0891005	0.291894	0.573253
a87	0.00968501	0.00687727	0.00513305	0.00458119	0.00479817	0.021416	0.0745969	0.260986	0.611926
a23	0.00812878	0.00522148	0.00331878	0.00381538	0.00640253	0.0541893	0.126307	0.276331	0.516285
a79	0.011915	0.00889694	0.00571126	0.00626333	0.00958591	0.0863226	0.182128	0.299967	0.38921
a20	0.0153654	0.00985686	0.00634905	0.00601991	0.00834309	0.0583104	0.121537	0.265893	0.508325
a73	0.0109175	0.00664111	0.00601531	0.00655118	0.013846	0.0612102	0.126824	0.282079	0.485916
a84	0.00310607	0.00214009	0.00211995	0.00216062	0.00546946	0.0370642	0.105578	0.291441	0.55092
a38	0.000827148	0.000686335	0.000754396	0.000861718	0.00223234	0.0222627	0.0830433	0.272185	0.617147
a12	0.0019069	0.00135902	0.00123755	0.00123122	0.0024807	0.0208836	0.0835852	0.272065	0.615251
a18	0.00817609	0.00713926	0.00750403	0.00898448	0.0142343	0.0453835	0.116229	0.265771	0.526578
a24	0.00256055	0.00203076	0.00183293	0.00203166	0.00317868	0.0139958	0.054699	0.251786	0.667885
a25	0.00278426	0.00217515	0.00201895	0.00215481	0.00333954	0.0119483	0.0544815	0.252767	0.668331
a38	0.000795315	0.000517032	0.000493709	0.00053097	0.0016861	0.0117716	0.0613346	0.276486	0.646384
a11	0.000749798	0.000481086	0.000385958	0.000426131	0.00110342	0.00912271	0.0506471	0.254968	0.682116
a75	0.000851137	0.000625247	0.000662048	0.000793033	0.00200356	0.0132608	0.061819	0.25016	0.669826
a14	0.00562498	0.00456968	0.0052051	0.00579759	0.0100853	0.0281789	0.0832103	0.254731	0.602597
a44	0.00314449	0.00262996	0.00337626	0.00370869	0.00689031	0.0220653	0.0810458	0.254377	0.622762
a66	0.00106302	0.00081056	0.00109441	0.0012082	0.00302883	0.011359	0.046363	0.211028	0.724045
a57	0.000772664	0.000532077	0.000585472	0.000653125	0.00174706	0.0128347	0.0571119	0.255518	0.670245
a82	0.00128554	0.000913126	0.000810933	0.000869811	0.00191352	0.0142391	0.0621115	0.244815	0.673041
a87	0.00190931	0.00125098	0.000857175	0.000824341	0.00148007	0.0130869	0.0557521	0.256054	0.668785
</S>	0.00536528	0.00344199	0.00224989	0.00235642	0.00405755	0.0386256	0.104098	0.275229	0.564577
