 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a23	0.0188253	0.0173055	0.028873	0.0359694	0.0551724	0.0695213	0.100932	0.162245	0.204269	0.306887
a79	0.0221395	0.0151978	0.0167032	0.0253942	0.0333195	0.0525616	0.0827245	0.155019	0.196938	0.400003
a20	0.0282619	0.0194848	0.0162753	0.0163188	0.0177381	0.0207762	0.0346013	0.0886408	0.226613	0.531289
a94	0.0343857	0.035927	0.0417995	0.0415501	0.0480357	0.0473854	0.0624835	0.107997	0.198266	0.382169
a20	0.028673	0.0325182	0.0335114	0.0312416	0.0352482	0.038342	0.0527464	0.0994065	0.209954	0.438359
a41	0.0144365	0.0165752	0.0201187	0.0187763	0.020575	0.0219765	0.0334615	0.084473	0.233017	0.53659
a24	0.00707539	0.00897595	0.0135931	0.0134506	0.0176467	0.0190793	0.031715	0.0828647	0.24603	0.55957
a31	0.00536291	0.00645092	0.00838023	0.00808771	0.010661	0.0136068	0.0252487	0.0706808	0.240501	0.611019
a41	0.0112125	0.0137101	0.0157932	0.0133125	0.0152018	0.017459	0.0270186	0.0661506	0.209497	0.610645
a26	0.00381789	0.00441811	0.00572707	0.00560056	0.00814706	0.0119421	0.0268109	0.0823072	0.267317	0.583912
a84	0.00452923	0.00504247	0.00762195	0.00657224	0.00789396	0.0109364	0.0211101	0.0699779	0.252977	0.613339
a57	0.00963787	0.00849309	0.0110954	0.0122967	0.0159513	0.0217697	0.0330008	0.0877555	0.251963	0.548037
a87	0.00889641	0.00515357	0.00496294	0.00802024	0.0122711	0.0225964	0.0407691	0.12257	0.271662	0.503098
a23	0.00696647	0.00318883	0.00249611	0.00598898	0.0121176	0.0283085	0.0613448	0.153618	0.270713	0.455257
a20	0.0375609	0.0187432	0.00970505	0.0200551	0.0342061	0.0632234	0.105939	0.173729	0.214058	0.32278
a73	0.0175102	0.0101062	0.00707016	0.0103787	0.0173665	0.034823	0.0665021	0.15712	0.263769	0.415354
a26	0.00528026	0.00502741	0.00878515	0.0128637	0.020619	0.0318423	0.0621957	0.13619	0.257492	0.459704
a76	0.00321185	0.00289603	0.00455794	0.00607834	0.0113436	0.0201418	0.0429925	0.10932	0.275708	0.523751
a69	0.00734828	0.00622874	0.0075962	0.00924898	0.0130289	0.0194048	0.0391793	0.113989	0.269171	0.514805
a58	0.00210727	0.00255503	0.0048849	0.00603766	0.0081624	0.010919	0.020274	0.0689327	0.240042	0.636085
a75	0.00114722	0.00103186	0.00166946	0.00220309	0.00344781	0.00626561	0.0145737	0.0599445	0.254059	0.655658
a41	0.00306956	0.0022695	0.002961	0.0035315	0.00486157	0.00823131	0.0189295	0.0766944	0.262876	0.616576
a18	0.0045605	0.00424008	0.00602094	0.00576611	0.00762398	0.0113062	0.0248219	0.0890218	0.267085	0.579553
a76	0.00308828	0.00259653	0.00323904	0.0033635	0.0050205	0.00918874	0.0217766	0.0768499	0.257532	0.617345
a94	0.00403387	0.00352998	0.00480395	0.00460433	0.00560661	0.00838731	0.0187235	0.0719868	0.25671	0.621614
a84	0.0030265	0.00254993	0.00365295	0.00361716	0.00484264	0.00770577	0.0162936	0.0611196	0.239438	0.657753
a38	0.00536147	0.00391916	0.0040246	0.00532545	0.00826459	0.0153661	0.0311783	0.0874817	0.266314	0.572765
a41	0.006127	0.00359997	0.00310971	0.00529657	0.00873853	0.019374	0.0423376	0.115599	0.26546	0.530358
a26	0.00554187	0.00339883	0.00297451	0.00309542	0.00432297	0.00805668	0.0195507	0.078596	0.281641	0.592822
a54	0.00871309	0.00689961	0.00663448	0.00705655	0.00941784	0.016656	0.0332925	0.0950899	0.271256	0.544984
a73	0.00461227	0.00292222	0.00283008	0.00319765	0.00424818	0.00831844	0.0182522	0.0658357	0.245466	0.644317
a2	0.00701525	0.00390546	0.0027849	0.00350455	0.00467247	0.00985091	0.019715	0.0701491	0.254975	0.623427
a57	0.0189627	0.00978397	0.00643357	0.0103677	0.0138797	0.0277265	0.0536426	0.125228	0.255955	0.47802
a87	0.021754	0.0153206	0.00995149	0.0159948	0.0225068	0.0380887	0.0659518	0.115795	0.243391	0.451246
a23	0.0247965	0.0165225	0.00828184	0.0133462	0.0193999	0.0312566	0.0576788	0.116211	0.248727	0.46378
a79	0.049478	0.0422054	0.0326073	0.0424004	0.04855	0.0580494	0.0861316	0.125547	0.195542	0.319489
a76	0.0689576	0.0457349	0.02778	0.0328898	0.0408635	0.0558844	0.0762625	0.120533	0.196678	0.334416
a73	0.0164695	0.00881331	0.00626142	0.00840384	0.0125031	0.0236316	0.0482768	0.13339	0.269755	0.472496
a20	0.00488563	0.00318379	0.00359262	0.00498281	0.00908569	0.0179883	0.0401833	0.11175	0.271593	0.532755
a41	0.0102547	0.00632375	0.00565254	0.00735494	0.0111159	0.0207988	0.0444221	0.126792	0.271175	0.49611
a24	0.00390806	0.00321712	0.00449149	0.00488138	0.00749495	0.0126838	0.0281134	0.0911178	0.274145	0.569947
a41	0.00533095	0.00510244	0.00689022	0.00673909	0.00978921	0.0150117	0.0301404	0.086399	0.265573	0.569024
a30	0.00527177	0.00473039	0.00643705	0.00634663	0.00947034	0.0153709	0.0314777	0.0885722	0.268878	0.563446
a2	0.00398737	0.00372774	0.00512186	0.00513353	0.00755177	0.0128679	0.0262614	0.076928	0.264875	0.593546
a57	0.00785104	0.00672398	0.00717956	0.00921774	0.0134125	0.0240729	0.0442725	0.107382	0.272725	0.507163
a87	0.0101957	0.00647125	0.00514264	0.00895757	0.0142489	0.0295566	0.0579471	0.140301	0.270556	0.456623
</S>	0.00447041	0.0024124	0.00220914	0.00488815	0.0101641	0.0241094	0.0546168	0.137274	0.275489	0.484366
