 	sous	cette	pluie	personne	n'	ose	descendre	en	aval	du	fleuve	</S>
a27	0.000930212	0.000922357	0.0019428	0.00431666	0.00762459	0.0142764	0.0304979	0.0452002	0.0893866	0.151242	0.273779	0.379882
a43	0.00667871	0.00416251	0.00529368	0.00909788	0.00878233	0.0159179	0.0365567	0.048713	0.104681	0.141888	0.246429	0.371799
a21	0.0017193	0.00123343	0.00155236	0.00241522	0.00339736	0.00768645	0.0180769	0.0326736	0.0778758	0.144405	0.286916	0.422049
a61	0.000308035	0.000381752	0.000727676	0.00150225	0.00267361	0.00474655	0.0132149	0.0288602	0.0687982	0.142653	0.295426	0.440708
a62	0.000716058	0.000922616	0.00141354	0.00251463	0.00364315	0.00941819	0.0175522	0.0290523	0.0587866	0.127001	0.281976	0.467003
a88	0.00107039	0.0013951	0.00220913	0.00356928	0.00411967	0.0112064	0.019427	0.0323086	0.0613814	0.125506	0.26971	0.468098
a38	0.00140959	0.00149977	0.00218988	0.00329549	0.00325457	0.00934397	0.0159031	0.0234105	0.046959	0.106464	0.272679	0.513591
a75	0.00535565	0.00385604	0.00463331	0.00610563	0.00504401	0.00956254	0.0173199	0.0266171	0.0612713	0.130648	0.273526	0.45606
a6	0.000204671	0.000287575	0.000491822	0.000885204	0.00144255	0.00275991	0.00891269	0.0183746	0.0403614	0.0951636	0.282968	0.548148
a36	0.000160762	0.000212688	0.000424345	0.000801936	0.00121979	0.00288979	0.0101016	0.0146856	0.0346974	0.0902102	0.289094	0.555502
a26	0.00349812	0.00248723	0.00314222	0.00437195	0.00350144	0.0067585	0.0184603	0.029103	0.0761259	0.153144	0.284417	0.41499
a82	0.0701988	0.0378435	0.0318075	0.0344067	0.022306	0.0287884	0.0626498	0.0909133	0.12419	0.137974	0.159263	0.199659
a3	0.0671765	0.0295217	0.0242629	0.0259891	0.0199385	0.0235251	0.0510088	0.0663271	0.0886151	0.133215	0.202959	0.267461
a97	0.0804674	0.0325617	0.0260892	0.0321735	0.0296271	0.0400341	0.0666715	0.0686245	0.0873544	0.124583	0.181945	0.229868
a3	0.063806	0.0303591	0.0332063	0.0491758	0.046826	0.0594157	0.083046	0.0679597	0.0927105	0.120201	0.16188	0.191414
a97	0.0677395	0.0318271	0.0352407	0.0456265	0.0478156	0.0601722	0.0722396	0.0551466	0.0757555	0.104078	0.168526	0.235833
a99	0.0517934	0.0312455	0.0437968	0.0520032	0.053423	0.0576138	0.067483	0.0523153	0.0634639	0.0926353	0.171102	0.263125
</S>	0.0181156	0.0119153	0.0154809	0.018469	0.0220617	0.0213374	0.0358387	0.0414672	0.0686082	0.108732	0.235698	0.402276
