 	la	manière	dont	il	m'	a	brimé	dans	le	partage	du	gibier	montre	qu'	il	est	avide	</S>
a62	0.0849799	0.162495	0.166648	0.13208	0.0857697	0.0547048	0.0400399	0.0228005	0.0207956	0.0235178	0.0215425	0.0203547	0.0246131	0.0222657	0.0222552	0.0277001	0.0302156	0.0372219
a47	0.0565621	0.120518	0.14797	0.152743	0.112644	0.0717305	0.0452244	0.0224958	0.0215346	0.0260234	0.0224612	0.0218601	0.0315151	0.0257707	0.0240145	0.0294655	0.0324242	0.0350418
a62	0.0463261	0.0686702	0.104356	0.131995	0.123079	0.0932413	0.0619204	0.0275561	0.0270991	0.0357786	0.0289032	0.0314008	0.0502364	0.0370343	0.0313379	0.0338717	0.0349637	0.0322307
a21	0.0485481	0.0767079	0.114212	0.156875	0.137314	0.112399	0.072174	0.0285998	0.0267253	0.0325709	0.0214341	0.0199721	0.034692	0.023607	0.0198122	0.0230071	0.024068	0.027282
a12	0.0266556	0.0420663	0.0759296	0.133234	0.120005	0.10359	0.0762587	0.0366335	0.0364973	0.052585	0.0397532	0.0368827	0.0568398	0.0370404	0.0274036	0.0307559	0.0307385	0.0371309
a18	0.0146404	0.0246534	0.048167	0.113246	0.119494	0.120825	0.0942887	0.0497578	0.0488867	0.0612857	0.0428731	0.0399652	0.0648289	0.0384746	0.0283466	0.0291604	0.0297911	0.0313152
a62	0.00692106	0.00966266	0.0214302	0.0723636	0.094032	0.113196	0.101793	0.0500857	0.0497652	0.0727732	0.0463348	0.0434754	0.0758589	0.052309	0.0401755	0.0451399	0.0523604	0.0523236
a21	0.0083006	0.0113296	0.0237226	0.0739474	0.0946654	0.116351	0.100361	0.0578301	0.0560298	0.0750244	0.0484433	0.0418201	0.0687123	0.0458477	0.0368802	0.0413254	0.048352	0.0510572
a47	0.00776154	0.0111788	0.0200696	0.0572195	0.0687901	0.0884677	0.0821395	0.069161	0.0722708	0.095086	0.0747776	0.064212	0.0910682	0.0526295	0.0362199	0.034417	0.0359726	0.0385587
a56	0.00677334	0.0113356	0.0214219	0.0579761	0.0768893	0.0984964	0.0838407	0.0662686	0.0666338	0.084503	0.0681553	0.0625532	0.0867874	0.0528466	0.0383949	0.0359814	0.0401109	0.0410316
a25	0.0035567	0.00488283	0.010623	0.0321693	0.0458369	0.0651031	0.0582464	0.0585755	0.0662965	0.0887527	0.085117	0.0891102	0.108315	0.073678	0.0496625	0.0469035	0.0540984	0.0590727
a92	0.000854978	0.00141773	0.00318705	0.0118006	0.0211728	0.0343221	0.0298246	0.0330135	0.0446891	0.0815031	0.102658	0.128661	0.137633	0.105781	0.0649295	0.0594417	0.0707972	0.0683132
a56	0.00115137	0.00231361	0.00437541	0.0124766	0.0190296	0.0298515	0.0318784	0.0389061	0.0512535	0.0736042	0.0938934	0.119858	0.116084	0.101757	0.0732655	0.0652893	0.0813928	0.08362
a44	0.00117209	0.00159815	0.0033311	0.0106017	0.0178973	0.0316007	0.0281953	0.0424986	0.0576324	0.0805838	0.104715	0.122356	0.123268	0.0949537	0.066782	0.0591998	0.0708771	0.0827385
a75	0.000771083	0.00102897	0.00194177	0.00520979	0.00924469	0.0163467	0.0154397	0.0248241	0.0367037	0.0643085	0.0975991	0.123022	0.121597	0.111001	0.0811948	0.0771512	0.0990016	0.113614
a5	0.000398193	0.00074231	0.00122677	0.00345568	0.00578038	0.00984229	0.0120095	0.0184266	0.028491	0.0570049	0.0992054	0.131248	0.118522	0.112731	0.091386	0.0900748	0.109957	0.109498
a12	0.000491683	0.000653157	0.00130856	0.00389866	0.00650549	0.0111071	0.011664	0.0228469	0.0342967	0.0564983	0.0983604	0.129405	0.111527	0.113204	0.0888921	0.0877051	0.105498	0.116138
a21	0.000580388	0.000580898	0.00125252	0.00385628	0.00642591	0.0105662	0.0118202	0.022937	0.0336399	0.0560892	0.0960086	0.119537	0.106731	0.103788	0.0909526	0.091985	0.113638	0.129612
a92	0.000595723	0.000482643	0.000921705	0.0022933	0.00378156	0.00594496	0.00692053	0.0132323	0.0198486	0.0398612	0.0837379	0.123391	0.10162	0.110586	0.101975	0.10737	0.134827	0.142611
a37	0.000376247	0.000378261	0.000696944	0.0019762	0.00356243	0.00585837	0.00697548	0.0135116	0.0193408	0.036586	0.0796584	0.124184	0.0919289	0.112424	0.106838	0.111649	0.138325	0.14573
a92	0.000321612	0.000345773	0.000615576	0.00167363	0.00311302	0.00476986	0.00639977	0.0115204	0.0165068	0.0317047	0.0652295	0.102014	0.0859356	0.10559	0.106537	0.118093	0.162999	0.176631
a47	0.000220939	0.000247576	0.000369262	0.00112091	0.00202555	0.00348774	0.00520018	0.00979664	0.0150796	0.0313587	0.0771235	0.123619	0.0827406	0.104946	0.0992463	0.11434	0.152314	0.176763
a7	0.000172125	0.000163008	0.000257516	0.000736608	0.00142482	0.00243614	0.00414369	0.00767875	0.0123725	0.0288467	0.0772448	0.137134	0.0837813	0.114025	0.112991	0.117492	0.156164	0.142935
a2	0.000520611	0.000403903	0.000501163	0.0010881	0.00173641	0.00234215	0.00448366	0.0083543	0.011626	0.0189477	0.0441679	0.0742707	0.0518568	0.0899284	0.101558	0.131757	0.215249	0.241209
a62	0.00753619	0.00425797	0.00335078	0.00509508	0.00546612	0.00690036	0.0114973	0.0210276	0.0183196	0.0184189	0.0390587	0.065407	0.0577328	0.108395	0.109112	0.130169	0.194745	0.19351
a88	0.000145905	0.000116897	0.000118645	0.000347554	0.000503224	0.000929493	0.00223591	0.00615351	0.00629797	0.00855791	0.0229509	0.0412729	0.0296476	0.0700146	0.0932058	0.149945	0.269196	0.298361
a66	0.000333743	0.000244309	0.000209608	0.000597556	0.000856426	0.00150872	0.00307387	0.00734014	0.00746998	0.00946982	0.0250879	0.0477155	0.0391516	0.0956033	0.123694	0.155478	0.24396	0.238206
a13	0.00477542	0.00247249	0.00196714	0.00330869	0.00373346	0.00532483	0.00756403	0.0144817	0.0155444	0.0184574	0.0453491	0.0882048	0.0735824	0.135461	0.136722	0.131449	0.174443	0.13716
a99	0.00643379	0.00352309	0.0028567	0.00439604	0.00484265	0.00649823	0.00840376	0.0144622	0.0156788	0.0185268	0.0418118	0.0807203	0.0748027	0.133013	0.137187	0.137071	0.181103	0.128669
a87	0.0185211	0.00802914	0.00511441	0.00732594	0.00718025	0.00886955	0.0116521	0.0184478	0.0194552	0.0214498	0.0395685	0.0694158	0.0758693	0.128406	0.130975	0.135249	0.171955	0.122516
a23	0.0215138	0.00907268	0.00548204	0.00889498	0.00933744	0.010459	0.0150122	0.0235125	0.0259426	0.0317513	0.04692	0.0719121	0.103836	0.130833	0.122264	0.122062	0.136681	0.104513
a87	0.00474399	0.00210375	0.000999817	0.0018504	0.00215	0.00340276	0.00969443	0.0215191	0.0281351	0.0307783	0.0502743	0.0633652	0.0684635	0.095121	0.112595	0.1436	0.159139	0.202065
a23	0.00280725	0.00119785	0.000644276	0.00135179	0.00187483	0.0027663	0.00962845	0.0198254	0.0259473	0.0326623	0.0524264	0.0783527	0.0777596	0.10179	0.107133	0.126595	0.163843	0.193395
</S>	0.00324687	0.00181871	0.000923186	0.00204776	0.00252858	0.00459499	0.0132969	0.0296161	0.0372701	0.0348774	0.0494651	0.0597566	0.0639473	0.0861268	0.105583	0.13492	0.153391	0.21659
