 	c'	est	de	l'	argile	dont	on	se	sert	pour	boucher	les	trous	des	pirogues	</S>
a24	0.011628	0.0120457	0.0193498	0.033727	0.0597	0.0893424	0.0746258	0.0816845	0.0695196	0.0557996	0.0952475	0.0813129	0.0837184	0.0658457	0.0665436	0.0999095
a88	0.0080831	0.00835907	0.0125463	0.02109	0.0354244	0.0692548	0.0712119	0.0862355	0.0695441	0.0463889	0.0778306	0.0895825	0.100653	0.0827475	0.0886197	0.132429
a38	0.0129916	0.0140616	0.0233126	0.0372507	0.0476843	0.0741731	0.0678747	0.0877149	0.0700423	0.0590189	0.0725015	0.0803559	0.0865978	0.0661324	0.0670977	0.13319
a30	0.012669	0.0128118	0.0177674	0.0266155	0.0369591	0.0616873	0.0602139	0.0914551	0.0752558	0.0548427	0.0652641	0.0850446	0.09848	0.078406	0.0890366	0.133491
a41	0.0171222	0.0164676	0.0218422	0.0315534	0.0412845	0.0733305	0.0732746	0.0977857	0.0800489	0.0621151	0.0684013	0.0910149	0.0988653	0.076952	0.0777117	0.0722302
a2	0.0194771	0.0177366	0.026023	0.0376836	0.050233	0.0708956	0.0635854	0.067982	0.067036	0.0609071	0.0770081	0.0819888	0.0984171	0.0817394	0.0882604	0.0910269
a40	0.0164517	0.0152687	0.01969	0.0287597	0.0366019	0.062562	0.0584751	0.0756745	0.0616215	0.0468446	0.0437566	0.0727056	0.0881371	0.081152	0.124823	0.167476
a41	0.0238477	0.0212408	0.0259125	0.0340711	0.035303	0.037873	0.0307372	0.0434332	0.0493173	0.0516354	0.0580172	0.0648461	0.100434	0.0981667	0.146584	0.178581
a94	0.0209841	0.0166833	0.0203139	0.0243774	0.0285465	0.0332762	0.0329932	0.0460674	0.0590153	0.0751665	0.074022	0.0703254	0.0932564	0.0929325	0.143213	0.168827
a75	0.0121227	0.0102346	0.0138298	0.0196298	0.024954	0.0318047	0.0316583	0.0551006	0.0586322	0.0646283	0.0514822	0.0719632	0.0969883	0.0959586	0.136648	0.224365
a14	0.01565	0.0114991	0.0132271	0.0177769	0.0225228	0.0248226	0.0244442	0.0464434	0.0689253	0.0830656	0.0736966	0.0788723	0.0947708	0.0939699	0.14484	0.185473
a30	0.0138066	0.0101152	0.0127226	0.0171447	0.0207014	0.0239656	0.0261211	0.0476062	0.0664694	0.0832202	0.0699727	0.0766362	0.0927606	0.0973998	0.147281	0.194077
a2	0.0283728	0.0232314	0.0258704	0.0291016	0.0286318	0.0291856	0.0241802	0.0374064	0.0453597	0.0515928	0.0432731	0.0613983	0.0886634	0.104564	0.159047	0.220121
a57	0.0151514	0.014303	0.0177889	0.0240418	0.0265793	0.0327869	0.0223868	0.0326791	0.0307626	0.0309072	0.025625	0.0481755	0.0718363	0.097625	0.199692	0.30966
a40	0.00777016	0.0075468	0.00853875	0.0110867	0.0144589	0.0188253	0.0155267	0.0250648	0.0380328	0.0357357	0.0408352	0.0688312	0.0908988	0.117074	0.191141	0.308633
a73	0.0136454	0.0121878	0.0129355	0.0141279	0.0113006	0.0120427	0.0112455	0.0171995	0.0197818	0.0198421	0.023591	0.0373929	0.051569	0.0766968	0.18998	0.476461
a20	0.00451454	0.00366976	0.00498588	0.0075293	0.0092571	0.0103065	0.0118468	0.0183475	0.0203216	0.0223992	0.0206727	0.0359636	0.0616766	0.0977547	0.203634	0.46712
a76	0.0116621	0.00849693	0.00889579	0.0112857	0.0124399	0.0136316	0.0150023	0.0273229	0.0360986	0.0351023	0.0327538	0.0517117	0.0714398	0.0950253	0.188532	0.3806
a73	0.00898082	0.0073913	0.00891079	0.0124609	0.015411	0.0169183	0.0185239	0.0278845	0.0323704	0.0281279	0.0306163	0.0481525	0.0677591	0.0941803	0.17169	0.410622
a35	0.00356333	0.00306131	0.00396884	0.00623265	0.00918199	0.0124585	0.0121217	0.0196596	0.0187498	0.0181151	0.0164287	0.0298274	0.0493478	0.0877795	0.193524	0.515979
a73	0.0101404	0.00725183	0.00748765	0.0102023	0.00938584	0.0121182	0.0116123	0.0168651	0.0169362	0.0174996	0.0188579	0.0318838	0.053443	0.0975311	0.21518	0.463605
a26	0.0094274	0.00690574	0.00738375	0.00972538	0.00940907	0.0122451	0.0120184	0.01623	0.0159196	0.0158116	0.0163587	0.0299258	0.0538286	0.107648	0.233647	0.443516
a73	0.00964008	0.00768612	0.00824567	0.0104135	0.0110567	0.0129129	0.0110761	0.0135669	0.0104562	0.00991845	0.00790705	0.0182801	0.0341446	0.085106	0.255622	0.493967
a26	0.00973118	0.0082279	0.00844872	0.00991067	0.0100751	0.0138029	0.0147448	0.0150698	0.0109632	0.00848368	0.0108232	0.0228957	0.0359079	0.0782305	0.217659	0.525026
a73	0.00484352	0.00427161	0.00340643	0.00346827	0.00398431	0.00421493	0.00440239	0.00703488	0.00911078	0.00739881	0.00669558	0.0174215	0.0364841	0.0814176	0.244091	0.561754
a35	0.00688116	0.00558894	0.00505489	0.00561633	0.005306	0.00725992	0.0088392	0.00996475	0.00897431	0.00717943	0.0102919	0.0211582	0.0351071	0.0773218	0.223833	0.561623
a5	0.00451178	0.00343837	0.00369049	0.00571747	0.00688429	0.0104696	0.0108041	0.013849	0.0121933	0.0097602	0.0133355	0.0264758	0.0458041	0.0950308	0.244585	0.49345
a12	0.00271372	0.00210541	0.00253512	0.00450128	0.00637599	0.00986396	0.00946833	0.012419	0.0114318	0.00979524	0.0128131	0.0236145	0.0477963	0.102811	0.254229	0.487526
a18	0.00552381	0.00447248	0.00461835	0.00630703	0.00657474	0.00875692	0.00664776	0.00827568	0.00832507	0.00760684	0.0104735	0.0145619	0.0303388	0.0723817	0.261349	0.543786
a25	0.00526195	0.00461405	0.00462402	0.00479865	0.00517	0.00545737	0.00524329	0.00617155	0.00646795	0.00626922	0.00813654	0.010225	0.0211877	0.0487895	0.194528	0.663055
a87	0.00416	0.00335919	0.00306578	0.00373439	0.00540142	0.00670837	0.0057433	0.00642645	0.0059416	0.00543013	0.00701504	0.0111832	0.0219688	0.0567553	0.212973	0.640134
</S>	0.00234879	0.0018399	0.00118137	0.000831943	0.000682732	0.000897998	0.00160327	0.00328517	0.00594294	0.00531908	0.00512329	0.0134079	0.0296575	0.0680802	0.255304	0.604493
