 	cette	manière	de	cajoler	les	enfants	est	celle	des	mères	d'	en	temps	</S>
a90	0.00348629	0.00250219	0.00407312	0.00999749	0.0148172	0.0173794	0.0195596	0.020916	0.0459907	0.0888295	0.0871118	0.127251	0.220872	0.337214
a25	0.00269578	0.00234022	0.00418181	0.011671	0.0222805	0.0241784	0.0243583	0.027597	0.0584262	0.102463	0.0872935	0.115142	0.198585	0.318787
a98	0.00124294	0.00102767	0.00203278	0.00501847	0.00977085	0.00986418	0.0109736	0.0121319	0.0304734	0.0552813	0.0561738	0.0982292	0.235935	0.471845
a15	0.00176889	0.00144325	0.00286813	0.00688396	0.0121869	0.0139132	0.0161763	0.0190017	0.0430184	0.0727309	0.0711383	0.109271	0.222443	0.407156
a7	0.00161488	0.00130065	0.00241726	0.00571548	0.0108731	0.0117362	0.0133355	0.0153903	0.0350321	0.062353	0.0608744	0.106047	0.244821	0.428489
a75	0.0116349	0.00781649	0.0107172	0.0183201	0.0262599	0.0191203	0.0180373	0.0181688	0.0385137	0.0711309	0.0652305	0.0999793	0.222241	0.372829
a36	0.00101458	0.000847058	0.00130962	0.00291104	0.00633084	0.00656733	0.00755075	0.0125984	0.0301136	0.0548499	0.0567711	0.10589	0.271264	0.441981
a27	0.00245793	0.00138706	0.00220621	0.00447179	0.00809228	0.00692814	0.00737418	0.00871017	0.0210288	0.0402957	0.0474755	0.0944431	0.263109	0.49202
a10	0.0605149	0.0337822	0.0397039	0.0383308	0.0409079	0.0320575	0.0301279	0.023	0.0337388	0.0527424	0.062225	0.0853899	0.16094	0.306539
a9	0.0748181	0.0389732	0.0361258	0.0363331	0.0389235	0.0331747	0.0309945	0.0287568	0.0461651	0.0752428	0.0804058	0.0917098	0.142659	0.245717
a10	0.0628127	0.03643	0.0281285	0.0318279	0.0495197	0.0387408	0.0376108	0.0466676	0.0902035	0.126079	0.114166	0.104102	0.104207	0.129506
a87	0.0681043	0.0537826	0.0302465	0.0304615	0.0522269	0.0341405	0.0335565	0.0471219	0.084796	0.0977597	0.100489	0.114114	0.114587	0.138613
a23	0.0680414	0.0602412	0.0323636	0.0339989	0.0644245	0.0398157	0.03945	0.0518871	0.0773588	0.0813414	0.0869642	0.107519	0.113125	0.14347
a87	0.0145182	0.0109326	0.00967878	0.0112207	0.0296582	0.0227356	0.0253244	0.0321544	0.0584796	0.074424	0.095034	0.135723	0.195688	0.284429
</S>	0.0246617	0.0185845	0.0106826	0.0110484	0.0287036	0.0217711	0.0237078	0.0299141	0.0515961	0.0625554	0.0756552	0.110672	0.186144	0.344304
