 	le	chef	de	canton	mbochi	nommé	dénis	yongo	était	autoritaire	</S>
a88	0.0120435	0.0144265	0.0189626	0.03947	0.0758485	0.139372	0.16024	0.160145	0.124114	0.133118	0.12226
a38	0.00289996	0.00426172	0.00697325	0.0252761	0.0481621	0.0852546	0.100929	0.127958	0.137532	0.204738	0.256015
a47	0.00164623	0.00222848	0.00392883	0.012862	0.0303348	0.056235	0.0609311	0.0955643	0.148949	0.259026	0.328295
a24	0.0019971	0.00287238	0.00454598	0.0132558	0.0329269	0.0681761	0.0798796	0.097951	0.11541	0.204556	0.37843
a31	0.0012696	0.00145279	0.00214816	0.00851893	0.0185888	0.0332912	0.0485241	0.0710131	0.110051	0.241254	0.463888
a47	0.00436606	0.00545248	0.00834906	0.0190002	0.0367494	0.0720872	0.0958702	0.123033	0.134617	0.198367	0.302109
a56	0.00195051	0.00267787	0.00431076	0.0123384	0.0241451	0.0480267	0.0651119	0.0819145	0.114985	0.219029	0.42551
a96	0.00123077	0.00164345	0.00273498	0.00983108	0.0235362	0.0465237	0.0598972	0.0765353	0.110974	0.21639	0.450703
a13	0.00139469	0.00182412	0.00292679	0.00913856	0.0192605	0.0385892	0.0545358	0.0778738	0.11412	0.223726	0.456611
a9	0.000480828	0.000501053	0.000699214	0.00256065	0.00713205	0.0142295	0.0236857	0.0531764	0.121219	0.270418	0.505898
a99	0.00238333	0.00142412	0.00155509	0.00409818	0.0131937	0.0307799	0.0390002	0.0663386	0.145341	0.27	0.425887
a40	0.00452638	0.00191134	0.00180681	0.00526187	0.0150729	0.025385	0.0364928	0.0508018	0.110533	0.234997	0.513211
a47	0.000819216	0.00052803	0.000665194	0.00196683	0.00369881	0.00663436	0.0139283	0.0273	0.0817573	0.289363	0.573339
a41	0.000524681	0.000505648	0.00078719	0.00197494	0.00539191	0.011205	0.0198982	0.0359838	0.0998709	0.293863	0.529995
a37	0.00167565	0.00189265	0.00301236	0.00479062	0.0113709	0.0206003	0.0264673	0.0421918	0.0910764	0.280322	0.5166
a26	0.000593893	0.000609561	0.000913333	0.00270246	0.00742403	0.0153616	0.0242607	0.0369083	0.0832192	0.253006	0.575001
a21	0.000346171	0.000304942	0.000380886	0.00137781	0.00336546	0.00518623	0.0105309	0.0245282	0.0744625	0.241954	0.637563
a12	0.00193331	0.0018508	0.00271574	0.00642469	0.0137546	0.0267925	0.0387383	0.055753	0.0890753	0.231715	0.531247
a96	0.00173116	0.00152146	0.001735	0.00421684	0.00740186	0.0116887	0.0196411	0.0374167	0.0852401	0.246142	0.583265
a5	0.000687543	0.000768126	0.000924734	0.00285186	0.00552543	0.00838056	0.0143157	0.0300717	0.0783266	0.236819	0.621329
a18	0.00218097	0.00202685	0.00250909	0.00522294	0.00897871	0.0134683	0.0212769	0.0391057	0.0831243	0.231	0.591107
a71	0.00090345	0.000946608	0.0010444	0.00216901	0.00458305	0.00655453	0.0119779	0.0285315	0.0886092	0.249542	0.605138
a9	0.000960296	0.000808292	0.000899745	0.00186489	0.00516361	0.00767391	0.0159218	0.0476776	0.140913	0.268364	0.509752
a87	0.01002	0.0050606	0.00458193	0.00634764	0.0128948	0.0189015	0.0274638	0.0586192	0.128485	0.227575	0.500051
a10	0.0616399	0.0216194	0.0139745	0.0117456	0.0300149	0.0440431	0.061319	0.0555706	0.0886602	0.181	0.430413
a99	0.0457193	0.0174834	0.0116534	0.0114937	0.0411224	0.049956	0.0542481	0.043292	0.0718155	0.179233	0.473983
a87	0.0229446	0.0110679	0.00785695	0.0118999	0.0413015	0.0451877	0.050717	0.0396349	0.0688829	0.199414	0.501093
a10	0.0121895	0.00690308	0.00572414	0.0110196	0.0342432	0.0281615	0.0336377	0.0316717	0.057812	0.191993	0.586644
a87	0.0189801	0.0112987	0.0087273	0.0144902	0.0476478	0.0396208	0.0445846	0.0377766	0.0649587	0.198032	0.513884
a10	0.0434849	0.0213087	0.0136492	0.0126791	0.0404068	0.0286399	0.0348602	0.0315614	0.0609565	0.187889	0.524565
</S>	0.0473801	0.0292019	0.0199758	0.0229742	0.0595228	0.046107	0.0513576	0.0409774	0.0629878	0.183702	0.435814
