 	les	chasseurs	ont	tué	cinq	antilopes	hier	</S>
a24	0.00381394	0.00422229	0.00863718	0.0162138	0.0427037	0.13255	0.275074	0.516785
a35	0.00285731	0.00248243	0.00369103	0.00562731	0.0189172	0.0863494	0.265553	0.614522
a14	0.00180008	0.00155046	0.0028273	0.00481522	0.0149753	0.0622334	0.241484	0.670314
a44	0.00167152	0.00148207	0.00291592	0.00421115	0.0163023	0.0645179	0.257175	0.651725
a84	0.000709934	0.000556854	0.00164128	0.00424085	0.0110004	0.0446319	0.221668	0.715551
a57	0.000350203	0.000273374	0.000618014	0.00176555	0.00863143	0.0490302	0.246898	0.692433
a9	0.00110843	0.00055267	0.000737477	0.00138925	0.00985738	0.0578515	0.271437	0.657066
a53	0.0015195	0.000803068	0.00112857	0.00302176	0.0216478	0.0976709	0.331852	0.542357
a76	0.00102282	0.000770059	0.00176498	0.00398166	0.0120325	0.0490856	0.338758	0.592584
a20	0.00112313	0.000877588	0.00164885	0.00313374	0.00910198	0.0379335	0.315222	0.63096
a84	0.00108081	0.000640092	0.00133656	0.00234965	0.00789341	0.036668	0.273069	0.676962
a87	0.000939118	0.000561837	0.00119908	0.00231264	0.010311	0.0589945	0.296417	0.629265
a10	0.00430144	0.0021959	0.00330565	0.00593417	0.0300661	0.11482	0.291276	0.548101
a87	0.0057289	0.00358082	0.0045762	0.00788143	0.0449121	0.154025	0.325158	0.454138
</S>	0.00371906	0.00216885	0.0040453	0.00904685	0.0469856	0.143208	0.319918	0.470908
