 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
a11	0.0283542	0.0295186	0.0307178	0.0356359	0.060402	0.0609398	0.123393	0.163489	0.135313	0.106992	0.0717672	0.0373136	0.0458343	0.0703301
a75	0.0138539	0.0153767	0.0170221	0.0214376	0.0414123	0.0464208	0.118257	0.15602	0.145066	0.130123	0.0939078	0.0556738	0.0570373	0.0883911
a25	0.0280891	0.0255185	0.0232948	0.022639	0.0387754	0.0247122	0.0611888	0.0923091	0.0729064	0.0781162	0.0831535	0.0779354	0.133973	0.237389
a44	0.0190824	0.0183367	0.0184759	0.0210089	0.033912	0.032536	0.084066	0.13773	0.12316	0.127745	0.11161	0.071969	0.0819708	0.118397
a58	0.0191286	0.0191765	0.0190411	0.0205779	0.0262236	0.0185408	0.0439	0.0938648	0.106174	0.144017	0.143151	0.0911561	0.0886638	0.166384
a75	0.00725066	0.0067926	0.00695462	0.0081691	0.0116157	0.0100771	0.031552	0.0656028	0.0859816	0.13523	0.139979	0.106902	0.127248	0.256646
a25	0.0244603	0.0222963	0.0214459	0.0237636	0.034317	0.0228931	0.0483766	0.0969666	0.0876978	0.106363	0.101045	0.0821754	0.118099	0.2101
a56	0.0296232	0.0267103	0.0257097	0.0248059	0.027167	0.0210312	0.0461578	0.0743179	0.0727679	0.0869342	0.0903619	0.0920752	0.145379	0.236959
a96	0.00993822	0.010428	0.0111296	0.0143515	0.0237267	0.014395	0.047004	0.0666253	0.0694495	0.0957039	0.117226	0.112469	0.149152	0.258402
a47	0.00918289	0.00975923	0.0104739	0.0138491	0.0240653	0.0164669	0.0491037	0.0708134	0.0699677	0.0960503	0.112763	0.10668	0.142563	0.268261
a75	0.00656804	0.00681149	0.0074607	0.0103639	0.0207951	0.0211501	0.068009	0.100291	0.0879989	0.10744	0.112969	0.100089	0.130033	0.22002
a34	0.0153387	0.0138283	0.0133425	0.0150359	0.0228949	0.0170209	0.0469607	0.0745757	0.0696888	0.0865345	0.0956122	0.0992504	0.147863	0.282054
a75	0.00424041	0.00443885	0.0049334	0.00702989	0.0117539	0.00975566	0.0272015	0.0373605	0.0390161	0.0599975	0.0843781	0.116055	0.239025	0.354815
a56	0.0135736	0.0132241	0.0134171	0.0153071	0.0233096	0.014136	0.0379825	0.0599144	0.0581024	0.0770089	0.0921532	0.104697	0.170992	0.306182
a75	0.00755174	0.00780231	0.00850467	0.0112603	0.0166442	0.0130178	0.0346499	0.0467245	0.0473232	0.0674764	0.0926518	0.1178	0.196926	0.331668
a21	0.0145553	0.0146954	0.0151661	0.0176986	0.0263086	0.0170569	0.0381788	0.0586236	0.0559156	0.0760397	0.0886155	0.0984155	0.156278	0.322452
a61	0.00603588	0.00582071	0.00598761	0.00750595	0.0110069	0.0110633	0.0270847	0.0393103	0.0413181	0.063836	0.0912351	0.126628	0.218665	0.344503
a18	0.00369872	0.00357813	0.00390729	0.00526571	0.00734254	0.00644688	0.013608	0.0198488	0.0213427	0.0371371	0.0583198	0.100808	0.250281	0.468415
a0	0.000832001	0.000789135	0.000900146	0.00141734	0.00232406	0.00243362	0.00518048	0.00673496	0.00634915	0.0119186	0.0192786	0.0551747	0.238918	0.647749
a47	0.00383338	0.00220544	0.00173653	0.00210276	0.00269575	0.00258531	0.00600215	0.00753778	0.00928259	0.019918	0.0366627	0.0879992	0.254735	0.562703
a62	0.00148846	0.00104669	0.000975431	0.00123374	0.00145733	0.00155394	0.00333497	0.00554812	0.00754869	0.017205	0.0320527	0.0884171	0.294674	0.543464
a83	0.000629717	0.000549505	0.000601805	0.000892606	0.00137276	0.0016032	0.00305035	0.00458427	0.00448355	0.00894755	0.015509	0.051158	0.228078	0.678539
a62	0.000902886	0.00082348	0.000895926	0.00138994	0.00227195	0.00276845	0.00598358	0.00829415	0.00773028	0.0133563	0.0214256	0.0585517	0.237047	0.638559
a83	0.00138489	0.00134469	0.00149237	0.00234675	0.0034924	0.0040286	0.00971575	0.0132302	0.0108611	0.0173371	0.0268741	0.0668922	0.25802	0.58298
a9	0.0013741	0.00114072	0.00114376	0.0016155	0.00256805	0.00236896	0.00652042	0.00896453	0.00934463	0.016748	0.0303828	0.0773698	0.257806	0.582653
a10	0.0106026	0.00741275	0.00579267	0.00673785	0.00714909	0.00597212	0.0138926	0.0174607	0.0266804	0.0572286	0.0810194	0.12932	0.227843	0.402889
a87	0.0266926	0.0172246	0.0128171	0.0155752	0.0134293	0.0236809	0.0435662	0.0408445	0.0593447	0.0875095	0.101153	0.138669	0.185494	0.234
a10	0.0345528	0.0256454	0.0214874	0.0261068	0.0239007	0.039607	0.0700305	0.0631011	0.0722006	0.0859705	0.0886897	0.115665	0.152009	0.181034
a87	0.0395253	0.0276467	0.0229093	0.0257078	0.0247138	0.0408014	0.0546856	0.0433575	0.043545	0.0528555	0.0574378	0.0886641	0.183159	0.294992
</S>	0.0262508	0.0193358	0.0172315	0.0208321	0.0217852	0.039357	0.0520641	0.0393674	0.0398076	0.045869	0.0488718	0.0802101	0.175598	0.373419
