 	le	véhicule	qui	est	tombé	en	panne	hier	est	déjà	réparé	</S>
a30	0.000362727	0.000335524	0.00062421	0.000787302	0.00217146	0.00317858	0.00662664	0.0122341	0.0330825	0.0912912	0.277233	0.572072
a50	0.00152737	0.00171876	0.0022552	0.00218656	0.00525541	0.00738891	0.0126589	0.0274286	0.0847584	0.195107	0.305425	0.35429
a83	0.00544219	0.00515095	0.00564872	0.0056273	0.012277	0.0161282	0.0235834	0.0425597	0.105466	0.191242	0.254085	0.332789
a50	0.00139756	0.00127876	0.00185377	0.00191391	0.00437526	0.00628097	0.0114151	0.0230829	0.0637581	0.150924	0.285964	0.447756
a98	0.00128721	0.00134542	0.00224249	0.00227735	0.00446438	0.00600324	0.0105402	0.0198617	0.0552169	0.131412	0.267063	0.498286
a99	0.000304591	0.000394072	0.000757097	0.000889766	0.00221214	0.00303989	0.00591796	0.0123685	0.0375319	0.103731	0.272063	0.56079
a83	0.00260587	0.00333923	0.00482198	0.00509917	0.010525	0.0137965	0.0217816	0.0432648	0.101859	0.176943	0.260024	0.35594
a71	0.00205137	0.00253749	0.00355801	0.00357556	0.00718356	0.00964247	0.01557	0.0310571	0.0748072	0.145408	0.261278	0.443331
a9	0.0122672	0.012245	0.0134181	0.0148225	0.0261688	0.0306327	0.0432042	0.076329	0.131619	0.172537	0.210047	0.25671
a25	0.0245028	0.0215931	0.021903	0.0238	0.0387384	0.0422395	0.0544226	0.0822228	0.141182	0.170751	0.186909	0.191736
a87	0.038301	0.0362083	0.0438999	0.0488939	0.0658176	0.0617267	0.0750525	0.0972877	0.140749	0.153075	0.134389	0.1046
a97	0.0340245	0.0401973	0.0481017	0.0508493	0.070438	0.073938	0.098862	0.131028	0.155723	0.139488	0.0968076	0.0605429
a87	0.0404797	0.0428376	0.0513593	0.0597507	0.096294	0.100919	0.119129	0.126024	0.127546	0.10945	0.0743353	0.051876
</S>	0.0417845	0.0513678	0.0645682	0.0701497	0.0992633	0.0960443	0.103014	0.109329	0.116223	0.104493	0.0814078	0.0623552
