 	l'	herbe	qui	pousse	le	plus	dans	un	terrain	favorable	à	la	cul-	ture	de	l'	arachide	est	le	chiendent	</S>
a62	0.00805626	0.0106986	0.0172813	0.0426508	0.0698126	0.0797904	0.0680449	0.0509864	0.0411482	0.0210331	0.0152676	0.0150873	0.0204251	0.0279907	0.0448364	0.073328	0.0959608	0.0930652	0.0899886	0.0643917	0.0501558
a56	0.00503442	0.00673411	0.0109742	0.0266163	0.0489971	0.0607539	0.0527245	0.0416534	0.0329942	0.0166531	0.0137594	0.0139535	0.0154966	0.0222046	0.0435054	0.0745167	0.107744	0.116617	0.130231	0.0975527	0.0612827
a25	0.00205759	0.00252408	0.00410983	0.00858498	0.0159	0.0200847	0.0167991	0.0139835	0.00778939	0.00557716	0.00454619	0.00644674	0.0087261	0.0132586	0.0352325	0.0778612	0.13089	0.151793	0.190222	0.17389	0.109724
a79	0.000754889	0.000735566	0.00094639	0.0015569	0.00281297	0.00390809	0.00319806	0.0043932	0.00285715	0.00288514	0.00291575	0.00335025	0.00447323	0.00882199	0.0224326	0.0625378	0.12012	0.121734	0.219021	0.233356	0.177189
a44	0.00043562	0.000433509	0.000634763	0.00125363	0.0020226	0.00208057	0.00145706	0.00101677	0.000569174	0.000437082	0.000628216	0.00118292	0.00214927	0.00641384	0.0230212	0.0448119	0.0721482	0.0981176	0.204424	0.284347	0.252415
a90	0.000158762	0.000141814	0.000197285	0.00031556	0.000506037	0.000533098	0.000364798	0.000361268	0.000165894	0.000217164	0.000246275	0.000403697	0.000693995	0.00229465	0.0108148	0.0312349	0.0653103	0.100243	0.245723	0.310324	0.22975
a44	0.000182192	0.000179321	0.000243568	0.000369803	0.000533034	0.000550728	0.000390192	0.000367742	0.000193142	0.000197272	0.000284923	0.00058295	0.00111321	0.00429271	0.01641	0.0382303	0.0649975	0.0861013	0.212032	0.294141	0.278607
a4	0.000283917	0.000264687	0.000348627	0.00044943	0.000603907	0.000508973	0.000319616	0.000247489	0.000116014	0.000118088	0.000161818	0.00040793	0.000739742	0.00247147	0.00882469	0.0235947	0.0502988	0.0811121	0.218035	0.309856	0.301236
a58	0.000208852	0.000209745	0.000281796	0.00037077	0.0005199	0.000425534	0.000259643	0.000164134	5.66313e-05	6.25988e-05	8.79434e-05	0.000194618	0.000254744	0.000614884	0.00295572	0.0130826	0.0447127	0.0813494	0.217987	0.353011	0.28319
a57	0.00118607	0.00110049	0.00142627	0.00178357	0.00266598	0.00266192	0.00173955	0.00159797	0.000626701	0.000633883	0.000741255	0.00118197	0.000921412	0.00149902	0.0058351	0.0252104	0.0627667	0.0912717	0.218321	0.298275	0.278554
a82	0.0191117	0.0110502	0.0103653	0.0116035	0.0139809	0.0137697	0.0147845	0.0276708	0.0229807	0.0314374	0.0220825	0.0304034	0.0270211	0.0141466	0.026732	0.0616311	0.0832068	0.0993508	0.142664	0.163602	0.152405
a87	0.0491522	0.0213937	0.0173185	0.0196765	0.0238447	0.0282268	0.0321982	0.062386	0.0421034	0.0459635	0.0412979	0.0642094	0.0558379	0.0154622	0.02309	0.052612	0.0691555	0.0799353	0.0908536	0.0965019	0.0687808
a23	0.0534643	0.0276067	0.0231517	0.0257351	0.0327004	0.0408247	0.0437823	0.072049	0.0358416	0.0392763	0.0545184	0.0743215	0.0642177	0.0217933	0.020346	0.0487403	0.0672902	0.0759298	0.0712137	0.0662829	0.0409141
a99	0.0116523	0.00425384	0.00348503	0.00345385	0.00420279	0.00447285	0.00519793	0.00979962	0.00932057	0.0137582	0.0164712	0.0293943	0.035473	0.0169121	0.0278816	0.057894	0.0948288	0.123706	0.16625	0.206993	0.154599
a97	0.0050007	0.00176059	0.00154052	0.00204213	0.00291186	0.00353452	0.00419065	0.00758443	0.00716091	0.0134911	0.025287	0.0396891	0.0427099	0.0210271	0.0287044	0.0495699	0.0764934	0.100779	0.161373	0.217506	0.187643
a30	0.0039713	0.0012212	0.00100211	0.00143597	0.0023672	0.00288684	0.00290547	0.0054235	0.00406256	0.00653073	0.0137227	0.0178227	0.0160164	0.00647604	0.0083302	0.0171247	0.0329348	0.0677897	0.174884	0.305005	0.308087
</S>	0.0075245	0.00278437	0.00266898	0.0043958	0.00725624	0.00789518	0.0072592	0.0110492	0.00759265	0.0122319	0.0248179	0.0288751	0.0226537	0.00812974	0.00840215	0.0172075	0.0323541	0.066665	0.152917	0.263941	0.303378
