 	le	fil	qu'	on	a	utilisé	pour	la	passerelle	est	maintenant	détendu	</S>
a56	0.00011684	0.000125229	0.000193921	0.000435565	0.000902336	0.00122936	0.0024081	0.00384826	0.0135165	0.027988	0.111611	0.235335	0.60229
a62	8.57087e-05	8.1368e-05	0.000118927	0.000264656	0.00067236	0.0010282	0.00231053	0.00377662	0.0153279	0.0319672	0.10819	0.212873	0.623303
a61	0.000165454	0.000182458	0.000279898	0.000579407	0.00126232	0.00173242	0.00349296	0.00536416	0.0177316	0.036494	0.118546	0.219848	0.594321
a34	0.000159092	0.000167958	0.000236837	0.000478494	0.00112127	0.00148025	0.00265225	0.00353894	0.0122051	0.027282	0.106312	0.197188	0.647177
a44	7.65653e-05	8.01765e-05	0.000126829	0.000311749	0.000792164	0.00112263	0.00211561	0.00321176	0.0134815	0.0307932	0.108225	0.2327	0.606963
a70	9.09639e-05	9.36953e-05	0.000155465	0.000374379	0.000950611	0.00127137	0.00199735	0.00294981	0.0106293	0.0258544	0.122108	0.243296	0.590228
a24	0.00164052	0.00125471	0.00160975	0.00241343	0.00477069	0.00524596	0.00847822	0.0133738	0.0306525	0.0631342	0.180054	0.239715	0.447657
a9	0.000421799	0.000338626	0.000435076	0.000681965	0.00160143	0.00236878	0.00453615	0.00784127	0.026015	0.0500621	0.151042	0.247727	0.506929
a87	0.0195932	0.0126253	0.013203	0.0170128	0.0187514	0.0137909	0.0248047	0.0320974	0.0479581	0.0775698	0.182355	0.238985	0.301254
</S>	0.149171	0.0705132	0.0497275	0.0508257	0.0522689	0.0371255	0.0516149	0.0575251	0.0547438	0.0686679	0.103774	0.118391	0.135651
