 	au	commencement	quand	dieu	créa	l'	homme	celui-ci	était	parfait	</S>
a37	0.00384105	0.0108212	0.0349217	0.0286558	0.038056	0.104639	0.125701	0.1023	0.13481	0.187713	0.228542
a93	0.00687861	0.0147325	0.0467122	0.0331279	0.0390782	0.0910372	0.108076	0.0869928	0.105901	0.168102	0.299362
a4	0.00536023	0.0121529	0.03747	0.0254131	0.0290917	0.0750021	0.0950264	0.0921765	0.122348	0.181444	0.324514
a57	0.00337132	0.0079043	0.0261847	0.0168899	0.0193504	0.0623929	0.0920574	0.106284	0.143956	0.203123	0.318487
a3	0.00877813	0.0142747	0.0342015	0.0204994	0.0139743	0.0246862	0.039696	0.0650576	0.120392	0.219168	0.439273
a87	0.0269456	0.0339716	0.072765	0.0562625	0.0352265	0.0582531	0.0888756	0.0960012	0.136305	0.181461	0.213932
a23	0.0641155	0.0253643	0.0360312	0.0297963	0.0248456	0.0602139	0.111583	0.147265	0.169157	0.17202	0.159609
a38	0.00717499	0.00745634	0.0180209	0.0219564	0.0296271	0.0764802	0.100723	0.129852	0.166334	0.184989	0.257386
a93	0.000418167	0.000919482	0.00405323	0.00896325	0.0104569	0.0247455	0.0521862	0.124818	0.195151	0.253836	0.324452
a56	0.00108565	0.00286672	0.011513	0.0191572	0.0172451	0.0261865	0.0417406	0.0841108	0.19131	0.29625	0.308535
a92	0.00064657	0.00238002	0.0111095	0.0161495	0.0150797	0.0282538	0.0447342	0.0918137	0.185022	0.28972	0.315092
a37	0.000932968	0.00196824	0.00745803	0.00915496	0.0113245	0.027276	0.042923	0.0843375	0.181589	0.279754	0.353282
a75	0.000741112	0.00321157	0.0145409	0.013597	0.0108683	0.0211257	0.0326279	0.0633933	0.147764	0.264964	0.427166
a85	0.000695805	0.001479	0.00490461	0.00532942	0.0063822	0.0174504	0.0300935	0.055292	0.13817	0.285989	0.454214
a6	0.000747652	0.00143642	0.00505713	0.00449361	0.00474494	0.0149263	0.02549	0.0418728	0.108513	0.253611	0.539107
a36	0.000511515	0.00152564	0.00496409	0.00396618	0.0041088	0.0128586	0.0223665	0.0393708	0.101539	0.23234	0.576449
a90	0.00139053	0.00192443	0.00470582	0.00279116	0.00175073	0.00526846	0.0122084	0.0259008	0.0815752	0.23847	0.624014
a44	0.00033467	0.00064251	0.0013811	0.000857535	0.000710388	0.00291885	0.00781002	0.0191847	0.0684355	0.21168	0.686044
a75	0.000309476	0.00056287	0.00122786	0.000841327	0.000489587	0.00180041	0.00495543	0.0131661	0.061589	0.236165	0.678893
a37	0.000368169	0.000385684	0.000655784	0.000437775	0.000455366	0.00223927	0.00616132	0.0150144	0.0606052	0.203235	0.710442
a66	0.000456421	0.000689605	0.00136648	0.00118131	0.000628883	0.00190659	0.00511186	0.016394	0.0749911	0.272541	0.624732
a61	0.0059945	0.00510469	0.00863475	0.00912155	0.00484717	0.00941525	0.0210887	0.0503497	0.13155	0.283399	0.470494
a18	0.00116681	0.00144437	0.00279891	0.0028795	0.00165403	0.00416914	0.0103967	0.0330752	0.105201	0.279405	0.557809
a71	0.0123169	0.010611	0.0139915	0.0148619	0.00762549	0.0129194	0.024977	0.0460452	0.116956	0.260702	0.478994
a9	0.0417559	0.0193049	0.0213196	0.0220906	0.0157758	0.0313778	0.0646887	0.0811307	0.127461	0.220535	0.35456
a87	0.0767853	0.021555	0.0243395	0.0251686	0.0220166	0.0481642	0.0903827	0.0963931	0.127768	0.200754	0.266673
a23	0.141441	0.0307916	0.0420341	0.0440996	0.0327792	0.0801763	0.144199	0.116809	0.110126	0.129765	0.127779
a97	0.0918911	0.0136585	0.0130928	0.0143396	0.00807032	0.0265705	0.0689707	0.0716443	0.143692	0.221135	0.326935
</S>	0.0413715	0.00730381	0.0147092	0.012983	0.0106345	0.0274109	0.0411641	0.0414151	0.0930885	0.224864	0.485056
