 	le	véhicule	qui	est	tombé	en	panne	hier	est	déjà	réparé	</S>
a96	0.0194276	0.0229767	0.0440729	0.090986	0.114009	0.121759	0.0970467	0.0847891	0.078225	0.0748063	0.112151	0.139751
a18	0.00954944	0.0109132	0.0219934	0.0528639	0.0905943	0.105127	0.0914502	0.0838272	0.0796496	0.0859131	0.147312	0.220806
a54	0.00592371	0.00672637	0.0129723	0.0305144	0.0677053	0.0821227	0.0744327	0.0693379	0.0749614	0.0897078	0.177576	0.308019
a73	0.00956352	0.0102895	0.0187564	0.0439031	0.0934836	0.107499	0.0971899	0.0931287	0.085494	0.0826104	0.11754	0.240542
a7	0.00710532	0.0075959	0.0145362	0.0336674	0.0749695	0.0887442	0.0928224	0.0907308	0.0823553	0.0832379	0.136952	0.287283
a44	0.00345029	0.00404793	0.00658304	0.0127381	0.0223526	0.0275958	0.0344959	0.0501186	0.0710144	0.0995203	0.201979	0.466104
a53	0.0039862	0.00399899	0.00573995	0.0102529	0.0178981	0.022514	0.0287568	0.0418415	0.0607104	0.0930219	0.197195	0.514084
a4	0.00237263	0.00226149	0.0037947	0.00860528	0.0176013	0.0217792	0.0284095	0.0392977	0.0584419	0.0948317	0.228851	0.493753
a70	0.00181802	0.0015582	0.00255584	0.00593315	0.0129199	0.0161333	0.0212277	0.0293607	0.0433731	0.0796467	0.229601	0.555872
a99	0.00197546	0.00156349	0.00209851	0.00424895	0.00838681	0.00953434	0.0122621	0.0186542	0.0315187	0.0689979	0.207868	0.632891
a50	0.00100342	0.000902056	0.000963118	0.00173688	0.00258012	0.00259954	0.00360276	0.00747791	0.0186684	0.0589666	0.227589	0.673911
a99	0.00122879	0.00127903	0.00141845	0.00229739	0.00319112	0.00315732	0.00414631	0.00692494	0.0159257	0.0430181	0.20996	0.707453
a66	0.00108238	0.00100875	0.00104447	0.0017156	0.00248278	0.00247524	0.00367355	0.00779126	0.0191047	0.0502389	0.211381	0.698001
a71	0.0184511	0.00880941	0.00719011	0.00924257	0.0121426	0.0121661	0.0156882	0.0294985	0.0481648	0.0814632	0.224283	0.5329
a9	0.0355627	0.0165227	0.0129759	0.0155669	0.0194183	0.0196435	0.0265942	0.0447049	0.0663823	0.0999814	0.209664	0.432983
a97	0.0650655	0.0271027	0.0204961	0.0254489	0.0349149	0.0392773	0.0469468	0.0659062	0.0869442	0.108207	0.180229	0.299461
a87	0.0881756	0.0421977	0.0374562	0.0432454	0.0651189	0.0751339	0.0795911	0.0994342	0.1069	0.109387	0.113305	0.140056
a23	0.056367	0.0368853	0.0431251	0.0538276	0.0998716	0.112447	0.111779	0.122515	0.110624	0.100182	0.0738745	0.0785005
a87	0.0559893	0.0417603	0.0444742	0.062592	0.0952755	0.116824	0.136231	0.141104	0.0939873	0.0830748	0.060039	0.068649
</S>	0.0451659	0.0388078	0.0433238	0.0612072	0.10914	0.13224	0.156274	0.156824	0.0914516	0.0773547	0.0416963	0.0465138
