 	si	un	cadet	meurt	et	laisse	des	parcelles	il	ne	faut	pas	espérer	c'	est	l'	héritage	de	ses	enfants	</S>
a34	0.0857598	0.11182	0.0971565	0.0731047	0.0679625	0.0744269	0.0822741	0.0940236	0.0822041	0.0463408	0.0338328	0.0230565	0.017471	0.0154497	0.0132861	0.0100593	0.00880184	0.0109089	0.0136614	0.0174324	0.0209673
a98	0.0615052	0.0929896	0.0887532	0.0684015	0.0660537	0.0751421	0.0891135	0.105114	0.10161	0.0615541	0.0437855	0.0295065	0.0210639	0.0172588	0.013408	0.00900629	0.00770331	0.00859197	0.0105338	0.0129626	0.015942
a25	0.0490144	0.079819	0.0591114	0.0410967	0.0449209	0.0500539	0.0626894	0.0744888	0.088428	0.0741369	0.0643582	0.0489941	0.0365594	0.0331422	0.0250838	0.0170655	0.0142433	0.0181019	0.0269879	0.0397183	0.0519859
a79	0.0327678	0.0415878	0.0385735	0.0392185	0.0544847	0.066888	0.0826611	0.0940557	0.107482	0.0862211	0.0658645	0.0489715	0.0357582	0.0365152	0.026757	0.0182486	0.0139039	0.0147649	0.018733	0.0314085	0.045135
a15	0.0259148	0.03113	0.0305817	0.0299201	0.0474869	0.0635306	0.0813036	0.0919793	0.10248	0.0872728	0.0720454	0.0550064	0.0398539	0.0438012	0.0352409	0.0257022	0.0185488	0.0186278	0.0206363	0.032645	0.0462928
a20	0.0112827	0.0127727	0.0143156	0.0183579	0.0381141	0.0606511	0.0898748	0.102001	0.120126	0.103036	0.083754	0.0680465	0.0469909	0.0441662	0.0357635	0.0245046	0.0197099	0.0186873	0.0192128	0.0281941	0.040438
a69	0.011736	0.0128354	0.0134033	0.0157811	0.0333301	0.0526653	0.0794754	0.0925196	0.113538	0.101413	0.0853102	0.0792392	0.0576646	0.0514464	0.0442809	0.0303858	0.026817	0.0202959	0.018293	0.0250186	0.034551
a44	0.00622825	0.00697644	0.00909717	0.0135442	0.0307847	0.052227	0.0793083	0.101744	0.112027	0.0968795	0.0836522	0.0800482	0.0566418	0.0568927	0.0490674	0.0342293	0.0261636	0.0192592	0.01773	0.0274865	0.0400117
a93	0.0026224	0.00261161	0.00390951	0.00787951	0.0221342	0.04024	0.064762	0.0885511	0.104173	0.0972696	0.0886155	0.0920749	0.070379	0.0746424	0.0614494	0.0418951	0.0287111	0.0197771	0.0182455	0.0288858	0.0411706
a44	0.0027778	0.00256083	0.00325411	0.00583488	0.0171254	0.0310553	0.0521318	0.0733197	0.0966102	0.0944396	0.0876559	0.0997705	0.0807199	0.0919679	0.0773406	0.0498069	0.0330702	0.0174463	0.0154589	0.0269393	0.0407139
a4	0.00165114	0.00156028	0.00177278	0.00384064	0.0124203	0.0263175	0.051752	0.0887686	0.0968173	0.0930286	0.0932252	0.109755	0.0834843	0.0884298	0.0724662	0.0474815	0.0301978	0.0170135	0.0143264	0.0257801	0.0399113
a44	0.00283019	0.00243889	0.00270085	0.00481863	0.0122193	0.0251424	0.0488712	0.0852972	0.0947609	0.0991468	0.101457	0.127044	0.0942455	0.094333	0.0724639	0.041756	0.0226187	0.0112439	0.00934301	0.0178687	0.0293997
a98	0.00359512	0.00309623	0.00274594	0.00399327	0.00921009	0.0183049	0.0372734	0.0693555	0.0815701	0.0874108	0.0926136	0.124268	0.0927421	0.0951396	0.076883	0.0528885	0.0326335	0.0168578	0.0153113	0.0320373	0.0520698
a79	0.00234219	0.00212332	0.00215953	0.003666	0.00891222	0.0197785	0.0477044	0.0974822	0.0954537	0.0910627	0.0877141	0.117194	0.0887106	0.0809762	0.0723483	0.0466586	0.0343332	0.0178129	0.0132742	0.024475	0.045818
a37	0.00299105	0.00279536	0.00270741	0.00438923	0.0113147	0.0242084	0.0513072	0.0885613	0.0888286	0.082694	0.0830189	0.106533	0.0869593	0.0833388	0.0769856	0.053555	0.0412506	0.0202307	0.015006	0.0263249	0.0469994
a44	0.00351769	0.00299433	0.00292832	0.00407519	0.00864568	0.0162078	0.0346158	0.0755361	0.0837815	0.0834379	0.086831	0.119675	0.0921186	0.0882427	0.0796086	0.0595028	0.0423116	0.0227909	0.0168663	0.0290704	0.047242
a26	0.00499135	0.00404237	0.00391609	0.00522284	0.0104469	0.0179245	0.0345505	0.0676811	0.0768624	0.0862958	0.0913891	0.132809	0.105461	0.0950371	0.0820904	0.0574548	0.0365881	0.0171344	0.0116182	0.0212188	0.0372649
a3	0.0171334	0.0137089	0.0149774	0.0176961	0.0235593	0.0312789	0.0449556	0.0655166	0.0718209	0.0871789	0.0832945	0.106713	0.108292	0.0973148	0.075399	0.0487161	0.0300522	0.0107982	0.00769175	0.0146669	0.0292357
a97	0.0276606	0.0208248	0.0233572	0.0251734	0.0251061	0.0325143	0.0459516	0.071273	0.0649227	0.0821594	0.0709075	0.0866733	0.097506	0.0755216	0.0602259	0.0454437	0.0380722	0.0177006	0.0156011	0.0258538	0.0475513
a87	0.0421853	0.0300897	0.0329385	0.0347658	0.0320576	0.0490068	0.0644802	0.0814212	0.0585755	0.0696054	0.0539859	0.0586461	0.0655322	0.0465373	0.0405577	0.0334939	0.0307965	0.0235532	0.0259766	0.0428175	0.0829769
a23	0.0612543	0.0385685	0.0560813	0.0703073	0.0586896	0.0846651	0.0838666	0.0828828	0.0438661	0.0428784	0.0332637	0.0322686	0.0373766	0.0341381	0.0350227	0.03545	0.0302317	0.0308437	0.0278908	0.030353	0.050101
a12	0.0296567	0.0224677	0.0274778	0.0331846	0.0351145	0.0513472	0.0511874	0.0561053	0.036099	0.0444316	0.036037	0.0391784	0.0462762	0.0420515	0.0428803	0.0507705	0.0454146	0.0442335	0.0500477	0.0784814	0.137557
a18	0.00372539	0.00403385	0.00586795	0.0141786	0.0273542	0.0600051	0.0828611	0.142345	0.0546601	0.0385889	0.0410582	0.0343175	0.0251801	0.0265733	0.0299751	0.0321395	0.0280807	0.0518063	0.0757881	0.0935007	0.127961
a23	0.00290139	0.00370172	0.00537609	0.00912638	0.0185599	0.0378636	0.0603933	0.132049	0.051902	0.0339	0.0357696	0.0327881	0.0246432	0.0250266	0.0270339	0.0326654	0.0285217	0.0601143	0.0884836	0.122692	0.166488
a75	0.00179468	0.0025913	0.00426886	0.00797513	0.0169867	0.0366646	0.0591797	0.126256	0.0548585	0.034958	0.036125	0.0313158	0.0206775	0.0187677	0.0184537	0.0213547	0.0184994	0.0473002	0.0938807	0.147851	0.200241
a47	0.00194407	0.0024733	0.0027861	0.00402875	0.0101835	0.0216563	0.0346292	0.0631284	0.0452123	0.0415061	0.0398626	0.0399322	0.0291935	0.0281801	0.027016	0.0249887	0.0230878	0.0368785	0.0808276	0.172269	0.270216
a79	0.00113629	0.00139091	0.00155707	0.00226192	0.00560877	0.0112552	0.0197057	0.039275	0.0379536	0.04289	0.0408853	0.0476631	0.0343071	0.0344216	0.0323825	0.0300811	0.0272781	0.0447205	0.088796	0.178619	0.277811
a98	0.00206906	0.00237307	0.00252933	0.00324336	0.00809354	0.016989	0.0315969	0.0581812	0.0486947	0.047504	0.0446227	0.0512275	0.0380119	0.0389428	0.0382895	0.0351231	0.0303634	0.0421802	0.0766764	0.160217	0.223071
a85	0.00076377	0.000873446	0.00111021	0.00194242	0.00542515	0.0112002	0.0199522	0.0409544	0.0385465	0.0443833	0.0424781	0.0464377	0.0351901	0.0361176	0.0345121	0.0337692	0.030182	0.0422908	0.0765885	0.176292	0.280991
a5	0.00049209	0.000473939	0.000795756	0.00152641	0.00351748	0.00640965	0.0101689	0.0214286	0.0200082	0.0282559	0.0283796	0.0358865	0.0313486	0.0348759	0.0341283	0.037498	0.0340845	0.0513076	0.101559	0.217467	0.300388
a36	0.00129297	0.00135605	0.00180992	0.00249371	0.00566596	0.0111684	0.0188586	0.0413214	0.0322049	0.0410027	0.0400851	0.0480019	0.0454708	0.0478279	0.0461157	0.046333	0.0402975	0.0535841	0.0987514	0.17452	0.201839
a6	0.00320688	0.00366767	0.00413274	0.00623666	0.0111748	0.0208433	0.0324404	0.0516949	0.029305	0.033727	0.0375786	0.0506445	0.0452906	0.039305	0.0342131	0.0344377	0.0291405	0.0425844	0.0896448	0.1711	0.229632
a37	0.000701075	0.000760238	0.00073861	0.000782751	0.00149133	0.00296753	0.00593959	0.0159296	0.0122863	0.0206357	0.0223465	0.0318882	0.0279847	0.0325726	0.0345566	0.0434628	0.0319485	0.0417888	0.0841055	0.21266	0.374453
a92	0.00125473	0.00151132	0.00163698	0.00214207	0.0038886	0.00732512	0.0128942	0.0239278	0.0156803	0.0210114	0.0232593	0.0310997	0.0267055	0.0262913	0.0245759	0.0284115	0.0220049	0.0307959	0.0694947	0.213929	0.41216
a44	0.000579214	0.000666573	0.000649827	0.000713368	0.00138985	0.00269868	0.00499352	0.0123738	0.00932589	0.0159741	0.017197	0.0249818	0.0219347	0.0269573	0.029308	0.0385779	0.0282593	0.0355364	0.0742481	0.224603	0.429032
a21	0.00118231	0.001409	0.00160134	0.00204106	0.00363237	0.00673906	0.0120308	0.0210131	0.0140479	0.0196397	0.0217779	0.0300227	0.0252682	0.0239748	0.023427	0.0284148	0.0217362	0.0310237	0.0709741	0.221424	0.41862
a56	0.00119882	0.00141367	0.00201338	0.00266185	0.00485305	0.0087446	0.0149945	0.0274391	0.0213161	0.0302617	0.0297787	0.0425534	0.0390477	0.0351346	0.0320686	0.0343858	0.0323276	0.0394703	0.0842057	0.193935	0.322196
a34	0.000929211	0.00117469	0.00164095	0.00211502	0.00399545	0.00744174	0.0138762	0.0285038	0.0214214	0.029283	0.0289519	0.0407869	0.033098	0.0276529	0.0252977	0.0273073	0.0252917	0.0327613	0.072692	0.204145	0.371634
a54	0.00112969	0.00154878	0.00226735	0.00315029	0.0053462	0.00934957	0.0180112	0.0390634	0.0261135	0.0317856	0.0319721	0.0416601	0.0339609	0.0233322	0.0200219	0.0209784	0.0210718	0.0281721	0.0653632	0.190056	0.385646
a47	0.000770653	0.000958984	0.00113464	0.00131286	0.00186873	0.00289087	0.00544164	0.0167209	0.0114721	0.0182515	0.019492	0.0271353	0.0228256	0.0226151	0.0201342	0.0258911	0.0225225	0.0267016	0.0610981	0.206994	0.483768
a36	0.000472661	0.000552152	0.000534307	0.000690197	0.00102889	0.00172612	0.00332636	0.0116668	0.00826579	0.0151742	0.0158094	0.0215287	0.0182928	0.0189001	0.0167284	0.0223575	0.0185492	0.0232091	0.0593128	0.22886	0.513014
a7	0.00986718	0.010517	0.0111981	0.0162251	0.0172121	0.0234798	0.0304661	0.0566829	0.0235799	0.0286763	0.0302364	0.0317178	0.0307101	0.024571	0.0225766	0.0218444	0.0185494	0.0290294	0.0705503	0.177874	0.314436
a84	0.0253469	0.0222459	0.0201338	0.0258359	0.0230473	0.0295082	0.0328633	0.0537512	0.0241907	0.0294059	0.0274891	0.0301405	0.0289785	0.0232865	0.0220947	0.0218548	0.022347	0.0349873	0.0856978	0.162242	0.254552
a57	0.0553619	0.0394654	0.029288	0.0285741	0.0244756	0.033037	0.039735	0.0615518	0.0226286	0.024442	0.0233925	0.0288451	0.0301026	0.0230265	0.0265429	0.0290759	0.032601	0.0524391	0.0930667	0.12243	0.179918
a62	0.0765252	0.0485082	0.0322946	0.0319105	0.0242062	0.0318089	0.0343629	0.0408487	0.0152113	0.0183905	0.020051	0.0244554	0.0338403	0.029527	0.0392301	0.0437912	0.0485846	0.0749458	0.106345	0.100142	0.12502
a21	0.00432143	0.00401137	0.00346157	0.00399286	0.0042537	0.0069293	0.00919011	0.0151547	0.00548929	0.0046841	0.00506689	0.00601526	0.00559862	0.00521054	0.00622074	0.00759652	0.00724757	0.0186493	0.0768437	0.259578	0.540484
a85	0.00104153	0.00119859	0.00131134	0.00178861	0.00283655	0.00578735	0.0102539	0.0241353	0.0117203	0.014028	0.0129205	0.0176557	0.014388	0.0129723	0.0137996	0.0178372	0.015865	0.028673	0.092316	0.255478	0.443993
a47	0.00064375	0.000843606	0.000880212	0.00122979	0.00211261	0.00426979	0.00713058	0.016616	0.00870524	0.0128217	0.0134023	0.0180646	0.0149069	0.0166429	0.0155514	0.0201549	0.0159905	0.024767	0.0810329	0.252862	0.471371
a98	0.000729798	0.000991515	0.00104941	0.00117256	0.00193036	0.00361434	0.00608734	0.0174556	0.00773965	0.0114948	0.0119783	0.013329	0.0115557	0.0130207	0.0115938	0.0149584	0.0108279	0.0212235	0.0746614	0.250777	0.513808
a47	0.000376131	0.000497943	0.000511673	0.00060656	0.00108966	0.00215092	0.00373401	0.0125303	0.00634212	0.0110466	0.0118685	0.0134377	0.0121832	0.014708	0.0145088	0.0194925	0.0140504	0.0201903	0.0676382	0.249495	0.523541
a36	0.00051657	0.000658231	0.000662689	0.000808182	0.00138548	0.00275021	0.00493805	0.0193328	0.00871539	0.014654	0.0142574	0.0145015	0.0125361	0.0155358	0.0148227	0.0198976	0.0148104	0.0277639	0.0851682	0.258639	0.467645
a2	0.00252974	0.00322494	0.00381224	0.005361	0.00655071	0.0098674	0.0132066	0.0251937	0.00869978	0.0108702	0.0124338	0.011961	0.0117188	0.0116545	0.0109008	0.0133382	0.00954493	0.0234693	0.0796607	0.256266	0.469736
a57	0.016437	0.0165577	0.0158801	0.0206469	0.0198536	0.0277093	0.0305605	0.0520149	0.0167621	0.0202144	0.0201132	0.0183569	0.0188794	0.0149686	0.0148978	0.0161762	0.0159966	0.0382371	0.110743	0.204771	0.290225
a87	0.041627	0.0259037	0.0189771	0.0211427	0.0189534	0.025662	0.0318171	0.0554323	0.0178447	0.0208074	0.0205799	0.0202694	0.0215181	0.0174111	0.0218233	0.0290623	0.0312622	0.0755772	0.122041	0.155428	0.20686
a23	0.0607847	0.0329168	0.0214612	0.0219482	0.0200798	0.0290161	0.0316658	0.0397393	0.018037	0.0206946	0.022982	0.0245598	0.0299859	0.0236952	0.0326161	0.0413094	0.0463543	0.0837169	0.100572	0.119676	0.178189
a10	0.0125479	0.00698027	0.00542145	0.0048707	0.0046039	0.00645556	0.00706405	0.0102658	0.00468099	0.005364	0.00671712	0.00587349	0.00560567	0.00685154	0.0105329	0.0207526	0.0189075	0.068047	0.147937	0.261541	0.37898
a87	0.0108057	0.00738098	0.00687595	0.00661563	0.00648573	0.00867965	0.00932637	0.012136	0.00778791	0.00827377	0.0103555	0.00849722	0.00666557	0.00878497	0.0130917	0.0224358	0.0176057	0.0406036	0.0907951	0.241204	0.455593
</S>	0.0210547	0.01241	0.0138623	0.0145544	0.0119617	0.0150825	0.0136651	0.016044	0.0102117	0.00970706	0.00995416	0.00844529	0.00794165	0.00876617	0.0110458	0.0133142	0.011292	0.0210195	0.0538886	0.206242	0.509537
