 	la	manière	dont	cette	huile	s'	est	fondue	il	ya	certainement	quelqu'	un	qui	l'	a	chauffée	</S>
a5	0.0329734	0.0468563	0.0872476	0.102051	0.101904	0.100441	0.0836698	0.089645	0.063145	0.0609442	0.0630836	0.0558199	0.0241581	0.0182065	0.0167196	0.0167971	0.0186213	0.0177159
a12	0.0131265	0.0190103	0.0468227	0.0792173	0.100478	0.108256	0.0949348	0.105818	0.0772577	0.0762358	0.0813054	0.0729236	0.0304018	0.0213503	0.0165946	0.0164958	0.0197187	0.0200518
a75	0.00826087	0.0114883	0.0291462	0.0555835	0.085332	0.105047	0.101173	0.106982	0.0956319	0.0935258	0.100113	0.0918565	0.0361885	0.023017	0.0141254	0.0125589	0.0148941	0.0150758
a6	0.00517534	0.00782216	0.0219525	0.0585096	0.0891888	0.112026	0.109216	0.112881	0.0933901	0.0892721	0.0893031	0.0765211	0.0405512	0.0282433	0.0168734	0.0137169	0.0161153	0.0192416
a5	0.00362912	0.00547832	0.0137365	0.0478402	0.0855427	0.11534	0.11743	0.118509	0.0949195	0.0848971	0.0838325	0.0657008	0.0390326	0.0283724	0.0196515	0.01859	0.0243035	0.0331953
a37	0.0044799	0.00609923	0.013234	0.04768	0.0891799	0.120248	0.126164	0.123357	0.100223	0.0873011	0.0835277	0.0668299	0.0371459	0.0257093	0.015926	0.0139011	0.0171802	0.0218135
a21	0.00388227	0.00502368	0.0110179	0.0420438	0.0851657	0.127452	0.131388	0.125221	0.102394	0.0863123	0.0852158	0.0659653	0.0347687	0.0223757	0.0140579	0.0138704	0.0188755	0.0249699
a85	0.00225542	0.00273807	0.00565779	0.0230447	0.0680951	0.111513	0.121178	0.127805	0.114886	0.0948091	0.0975215	0.0805019	0.0434244	0.0310226	0.0192417	0.0151959	0.018049	0.0230614
a79	0.00204358	0.00214168	0.00359931	0.0152767	0.0486834	0.0892901	0.103014	0.106861	0.0904974	0.073221	0.0770246	0.0589822	0.0475424	0.0441052	0.0471269	0.0477253	0.0594496	0.083416
a44	0.00204954	0.00288405	0.00454548	0.0151447	0.0430136	0.0959861	0.124123	0.109037	0.114963	0.0843376	0.110241	0.0745525	0.0525433	0.0381671	0.0277899	0.0227766	0.0302955	0.0475502
a56	0.0023976	0.0034835	0.00622932	0.0191332	0.0393662	0.0998564	0.132279	0.11302	0.108716	0.0730457	0.118546	0.074449	0.0445052	0.0293137	0.0225522	0.0224138	0.0337031	0.0569898
a79	0.000967612	0.00148739	0.00282245	0.00922623	0.0265	0.0734425	0.111279	0.0994324	0.104309	0.0800644	0.111352	0.0769993	0.0521351	0.0377072	0.0325174	0.035657	0.0557899	0.0883104
a37	0.00151635	0.00209252	0.00348415	0.00958262	0.021711	0.0601793	0.0967746	0.08784	0.0986292	0.070529	0.120077	0.0762792	0.05247	0.0380686	0.0358481	0.0405405	0.0671586	0.117219
a92	0.00220874	0.00265195	0.00439813	0.0121688	0.0208553	0.0562662	0.0928284	0.082189	0.100622	0.0766424	0.157923	0.097993	0.0562315	0.0373475	0.0280813	0.0287044	0.0493837	0.0935043
a47	0.00135846	0.00180607	0.00276419	0.00670379	0.015795	0.0404886	0.0689274	0.0674539	0.0898886	0.0722043	0.120405	0.0798432	0.0595994	0.0480642	0.0511062	0.0562918	0.082261	0.135039
a36	0.00260907	0.0030398	0.00404857	0.0117965	0.02278	0.0556292	0.0829078	0.0768215	0.106442	0.0764674	0.155814	0.0797678	0.0497265	0.0373106	0.0335464	0.0355496	0.058411	0.107332
a2	0.00685329	0.0081524	0.00942397	0.0205856	0.0286019	0.0585861	0.087379	0.0771785	0.101491	0.0866265	0.179377	0.0929091	0.0386798	0.0272352	0.0191518	0.0252143	0.0480564	0.0844982
a57	0.0140569	0.0173995	0.0187785	0.0303731	0.0368565	0.0590056	0.0782197	0.0782775	0.0987051	0.0970565	0.155121	0.0993746	0.0410774	0.0292198	0.0190293	0.0238691	0.0417752	0.0618048
a87	0.0193018	0.0171922	0.0155388	0.0222502	0.0299821	0.0469808	0.0615645	0.0691003	0.0957934	0.0996276	0.133797	0.105214	0.0532616	0.0410209	0.0298632	0.0359816	0.0547284	0.068801
a23	0.0790526	0.0369048	0.0148203	0.0172323	0.0242163	0.0339327	0.0498555	0.0621446	0.0890568	0.0756565	0.0595392	0.0519073	0.0499913	0.0576815	0.0681592	0.0818587	0.0771539	0.0708366
a13	0.0212918	0.0158345	0.00767682	0.00910543	0.0172454	0.0268785	0.0452641	0.047549	0.0862198	0.0693441	0.0538965	0.0550273	0.0633956	0.0735217	0.0831429	0.101871	0.103766	0.118969
a44	0.00182298	0.00204648	0.00281718	0.00496268	0.0086777	0.0146479	0.0241011	0.0170126	0.0286039	0.0304728	0.0434515	0.047101	0.0787075	0.0955937	0.144279	0.139457	0.140022	0.176224
a79	0.000440542	0.000483926	0.00086658	0.00164022	0.00412486	0.00966117	0.0166229	0.0152969	0.0238625	0.0263795	0.0312212	0.0362231	0.0532276	0.0732812	0.144341	0.166373	0.181393	0.214561
a7	0.000212517	0.000357035	0.000928468	0.0020989	0.00567629	0.0131609	0.0203381	0.0187476	0.0267835	0.0280437	0.034942	0.0402309	0.0391475	0.0490667	0.0969964	0.149902	0.205165	0.268203
a54	0.000150285	0.00030255	0.000719345	0.00152501	0.00387248	0.00999615	0.0164708	0.0168473	0.0233345	0.0244054	0.0301399	0.0363285	0.0435137	0.0516615	0.110736	0.169655	0.203044	0.257298
a6	0.000255163	0.000528794	0.00118127	0.00268527	0.00686612	0.0159629	0.0239446	0.0234808	0.0348127	0.0392288	0.0542406	0.0532724	0.0442231	0.0469722	0.0758953	0.137057	0.190725	0.248668
a37	0.000130456	0.000227214	0.000460369	0.0012102	0.00369057	0.0101096	0.0160422	0.0159978	0.0234414	0.024414	0.0324259	0.0316378	0.0351492	0.0415618	0.0884069	0.177001	0.219619	0.278475
a70	0.000120782	0.000161754	0.000359032	0.00111948	0.00299868	0.00812391	0.0142764	0.0151469	0.0204821	0.020248	0.0244883	0.0252549	0.0277178	0.0356696	0.0853579	0.17768	0.231547	0.309248
a96	0.000173834	0.000162839	0.000374671	0.0012807	0.00340921	0.00889214	0.016548	0.0161083	0.0210914	0.0205742	0.0273824	0.0285784	0.0274367	0.0331744	0.0721695	0.163493	0.233501	0.325649
a70	0.000166141	0.000178559	0.000402558	0.00133126	0.00340135	0.00862566	0.0165689	0.0163907	0.0217533	0.0220044	0.0312639	0.0328152	0.0292488	0.0330079	0.0705432	0.151554	0.219574	0.34117
a66	0.000129108	0.000133775	0.000308615	0.00104032	0.00253124	0.00659933	0.0134073	0.0117265	0.0156031	0.0156981	0.0253521	0.0251991	0.022315	0.0245367	0.0551977	0.135411	0.234052	0.410759
a50	0.000632407	0.000682416	0.00125933	0.0038108	0.00724183	0.0191124	0.0327163	0.0316581	0.0380055	0.0356494	0.0639339	0.0490098	0.035011	0.0360298	0.0679995	0.12474	0.176966	0.275541
a96	0.000298672	0.000377627	0.000792018	0.00216544	0.00444882	0.0121747	0.0228025	0.0236347	0.0287373	0.0292129	0.0514603	0.0417502	0.0318857	0.0342695	0.0700548	0.134108	0.196431	0.315396
a37	6.28868e-05	7.00201e-05	0.000152646	0.000417849	0.00109309	0.00284297	0.00594573	0.00590321	0.00837134	0.00933379	0.0159043	0.0168379	0.017601	0.0209776	0.055356	0.142466	0.253914	0.44275
a27	8.28309e-05	0.000115825	0.000256749	0.000694224	0.00149001	0.00385483	0.00738906	0.00724867	0.0101022	0.0115337	0.023196	0.0188659	0.0165849	0.0187288	0.0508593	0.133065	0.246343	0.449589
a10	0.00266618	0.00234803	0.00292516	0.00579579	0.00890906	0.0187303	0.0256671	0.026201	0.036673	0.0402586	0.0737699	0.0475086	0.0335325	0.0390734	0.0843524	0.123598	0.165597	0.262394
a87	0.0298397	0.0170353	0.0109621	0.0140731	0.0172809	0.0214925	0.0259092	0.0309646	0.0465006	0.0587437	0.0610424	0.0542649	0.0646249	0.0791227	0.106939	0.113039	0.116261	0.131904
a23	0.0390587	0.0237112	0.013411	0.0140953	0.0214771	0.0324756	0.0466498	0.0527368	0.083599	0.101029	0.0799263	0.076035	0.0832276	0.085027	0.0714929	0.0663208	0.054008	0.0557191
a87	0.00896095	0.00620146	0.00387338	0.00418556	0.00828219	0.0154628	0.0280538	0.0308641	0.052784	0.0710737	0.0519884	0.0407093	0.0599687	0.0647645	0.0852371	0.120958	0.148328	0.198304
a23	0.0148454	0.00922367	0.00590936	0.00770534	0.0144948	0.0231935	0.0315141	0.0341336	0.0490589	0.0593437	0.0470397	0.0321039	0.0424508	0.0459022	0.0654492	0.114859	0.163002	0.239771
a87	0.00692169	0.00591575	0.00425475	0.00473997	0.0112657	0.0217523	0.0393889	0.0401024	0.0742651	0.0903038	0.0728114	0.0552498	0.0619864	0.06206	0.0675462	0.0892773	0.11901	0.173149
</S>	0.00620015	0.00487826	0.00292683	0.00318007	0.0069679	0.0123239	0.0197359	0.021451	0.0367648	0.047576	0.0331592	0.0216438	0.035146	0.0415401	0.0695826	0.137078	0.201947	0.297899
