 	nous	venons	de	couper	les	lianes	nommées	kwakwango	pour	construire	la	cuisine	</S>
a79	0.0036409	0.00209831	0.00378558	0.00610052	0.0170757	0.0480141	0.0864713	0.13593	0.132871	0.105657	0.112663	0.146284	0.199409
a69	0.00141321	0.000837653	0.00150695	0.0029903	0.0084219	0.0240384	0.059343	0.107224	0.13004	0.130541	0.151574	0.173268	0.208802
a90	0.000822877	0.000498205	0.0009324	0.00202814	0.00561403	0.0168553	0.0447887	0.10679	0.141384	0.147363	0.169504	0.175632	0.187787
a56	0.000363186	0.000197985	0.000601911	0.00174101	0.00511313	0.0136124	0.0318157	0.0913834	0.122341	0.140215	0.184048	0.199263	0.209303
a93	0.000171383	7.45031e-05	0.000228763	0.000696518	0.00216628	0.00590304	0.0150315	0.0542405	0.0948594	0.131624	0.208252	0.240691	0.246061
a70	5.31716e-05	2.13837e-05	4.73428e-05	0.000117702	0.000487895	0.00171289	0.00567605	0.0239905	0.0499244	0.0854341	0.171837	0.281264	0.379434
a62	8.99488e-05	2.90546e-05	6.64972e-05	0.000133354	0.00041424	0.00110102	0.00274447	0.00934932	0.0235943	0.0515377	0.163838	0.325846	0.421256
a88	0.000126975	4.68107e-05	0.000102347	0.00015507	0.000420019	0.00103462	0.00236366	0.00704024	0.0195118	0.0458957	0.151891	0.333272	0.43814
a93	6.37816e-05	1.9512e-05	5.24364e-05	0.000112606	0.000356489	0.000917532	0.00212919	0.00582956	0.0140734	0.0337229	0.124575	0.342211	0.475936
a96	6.58661e-05	1.92716e-05	6.40232e-05	0.000156962	0.000491713	0.00123556	0.00282747	0.0082386	0.0184562	0.0395217	0.11983	0.31531	0.493782
a90	7.55628e-05	1.96377e-05	5.44148e-05	0.000117016	0.000399343	0.00101126	0.00220877	0.00510749	0.012802	0.0311054	0.118175	0.344893	0.484031
a92	3.93797e-05	1.31175e-05	4.82602e-05	0.000128645	0.000419696	0.00106301	0.0025316	0.00620143	0.0143039	0.0306565	0.106921	0.326642	0.511031
a79	2.17557e-05	1.06861e-05	3.60852e-05	9.01029e-05	0.000332175	0.00106453	0.00284227	0.00771692	0.0160818	0.0324084	0.101821	0.297705	0.53987
a7	1.91134e-05	6.95638e-06	2.62341e-05	6.41838e-05	0.000256308	0.000826186	0.00260882	0.00842438	0.0193574	0.0374257	0.106118	0.292363	0.532504
a4	0.000134554	6.23512e-05	9.54934e-05	8.76304e-05	0.000198416	0.000395503	0.00091958	0.00320549	0.0119395	0.0303952	0.107555	0.290755	0.554256
a13	0.000238498	0.000109324	0.000172462	0.000211834	0.000528832	0.00124287	0.00299845	0.00790254	0.0251426	0.0517323	0.144519	0.311086	0.454115
a57	0.000927766	0.000433622	0.000542424	0.000589509	0.00124062	0.00270678	0.00830884	0.0243648	0.0599848	0.0847984	0.154563	0.261997	0.399543
a3	0.0391139	0.0245872	0.0148908	0.0115071	0.015221	0.0187283	0.0331408	0.0651668	0.0916321	0.10288	0.124299	0.185976	0.272857
a87	0.186777	0.140324	0.0957317	0.0324029	0.0308992	0.0313514	0.0285013	0.035936	0.0510207	0.0649732	0.0787071	0.0988824	0.124493
a23	0.116051	0.0775371	0.0824713	0.0338468	0.0315886	0.0331533	0.0301283	0.0486212	0.0683213	0.0883871	0.110554	0.13085	0.14849
a87	0.00862623	0.0056284	0.00609026	0.00202392	0.00246982	0.00384745	0.00744807	0.0229606	0.0601051	0.105888	0.228078	0.25083	0.296004
</S>	0.00227261	0.00140265	0.00137042	0.000624972	0.00132746	0.00347545	0.0108397	0.0311631	0.0849253	0.135628	0.219352	0.222377	0.285241
