 	je	m'	en	vais	chercher	le	notable	car	on	a	besoin	de	lui	à	la	veillée	mortuaire	</S>
a96	0.0666602	0.0945466	0.114614	0.137324	0.0965967	0.0764679	0.0619509	0.0470608	0.036051	0.0338846	0.0312048	0.0292247	0.0266419	0.02529	0.0222708	0.0276066	0.031491	0.0411136
a83	0.0525716	0.0702753	0.0882973	0.10982	0.0961575	0.0878496	0.0798902	0.0615536	0.0429671	0.0390234	0.0334113	0.0304392	0.0281914	0.0263328	0.0257102	0.0340911	0.0396367	0.0537818
a70	0.0314919	0.0436807	0.0671726	0.0956825	0.103336	0.0960422	0.0884163	0.0659777	0.0469226	0.0436663	0.0385302	0.0357225	0.0333758	0.0303205	0.0282742	0.0378748	0.0466671	0.0668462
a90	0.0314901	0.0379763	0.0571917	0.0823564	0.105849	0.101261	0.0955977	0.075437	0.0513237	0.0463051	0.0379834	0.0343362	0.0316338	0.0290329	0.0287028	0.0403967	0.0473705	0.0657559
a69	0.0240502	0.0323595	0.053928	0.0778399	0.0868451	0.0794069	0.0733371	0.0643629	0.054172	0.0498916	0.0445878	0.0434138	0.0430745	0.043417	0.0433361	0.0531221	0.057745	0.0751105
a4	0.0205559	0.0251945	0.0382459	0.0548105	0.0848393	0.0882145	0.0853475	0.0754809	0.0620751	0.0576885	0.0507813	0.0477266	0.0452206	0.0424619	0.0383626	0.0472424	0.0549053	0.0808466
a44	0.0175362	0.0187545	0.0273894	0.0395735	0.0839459	0.100337	0.104292	0.0873471	0.0613928	0.0570522	0.0478385	0.0443091	0.0415274	0.0384222	0.0339265	0.0475686	0.0558629	0.0929239
a37	0.0167378	0.016679	0.0227717	0.0308296	0.0645694	0.0848668	0.0949569	0.0878967	0.0677634	0.0633467	0.0548143	0.0519914	0.048757	0.0455694	0.0413694	0.0555769	0.0599339	0.0915696
a96	0.0134606	0.0128	0.0174844	0.0247686	0.0489439	0.0677727	0.0842725	0.0837415	0.0703877	0.0647757	0.0561824	0.0560287	0.0527512	0.0519052	0.050179	0.0702723	0.0705231	0.10375
a11	0.00873586	0.00804112	0.0115007	0.0167118	0.0383766	0.06171	0.0844007	0.0815327	0.0742176	0.0680625	0.0597644	0.0620428	0.0581821	0.0577743	0.0562658	0.0816729	0.0678874	0.103121
a43	0.00662341	0.00585691	0.00809767	0.0115318	0.0310833	0.0611763	0.0971544	0.0948935	0.0886814	0.0782471	0.0625105	0.0593908	0.0529125	0.051372	0.0517441	0.0803011	0.0619574	0.0964657
a11	0.00599324	0.00539101	0.00753497	0.0102641	0.024262	0.0468467	0.0793322	0.0846145	0.086089	0.0768813	0.0611976	0.0579691	0.0508324	0.0492383	0.0507436	0.0899017	0.0770577	0.135851
a70	0.0079137	0.00647405	0.00817617	0.00995798	0.0209824	0.0393813	0.0677703	0.0754142	0.0791268	0.0691386	0.054388	0.0515877	0.0451717	0.0451985	0.0488326	0.0941421	0.0953162	0.181028
a54	0.0038268	0.00313452	0.00409442	0.00542077	0.012794	0.0234776	0.0389505	0.0434929	0.0538671	0.0523984	0.0510957	0.0625722	0.0638133	0.0770511	0.0871414	0.144134	0.110991	0.161744
a37	0.00643128	0.0062409	0.0104123	0.0175887	0.0364422	0.0512362	0.0654136	0.0689054	0.0825778	0.0815844	0.0793719	0.0895705	0.0811734	0.0727465	0.0567805	0.0658392	0.0542015	0.0734837
a70	0.00265115	0.00243139	0.00389068	0.00598681	0.0160753	0.0288884	0.0433994	0.0471282	0.0608932	0.0574533	0.0547571	0.0702855	0.0679253	0.0771584	0.0732285	0.114453	0.106181	0.167214
a83	0.00200805	0.00174182	0.00272311	0.0040772	0.0109054	0.0200392	0.0307733	0.0335723	0.0498849	0.0503761	0.0514288	0.0701614	0.0721463	0.0854882	0.0849606	0.129272	0.117549	0.182893
a54	0.00171365	0.00151078	0.00221621	0.00287898	0.00669625	0.0123855	0.0205283	0.0251136	0.0389263	0.0377929	0.0392718	0.0543977	0.0576032	0.075171	0.0835158	0.148449	0.153057	0.238772
a7	0.00326663	0.0035802	0.00657469	0.0112985	0.031402	0.0469902	0.0598207	0.070016	0.088766	0.0836343	0.0825833	0.0903205	0.0759427	0.0663677	0.0521133	0.0638706	0.0633181	0.100135
a44	0.000552272	0.000615991	0.00122689	0.00205041	0.00736906	0.0146809	0.0218236	0.0261846	0.0489422	0.0503462	0.0536546	0.0751137	0.0708595	0.0765859	0.0686825	0.111982	0.134973	0.234357
a70	0.00100589	0.00106841	0.00202583	0.00314591	0.00956988	0.0180742	0.0261538	0.0330268	0.0557439	0.0548353	0.0571685	0.0765177	0.0732736	0.0793689	0.0701423	0.0990791	0.128198	0.211602
a66	0.000863963	0.000865588	0.00145974	0.00201222	0.0052739	0.0101103	0.0154316	0.0196558	0.0327012	0.0323119	0.0346953	0.0501097	0.0515109	0.066837	0.0757926	0.141193	0.179162	0.280013
a90	0.000720348	0.000677977	0.00106708	0.00141898	0.00367961	0.00707568	0.0114934	0.0164463	0.0259914	0.0265405	0.0299956	0.0442952	0.0440204	0.0588929	0.0661034	0.146209	0.211322	0.30405
a69	0.000664916	0.000618315	0.00104922	0.00158934	0.00480826	0.00957165	0.0157884	0.0224146	0.0388151	0.0392812	0.0429443	0.0589072	0.0613406	0.0724366	0.0742686	0.118682	0.173158	0.263662
a4	0.000508163	0.000544186	0.00101433	0.00163442	0.00552784	0.0110071	0.0177994	0.0246102	0.0410011	0.0408032	0.0437778	0.0614624	0.0619727	0.074338	0.0730338	0.12305	0.170493	0.247422
a93	0.000529753	0.000587997	0.00103099	0.00148114	0.00458269	0.00874578	0.0134683	0.0189275	0.0319333	0.0335945	0.0372873	0.0521135	0.0497572	0.0620383	0.068057	0.142381	0.196711	0.276773
a70	0.000585883	0.000621031	0.00104846	0.00149718	0.00449922	0.00865429	0.0132876	0.0188916	0.032365	0.0339113	0.0375983	0.0520388	0.0512524	0.0644336	0.0707024	0.136689	0.192478	0.279446
a13	0.000577803	0.000613366	0.00103007	0.00140725	0.0040976	0.00799897	0.0124631	0.0176758	0.0310143	0.0325961	0.0359469	0.0505825	0.0498468	0.0637392	0.0692203	0.137548	0.19494	0.288701
a62	0.000575204	0.000657604	0.00108594	0.00146896	0.00427868	0.00839919	0.013002	0.0188012	0.0319267	0.0339246	0.0375576	0.0540449	0.0538083	0.0678455	0.0716338	0.131289	0.197461	0.27224
a90	0.000724977	0.000810099	0.00124882	0.00156547	0.00343138	0.00611435	0.00904279	0.0122402	0.0213094	0.0240971	0.0278812	0.0416724	0.0443174	0.059922	0.0682845	0.138227	0.216334	0.322777
a54	0.000359114	0.000388221	0.000654447	0.00101988	0.00349621	0.00723871	0.0121788	0.0177542	0.0314534	0.0344052	0.0392712	0.056229	0.0602316	0.0722105	0.0710496	0.121577	0.183216	0.287267
a37	0.000779386	0.000887083	0.00164756	0.00257644	0.00866657	0.0169385	0.0247552	0.0309913	0.0499431	0.0530063	0.0622937	0.0815655	0.0779486	0.0780433	0.0615399	0.0864788	0.13625	0.225689
a70	0.000555546	0.000603353	0.000950107	0.00115033	0.00307084	0.00545224	0.0080726	0.0114366	0.020848	0.0239913	0.0304407	0.0437279	0.0399447	0.0456411	0.0401533	0.113864	0.231037	0.379061
a99	0.000558886	0.000634398	0.00104068	0.00136239	0.00327761	0.0054176	0.00758809	0.0103347	0.0186849	0.0210681	0.0253105	0.0358728	0.035049	0.0448079	0.0465196	0.120962	0.239257	0.382253
a44	0.000465701	0.000524595	0.000843192	0.00104758	0.00291312	0.00576364	0.00904882	0.0125124	0.0244859	0.0277173	0.0338654	0.0524953	0.0517511	0.0626185	0.0547363	0.118282	0.214977	0.325953
a58	0.000581707	0.000708843	0.00107642	0.00124078	0.00306714	0.00582943	0.00861719	0.0116173	0.0227687	0.0265222	0.0316878	0.0475171	0.0477356	0.0567481	0.0522012	0.115637	0.230752	0.335692
a82	0.000599682	0.000658477	0.000982379	0.00113507	0.00258002	0.00476801	0.00657079	0.00781578	0.0163761	0.0198145	0.0247907	0.0395927	0.0413321	0.0495691	0.0480981	0.119321	0.261589	0.354406
a87	0.00972585	0.00677602	0.00682735	0.00522087	0.00598898	0.00761786	0.00863275	0.0105064	0.023978	0.0287677	0.0385587	0.0573354	0.0604091	0.0724131	0.0666503	0.119231	0.216832	0.254528
a97	0.075748	0.0499623	0.0389296	0.0235435	0.0192571	0.0218351	0.0259439	0.0344798	0.0613846	0.0681379	0.085454	0.0856191	0.0767367	0.0755767	0.0584672	0.0610536	0.0704491	0.0674217
a87	0.0445952	0.037022	0.0330358	0.0243225	0.0200285	0.0243018	0.0297007	0.036831	0.0587199	0.0662154	0.0824512	0.0972132	0.103381	0.111423	0.0797222	0.056161	0.0522276	0.0426479
a23	0.0329675	0.0272397	0.0261299	0.0214487	0.0205247	0.0290913	0.0428591	0.0532664	0.0749337	0.0827537	0.0953591	0.0966038	0.0930912	0.0878966	0.0651003	0.0547248	0.0522568	0.0437526
a87	0.0301696	0.0266878	0.0292842	0.0221625	0.0229537	0.0290196	0.0401926	0.0453404	0.068859	0.0793704	0.100435	0.0967272	0.0895636	0.0778699	0.0612941	0.0521929	0.0616924	0.066185
a23	0.0203652	0.0195098	0.0244465	0.0200396	0.021808	0.0279888	0.0364399	0.0369399	0.0618725	0.0711574	0.0960264	0.103269	0.0943832	0.0828182	0.067459	0.0655492	0.0727387	0.0771884
a87	0.0237314	0.0224992	0.0255311	0.0200709	0.0267669	0.0341214	0.0448377	0.0449059	0.0683499	0.0789741	0.103663	0.0996906	0.0938188	0.0787471	0.0604248	0.0486751	0.0575069	0.0676851
a23	0.0303612	0.0278319	0.0325263	0.0249948	0.0289623	0.0301797	0.0336964	0.033807	0.0569073	0.0641463	0.0879783	0.0908134	0.0846943	0.077968	0.0713881	0.0705409	0.0739419	0.0792618
a87	0.0341081	0.0353103	0.0431597	0.0354773	0.0417403	0.0416956	0.0478778	0.0439424	0.0627165	0.0715339	0.0926199	0.0879076	0.0860758	0.0728604	0.0558207	0.0414298	0.0484974	0.0572265
</S>	0.0352455	0.0337015	0.0412901	0.0338558	0.0363052	0.0349511	0.037672	0.035365	0.0574885	0.0639416	0.0844477	0.0847906	0.0791902	0.0710315	0.0590351	0.058515	0.0712338	0.0819397
