 	cet	enfant	est	en	train	de	serrer	la	corde	qui	attache	son	pantalon	à	la	taille	</S>
a6	0.0184301	0.0238042	0.0301018	0.0503977	0.0936501	0.120178	0.148158	0.14306	0.134139	0.0647239	0.0414214	0.0225779	0.021449	0.017342	0.0192616	0.0225385	0.0287678
a0	0.0230051	0.0298731	0.0343979	0.0511481	0.0970184	0.12172	0.174346	0.141599	0.119173	0.0547758	0.0357823	0.0192994	0.0181723	0.0147163	0.0166994	0.0208735	0.0274005
a12	0.0168505	0.0209804	0.023171	0.0342011	0.0538475	0.0628456	0.0942081	0.109334	0.125637	0.085889	0.0687271	0.0484187	0.048626	0.0452955	0.0483956	0.0506869	0.0628856
a96	0.00524545	0.00606225	0.00708493	0.0119452	0.023518	0.0327533	0.0732554	0.105711	0.141131	0.124881	0.129869	0.0818489	0.0640046	0.051593	0.0463648	0.0453401	0.0493927
a0	0.00477726	0.00533667	0.00630101	0.00981883	0.0204566	0.03133	0.0789691	0.118717	0.150053	0.119101	0.141147	0.0855809	0.063603	0.0472948	0.0400771	0.0374853	0.0399502
a11	0.00692801	0.0080617	0.00928011	0.0128278	0.0236732	0.032246	0.0617848	0.134838	0.165446	0.122653	0.136916	0.0766866	0.0507287	0.0391548	0.0354931	0.0392253	0.0440569
a93	0.00937933	0.0106279	0.012054	0.0156764	0.0271792	0.0358766	0.0585881	0.112821	0.145987	0.111603	0.122854	0.0869338	0.0573121	0.0470209	0.042702	0.0487617	0.0546234
a70	0.00472578	0.00514073	0.00607365	0.00891093	0.0190909	0.0280584	0.060036	0.0899376	0.107713	0.0862835	0.112659	0.112572	0.103	0.0759964	0.0628657	0.0570217	0.0599154
a66	0.00550572	0.00585757	0.00686454	0.0091548	0.0176337	0.0254033	0.0455502	0.0730331	0.0969888	0.0806258	0.0930942	0.112336	0.107588	0.0972188	0.0785845	0.0699733	0.0745877
a0	0.00531651	0.00568912	0.00631657	0.00780106	0.0122398	0.0160074	0.0214691	0.0458783	0.0659769	0.0649678	0.0915268	0.12652	0.121986	0.115965	0.0978991	0.0991495	0.0952908
a24	0.0078684	0.00742494	0.00873481	0.0111455	0.0171246	0.0234016	0.0277518	0.0319491	0.0412277	0.0458447	0.0634576	0.0934119	0.0959341	0.113651	0.116232	0.141743	0.153097
a88	0.00571099	0.00604937	0.00725439	0.00909787	0.0153012	0.021107	0.0279385	0.0323944	0.043692	0.0440163	0.0527803	0.0692252	0.0804874	0.109053	0.125091	0.162669	0.188132
a62	0.00275118	0.00287689	0.00342669	0.00451589	0.00837667	0.0122116	0.0197272	0.0303755	0.0424143	0.0452309	0.0524187	0.0702103	0.0840134	0.119985	0.144392	0.177906	0.179167
a31	0.00351565	0.00365543	0.00422923	0.00534511	0.00903989	0.0129812	0.0215235	0.0276586	0.037244	0.0384667	0.0478706	0.0625393	0.0699016	0.115392	0.151369	0.201933	0.187335
a88	0.00243183	0.00261924	0.00295427	0.00360246	0.00579619	0.00786813	0.0141494	0.0217782	0.0295241	0.0318177	0.0405816	0.0555206	0.0632626	0.10575	0.152418	0.234331	0.225594
a66	0.00151329	0.00168519	0.00201452	0.0024995	0.00419379	0.00557218	0.00893263	0.0147202	0.0212745	0.0223414	0.0277362	0.0379067	0.0490041	0.0965089	0.153665	0.263687	0.286745
a71	0.00463581	0.00506003	0.00583873	0.00634233	0.0079016	0.00923106	0.00960584	0.0198435	0.03505	0.0402771	0.052791	0.0674157	0.085188	0.119786	0.144346	0.17653	0.210157
a3	0.014248	0.0109426	0.0121309	0.0117678	0.0139706	0.0173787	0.0193041	0.0303966	0.0513138	0.0545951	0.0619594	0.0780341	0.0983725	0.125332	0.133461	0.127844	0.138949
a97	0.0504753	0.0307425	0.0278069	0.0253761	0.0293047	0.0373839	0.0511337	0.0541299	0.0821876	0.0667982	0.0532279	0.061928	0.0805953	0.0920239	0.0954253	0.0821705	0.0792904
a87	0.0537367	0.0518291	0.0497454	0.0494237	0.0555831	0.0638428	0.0474243	0.0487639	0.0698241	0.0599511	0.0482103	0.063579	0.0673767	0.0717743	0.0715607	0.0641513	0.0632236
</S>	0.0346902	0.0400712	0.0419528	0.0525492	0.072763	0.0818986	0.0476101	0.0472773	0.0529277	0.0440121	0.0428434	0.0683241	0.0744496	0.0725212	0.079415	0.0768077	0.0698867
