 	le	fruit	sauvage	lengyé	est	utilisé	comme	appât	pour	prendre	le	blaireau	</S>
a15	0.0360491	0.0417696	0.116826	0.155181	0.162412	0.122028	0.0904326	0.0658708	0.0376991	0.0300785	0.0314648	0.0460003	0.0641886
a44	0.0238314	0.0261863	0.0921843	0.148039	0.171469	0.100983	0.0964366	0.0826807	0.0458111	0.0433204	0.0422015	0.055614	0.0712425
a12	0.0213743	0.0251811	0.0678641	0.135042	0.176017	0.082527	0.108985	0.0948075	0.0505143	0.0431548	0.044918	0.0620835	0.0875311
a83	0.028258	0.0303392	0.0651143	0.127747	0.167395	0.13361	0.137593	0.118871	0.060189	0.0393773	0.0270719	0.0289916	0.0354412
a71	0.024413	0.0257925	0.0575354	0.116064	0.166555	0.103358	0.143063	0.136342	0.0672748	0.046511	0.0326369	0.0348354	0.0456193
a62	0.0111292	0.0135775	0.0331747	0.076737	0.12832	0.0607417	0.119739	0.143125	0.0864304	0.0758092	0.0637712	0.0757712	0.111675
a47	0.0257661	0.0249454	0.0467248	0.0853048	0.124998	0.0917815	0.156585	0.161389	0.0905189	0.0623966	0.0402361	0.0394888	0.0498647
a0	0.0232609	0.0245868	0.0442326	0.0744945	0.106562	0.0749722	0.139777	0.163716	0.100757	0.0763614	0.0520332	0.0520493	0.067197
a75	0.02197	0.0199092	0.0369064	0.0692681	0.102249	0.0669264	0.129181	0.158333	0.104726	0.0879236	0.0595397	0.0601053	0.0829637
a85	0.0254043	0.018471	0.0270065	0.0365632	0.0558333	0.0411031	0.0870404	0.107091	0.078526	0.100916	0.112515	0.136382	0.173149
a47	0.024263	0.0192612	0.0297424	0.0330934	0.0507171	0.0288472	0.0698224	0.10072	0.0760138	0.104442	0.125879	0.15624	0.180958
a44	0.0187835	0.0167101	0.026044	0.0353511	0.0477482	0.0243691	0.0673255	0.115872	0.0911442	0.116926	0.109891	0.136623	0.193212
a57	0.016598	0.0131345	0.0224787	0.0287546	0.0400176	0.0193384	0.0608655	0.117654	0.10421	0.13184	0.11037	0.133023	0.201715
a53	0.00914222	0.00812387	0.01352	0.0180079	0.0240543	0.0117791	0.0341899	0.07285	0.076119	0.13449	0.138275	0.172788	0.28666
a93	0.00617035	0.00515479	0.0103518	0.0169726	0.0277269	0.015663	0.0473062	0.0853465	0.0921011	0.154641	0.152859	0.163507	0.222199
a70	0.00327996	0.00255682	0.00503542	0.0110934	0.0199298	0.0122303	0.0422918	0.0780719	0.0832049	0.156762	0.174684	0.181036	0.229824
a99	0.0017179	0.00132251	0.00231223	0.00408183	0.00714063	0.00498076	0.0141189	0.0320734	0.0412616	0.105464	0.171616	0.2382	0.375711
a13	0.00100527	0.00072807	0.000939747	0.00103845	0.00200592	0.00139953	0.00544037	0.015426	0.0239639	0.0830398	0.170251	0.275077	0.419685
a9	0.00179153	0.00128015	0.00134293	0.000911717	0.00199133	0.00160103	0.00470097	0.0135193	0.0219081	0.0805573	0.172159	0.281284	0.416952
a87	0.0126071	0.00674451	0.00453585	0.00162029	0.00314532	0.00216895	0.00428597	0.0102856	0.0152601	0.0613422	0.162113	0.290846	0.425046
a97	0.0478251	0.0352674	0.0214131	0.00934464	0.0181383	0.011364	0.0167165	0.0326667	0.0550014	0.121555	0.191449	0.202103	0.237156
a87	0.0366351	0.0343498	0.0258483	0.0153911	0.0463204	0.0310973	0.0428383	0.0663351	0.100524	0.134948	0.166433	0.148409	0.150872
a9	0.0339338	0.0408993	0.0406429	0.0282231	0.0758595	0.056243	0.0453624	0.0605397	0.0827336	0.0964268	0.121835	0.140875	0.176426
a87	0.0131837	0.0185961	0.0298757	0.0303081	0.0713971	0.0476264	0.042937	0.0505277	0.0637806	0.0835171	0.116042	0.165831	0.266377
</S>	0.0143041	0.0219951	0.0321379	0.0271237	0.0550538	0.0411135	0.0283531	0.0312285	0.0398767	0.0569072	0.104272	0.193131	0.354503
