 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
a83	0.010294	0.00719619	0.00610622	0.00691216	0.0115422	0.0223637	0.0496845	0.0731548	0.240142	0.572604
a24	0.01262	0.00938872	0.00825412	0.00960813	0.0148428	0.0255447	0.0516066	0.0767435	0.229597	0.561795
a90	0.0112812	0.00671413	0.00470804	0.0040563	0.00653379	0.0142405	0.0369699	0.0714291	0.273835	0.570232
a93	0.0120222	0.00852697	0.00712579	0.00769246	0.0113	0.0193642	0.0391805	0.0651371	0.208686	0.620965
a53	0.0123009	0.0100168	0.00917897	0.0111565	0.0172042	0.0293058	0.0589784	0.0856607	0.206379	0.559819
a20	0.00889609	0.00643694	0.00562563	0.00667595	0.0106984	0.0178785	0.0333964	0.0576502	0.221081	0.631661
a73	0.00342332	0.0028048	0.00277567	0.00366219	0.00689999	0.0133143	0.029085	0.0562604	0.256251	0.625523
a84	0.00178234	0.00151346	0.0016851	0.00260906	0.00589076	0.013132	0.0326796	0.0639139	0.249063	0.62773
a57	0.00269618	0.00211287	0.00179487	0.00193378	0.00397938	0.0107894	0.0376631	0.0745475	0.335932	0.528551
a87	0.00881254	0.00712735	0.0054856	0.00468936	0.00807266	0.0206637	0.0656371	0.11686	0.346881	0.415771
a23	0.0139892	0.0104892	0.00759813	0.00606221	0.011524	0.0309581	0.0664545	0.0855236	0.247357	0.520044
a87	0.0234412	0.0199291	0.0157944	0.0124886	0.0193769	0.040365	0.0868297	0.120875	0.223332	0.437568
</S>	0.00929594	0.00744599	0.00602933	0.00436345	0.00902281	0.0244552	0.0515974	0.0719447	0.241338	0.574507
