 	la	manière	dont	il	a	explosé	le	pneu	m'	a	bouché	les	oreilles	</S>
a31	0.00552112	0.00724718	0.0141344	0.0734832	0.124455	0.214133	0.194733	0.133012	0.0917471	0.061638	0.0379653	0.0150909	0.011988	0.0148513
a21	0.00748679	0.00975966	0.0164532	0.0707311	0.112883	0.146792	0.160235	0.136359	0.124944	0.0965096	0.0642578	0.0246322	0.0149052	0.0140511
a75	0.00835689	0.0102362	0.0150186	0.0582879	0.10185	0.122358	0.161027	0.143466	0.130602	0.106286	0.0745655	0.0328905	0.0183805	0.0166755
a96	0.00399542	0.00515789	0.00842232	0.0410665	0.0962556	0.109644	0.184766	0.154949	0.131771	0.1027	0.0676156	0.0384852	0.0271187	0.0280529
a31	0.00477127	0.00688851	0.0111939	0.0469742	0.0966358	0.118284	0.172547	0.155312	0.134552	0.104414	0.0668576	0.0321694	0.0226591	0.0267407
a0	0.00408423	0.00643531	0.0101925	0.040019	0.0835075	0.111572	0.154524	0.153792	0.136286	0.11605	0.0825639	0.041233	0.0284148	0.0313255
a11	0.00665889	0.0096877	0.0142879	0.0380718	0.0671342	0.0993463	0.139347	0.156121	0.136162	0.127746	0.081652	0.0419358	0.0352538	0.0465953
a70	0.00506708	0.0077975	0.0120639	0.0336671	0.0576305	0.0830635	0.128865	0.148632	0.130313	0.131185	0.098865	0.0570834	0.0452474	0.0605193
a93	0.00523206	0.0074246	0.0106334	0.0269357	0.0483061	0.0731174	0.0899555	0.130196	0.123238	0.152686	0.122844	0.0828394	0.0588163	0.0677757
a44	0.00289946	0.00426842	0.00599959	0.017254	0.0383177	0.0433122	0.0762689	0.123973	0.12412	0.151188	0.121217	0.103532	0.0848133	0.102837
a13	0.00251571	0.0035735	0.00508604	0.0147897	0.0340155	0.0443925	0.0676227	0.103629	0.104677	0.146657	0.123427	0.118376	0.104436	0.126805
a4	0.00259211	0.00388819	0.00508651	0.0126484	0.0281147	0.0409918	0.0666086	0.105019	0.109145	0.156819	0.126609	0.112548	0.100239	0.129691
a93	0.00277008	0.0038754	0.0050458	0.0137831	0.0327267	0.0395893	0.0579312	0.0819078	0.0876518	0.135534	0.116238	0.134508	0.127635	0.160804
a90	0.00185637	0.00260347	0.00354742	0.010842	0.026694	0.0322871	0.054438	0.0871089	0.0917485	0.141646	0.128903	0.147085	0.122714	0.148526
a69	0.00143843	0.00184154	0.00266419	0.00841041	0.0203186	0.0205995	0.0485903	0.0724613	0.0853437	0.140473	0.133552	0.157586	0.137897	0.168823
a58	0.00149914	0.00198639	0.00289926	0.00906743	0.0209839	0.0217015	0.0440881	0.0572302	0.0666793	0.121124	0.114061	0.168595	0.158022	0.212063
a93	0.00559112	0.0085602	0.00845081	0.015127	0.0264321	0.0288534	0.0546409	0.0611443	0.0643961	0.114947	0.0972102	0.140626	0.142128	0.231892
a70	0.00250751	0.0030906	0.00323403	0.00737852	0.0147695	0.0159632	0.0316673	0.0448436	0.0577604	0.113206	0.118261	0.186273	0.170457	0.230588
a62	0.00133306	0.00153525	0.00180788	0.00489523	0.0108249	0.0118051	0.024328	0.0358441	0.0385415	0.0804902	0.100926	0.202664	0.21468	0.270324
a88	0.0010521	0.0013851	0.00183802	0.00490781	0.00855376	0.0119851	0.0223333	0.0357516	0.0296724	0.0644073	0.076955	0.165981	0.24216	0.333017
a24	0.00106447	0.00165941	0.00211067	0.00525027	0.0105361	0.0133654	0.0294833	0.0472298	0.038606	0.0743158	0.0724005	0.143852	0.226752	0.333374
a88	0.000753121	0.00111718	0.00141153	0.00393634	0.00820582	0.00963344	0.0196649	0.0310904	0.0242344	0.0469842	0.0512756	0.133418	0.251465	0.41681
a0	0.00106493	0.00162343	0.00191822	0.00422566	0.00842177	0.00982907	0.020867	0.0338687	0.0275728	0.0533106	0.056386	0.137192	0.251079	0.392641
a24	0.00221885	0.00325056	0.00354634	0.0064089	0.0119496	0.0138879	0.0228804	0.0349862	0.0295364	0.0530125	0.0541764	0.138304	0.257891	0.367951
a83	0.000565355	0.000784828	0.000881373	0.00198799	0.00359866	0.00391762	0.00846945	0.0171096	0.0160115	0.0342906	0.0422749	0.128475	0.285192	0.456441
a54	0.000156631	0.000232595	0.00029665	0.000877924	0.00170945	0.00188554	0.0049556	0.00906758	0.00862584	0.0206713	0.0295374	0.117694	0.280243	0.524047
a36	0.000116479	0.00018102	0.000287855	0.00118093	0.00229953	0.00299821	0.00867102	0.0124506	0.0125765	0.0289218	0.0445761	0.136027	0.256557	0.493156
a27	0.000778817	0.000932425	0.00101939	0.00249488	0.00416929	0.00501363	0.0104372	0.0141141	0.0109672	0.0211205	0.0250125	0.0992074	0.260622	0.544111
a83	0.0186088	0.0151383	0.0111409	0.0162697	0.0231956	0.0219417	0.0176819	0.0185355	0.015874	0.02552	0.0323031	0.117561	0.246596	0.419633
a71	0.00250088	0.00256463	0.00214509	0.00410438	0.00653996	0.00817387	0.0123689	0.0166556	0.0143548	0.0262964	0.0405743	0.14825	0.297068	0.418403
a9	0.00326119	0.00324736	0.0024686	0.00397825	0.00680844	0.00903869	0.0121501	0.0144994	0.013596	0.025569	0.0328259	0.120852	0.275854	0.475851
a87	0.0185832	0.0181409	0.0140691	0.0174636	0.0217605	0.0167223	0.015916	0.0187138	0.0206353	0.0439881	0.0566813	0.155703	0.244161	0.337462
a23	0.0536426	0.0364552	0.0239617	0.0386528	0.0434689	0.0258023	0.0331094	0.0467766	0.0630096	0.1145	0.110754	0.124126	0.132664	0.153078
a87	0.0256232	0.0196047	0.0110442	0.0160093	0.0203302	0.00894758	0.0231664	0.0299076	0.0426561	0.0762407	0.0799722	0.131481	0.192778	0.322239
</S>	0.0109476	0.00911208	0.00603419	0.0130381	0.0197939	0.0102301	0.0336045	0.0377435	0.0367222	0.0518245	0.0566817	0.109979	0.209223	0.395066
