 	la	manière	dont	souffre	notre	père	ne	nous	laisse	aucun	espoir	</S>
a62	0.00666057	0.00499378	0.00456161	0.0050793	0.00626527	0.00812547	0.0113187	0.0116614	0.0169444	0.0513437	0.364423	0.508623
a21	0.00206058	0.00186981	0.00248782	0.00278411	0.00449886	0.00762427	0.0113337	0.0119658	0.0129579	0.0379669	0.302083	0.602367
a5	0.00383116	0.00311874	0.00436348	0.00576234	0.0085196	0.015627	0.022475	0.0256787	0.0207042	0.0418024	0.241568	0.606549
a18	0.00401672	0.00339411	0.00458268	0.00643961	0.00865586	0.0148059	0.0203026	0.0229622	0.018873	0.0335394	0.219329	0.643099
a26	0.00317934	0.00272847	0.00279959	0.00341494	0.00546741	0.00805945	0.00985612	0.00821455	0.0112227	0.0337607	0.373164	0.538132
a36	0.0143608	0.00986555	0.00744591	0.00903082	0.0119269	0.014264	0.0160327	0.0138681	0.0234049	0.0693122	0.347613	0.462875
a26	0.0197531	0.0125291	0.0101461	0.0111471	0.012562	0.0141597	0.0143641	0.012484	0.0180107	0.0480256	0.318382	0.508436
a57	0.0548456	0.0282214	0.0193094	0.0243635	0.0269344	0.0330512	0.0353045	0.0370338	0.0543603	0.11516	0.254256	0.31716
a87	0.0977826	0.0460197	0.0297899	0.0339396	0.0333532	0.0471646	0.0564789	0.0596857	0.0570578	0.0848917	0.195407	0.258429
a23	0.133028	0.0784133	0.0578049	0.056384	0.0422245	0.0548989	0.0725504	0.0802592	0.0731597	0.0949936	0.132853	0.123431
a87	0.118682	0.0668325	0.0411174	0.0515328	0.0373419	0.0617484	0.0846654	0.0815331	0.0722776	0.0873112	0.151723	0.145234
</S>	0.0290843	0.024734	0.0240188	0.0427121	0.0379772	0.0559423	0.0594491	0.0439238	0.0357393	0.0611214	0.32453	0.260768
