 	celle-ci	est	la	chemise	de	mon	père	celle-là	à	leur	oncle	quelle	est	la	votre	</S>
a23	0.0650767	0.0298462	0.0204065	0.0270812	0.0282545	0.0297972	0.0345543	0.0559608	0.0572042	0.0708406	0.0652714	0.0587923	0.0543527	0.0698329	0.121491	0.211238
a83	0.012332	0.00680296	0.00508515	0.00782841	0.0135718	0.0227947	0.0265752	0.0346338	0.0398958	0.0466617	0.0508993	0.0609555	0.0625444	0.0998842	0.216025	0.29351
a54	0.00223128	0.00131684	0.00110097	0.00200869	0.00320235	0.00479944	0.00537694	0.0105776	0.0149969	0.0251417	0.0338437	0.0488556	0.0530852	0.115253	0.270193	0.408017
a47	0.000507899	0.000425837	0.000482313	0.00143898	0.0033531	0.00808711	0.0130018	0.0297512	0.0350715	0.0547944	0.0583709	0.0633116	0.0634626	0.0875944	0.17988	0.400466
a36	0.000427742	0.000308798	0.000308598	0.000904257	0.00250539	0.00759056	0.013317	0.0327511	0.034288	0.0496607	0.0497202	0.05678	0.0681629	0.111866	0.234324	0.337085
a24	0.0003772	0.000302579	0.000279379	0.00069498	0.00149483	0.00329487	0.00563094	0.0148219	0.0193419	0.0366356	0.0452607	0.0548056	0.0543561	0.0974941	0.226839	0.438371
a61	0.000835218	0.000670541	0.000607062	0.00144053	0.00260039	0.0043457	0.00783563	0.0190768	0.0244397	0.0430353	0.0584116	0.0768859	0.0716994	0.112484	0.214794	0.360839
a94	0.000650429	0.000567586	0.000592008	0.00149422	0.00262972	0.00464474	0.00793349	0.0190985	0.024218	0.0423056	0.0565211	0.0753071	0.0765522	0.11751	0.225772	0.344204
a71	0.000639412	0.000591009	0.000591408	0.00135559	0.00244878	0.00409021	0.00683613	0.015373	0.0193714	0.0335864	0.0481651	0.0665779	0.0608207	0.101006	0.226919	0.411628
a25	0.00484547	0.00368795	0.00300869	0.00431023	0.006096	0.00897234	0.0144546	0.0314548	0.0354493	0.0522948	0.0606687	0.0758545	0.0702831	0.118978	0.226509	0.283132
a9	0.0176292	0.0090395	0.00648738	0.00807066	0.0105491	0.0142563	0.0181205	0.0321474	0.0319999	0.0431154	0.0460535	0.0510949	0.0521782	0.0910682	0.216741	0.351449
a87	0.0567357	0.0223905	0.014527	0.0168912	0.0186572	0.022778	0.0292071	0.044028	0.0446062	0.062195	0.0686283	0.0745523	0.0789922	0.10595	0.154984	0.184878
a23	0.113911	0.0399274	0.0243249	0.0304094	0.0302135	0.0300239	0.0317295	0.0445623	0.0447414	0.0545565	0.0580136	0.0599011	0.0618681	0.0772221	0.11837	0.180226
a87	0.0256048	0.0141752	0.0100845	0.0137143	0.0199916	0.0278379	0.0257914	0.0298131	0.0327881	0.037571	0.0464664	0.0671998	0.0803528	0.127806	0.195785	0.245019
</S>	0.034108	0.0181396	0.0133964	0.018748	0.0241764	0.0318167	0.0238538	0.0259331	0.0256503	0.0291822	0.0323591	0.041264	0.0517766	0.085656	0.166653	0.377287
