 	il	m'	a	demandé	de	le	dédommager	pour	son	assiette	que	j'	ai	cassée	</S>
a44	0.00611575	0.00801784	0.0105681	0.0350253	0.0459494	0.0762138	0.0733924	0.0629629	0.0679953	0.0619952	0.0626602	0.064202	0.0824285	0.140842	0.201631
a70	0.0034061	0.00467346	0.00721916	0.020187	0.0237784	0.0443984	0.0509734	0.0423599	0.0461131	0.0477025	0.0541787	0.0602245	0.0874166	0.206444	0.300925
a93	0.00233834	0.0030372	0.0046829	0.0126427	0.0167425	0.034924	0.0404011	0.0323286	0.0394875	0.0470636	0.0551724	0.0644368	0.0985642	0.220361	0.327817
a54	0.00106684	0.00142012	0.00211805	0.00621013	0.00905865	0.0202675	0.0188339	0.0143731	0.0182078	0.0244549	0.034188	0.0545639	0.106425	0.27521	0.413602
a73	0.00139029	0.00175051	0.00252586	0.00777348	0.011778	0.0244699	0.0210946	0.017175	0.0240463	0.0305384	0.036901	0.0538021	0.107975	0.263154	0.395626
a69	0.000815478	0.000896661	0.00119846	0.00316877	0.00507829	0.010269	0.00723869	0.0069503	0.0118954	0.0158007	0.0220198	0.0467588	0.130703	0.310992	0.426215
a15	0.000771792	0.000845545	0.00113894	0.00264839	0.00484176	0.011024	0.0089933	0.00788847	0.0131772	0.0173577	0.0251028	0.0444183	0.109118	0.285618	0.467056
a56	0.000472601	0.000443541	0.000547251	0.00119578	0.00221941	0.0055959	0.0038118	0.00346472	0.0062992	0.00872565	0.0121668	0.032387	0.117132	0.30572	0.499819
a70	0.000435139	0.000419199	0.00050061	0.000872356	0.00155002	0.00357795	0.00277275	0.00231837	0.00416994	0.00653155	0.0116125	0.0292705	0.101485	0.285244	0.549241
a13	0.000155343	0.000146275	0.000183119	0.000318843	0.000623331	0.00158467	0.0013171	0.00107569	0.00193382	0.00351238	0.00664253	0.0183232	0.08141	0.302702	0.580072
a93	0.00022866	0.000203946	0.000260037	0.000448055	0.000802524	0.00210703	0.00157989	0.00140645	0.00239782	0.00391815	0.00672338	0.0202978	0.0876308	0.294906	0.57709
a70	0.000148696	0.000142501	0.000178889	0.000292718	0.000598041	0.00165067	0.00141881	0.00126916	0.00227232	0.00371554	0.00634641	0.0183587	0.0816395	0.293027	0.588941
a99	0.000360136	0.00030422	0.000383131	0.000612197	0.0011896	0.0030415	0.00262284	0.00240017	0.00344927	0.00440749	0.0075597	0.0227685	0.0884355	0.292265	0.570201
a24	0.00106423	0.000776683	0.000822811	0.00102883	0.00179581	0.0046355	0.00388644	0.00442149	0.00664836	0.00802947	0.0132207	0.0343538	0.102594	0.273095	0.543627
a62	0.000670248	0.000488039	0.000540219	0.000639751	0.00122042	0.00325003	0.00244641	0.00261156	0.00395612	0.00481326	0.00753458	0.0202107	0.0790633	0.263139	0.609416
a70	0.000329868	0.000298264	0.000367252	0.000466067	0.000812933	0.00184074	0.00157743	0.00151862	0.00235703	0.00334682	0.00674543	0.0217776	0.0897973	0.308754	0.56001
a90	0.000536128	0.000450214	0.000520536	0.000599291	0.00111657	0.00314302	0.00242713	0.00268792	0.00403282	0.00480455	0.00786594	0.0235278	0.08812	0.286234	0.573934
a44	0.000357129	0.00029242	0.000327628	0.000475886	0.000858296	0.00226248	0.00167142	0.00147201	0.00282595	0.004157	0.00924393	0.0273114	0.0994973	0.286695	0.562552
a70	0.000271673	0.000211522	0.000233646	0.000323663	0.000635631	0.00185383	0.00138228	0.00127887	0.00209193	0.00273846	0.00545505	0.0169232	0.074383	0.257907	0.63431
a66	0.000339279	0.000252064	0.000276436	0.000327769	0.000660411	0.00178041	0.00160475	0.00142187	0.00210112	0.00246324	0.00416043	0.0129161	0.065953	0.270289	0.635454
a44	0.00286706	0.00178225	0.0016134	0.00139452	0.00198496	0.00501419	0.00415239	0.00511819	0.00695565	0.00675807	0.0116995	0.0273117	0.0891616	0.269954	0.564232
a26	0.00306291	0.00223668	0.00222925	0.00207701	0.00314494	0.00840893	0.00621165	0.00774042	0.0105482	0.00995136	0.0139526	0.0272986	0.0804522	0.223081	0.599604
a82	0.0326316	0.0146171	0.00989286	0.00800027	0.00806875	0.011908	0.010368	0.01287	0.0167947	0.0179478	0.0206878	0.0307583	0.08378	0.205904	0.515771
a9	0.129046	0.0769834	0.04129	0.0269289	0.0195639	0.0194339	0.0301851	0.0392008	0.0390726	0.0440623	0.0502072	0.0576377	0.0979105	0.118568	0.20991
a87	0.200859	0.125271	0.0653389	0.0370648	0.026985	0.0262319	0.0509069	0.0514858	0.0459607	0.0486934	0.0509746	0.0559349	0.0708023	0.0575029	0.0859871
a23	0.13047	0.0799288	0.0416709	0.026561	0.0240762	0.034446	0.0821858	0.0811856	0.0848939	0.09422	0.0878022	0.0818216	0.0718398	0.0357818	0.0431167
a87	0.143128	0.115911	0.0678293	0.0409396	0.0256105	0.0294317	0.0522876	0.0608376	0.0623867	0.0727379	0.0855226	0.0758622	0.0699323	0.0434903	0.0540925
a23	0.0606669	0.0591007	0.0437311	0.039582	0.0290255	0.0400335	0.0692862	0.0805176	0.0789559	0.0921279	0.0994331	0.0896283	0.0857323	0.0553011	0.0768777
a87	0.0792266	0.0784952	0.0552111	0.0394072	0.0260847	0.03478	0.0671961	0.065866	0.0669853	0.0756509	0.0938298	0.0893071	0.0926317	0.0570018	0.0783266
</S>	0.05556	0.0586142	0.0458016	0.040444	0.0276001	0.0385327	0.0689173	0.0697438	0.0653052	0.0722844	0.0862964	0.087832	0.101756	0.0735139	0.107798
