 	cette	femme	boude	contre	son	mari	parce	qu'	il	lui	a	refusé	de	l'	argent	</S>
a83	0.00641853	0.00658707	0.00790156	0.013386	0.0200284	0.0308355	0.0549412	0.076651	0.117231	0.11055	0.0824342	0.0888966	0.0824232	0.0809762	0.0996179	0.121122
a9	0.00520912	0.00554675	0.00758675	0.0128383	0.0212987	0.0380056	0.0677074	0.0925393	0.134	0.117125	0.0804747	0.0816754	0.0661164	0.0628241	0.0881342	0.118918
a24	0.00566618	0.00527496	0.00650065	0.0110706	0.0191335	0.0345368	0.0648129	0.106505	0.16736	0.152975	0.111176	0.0912423	0.0556198	0.0446047	0.0538414	0.0696797
a50	0.00485779	0.00432525	0.00518566	0.00810187	0.0136704	0.025112	0.0506056	0.0829558	0.138892	0.136894	0.111544	0.102896	0.0722181	0.0618767	0.0782921	0.102573
a75	0.0082143	0.00633866	0.00750105	0.0120208	0.0183455	0.0298066	0.0521532	0.0878719	0.138531	0.140639	0.110229	0.102024	0.0678632	0.0574739	0.0709121	0.0900758
a21	0.00679142	0.00598835	0.00703772	0.00958757	0.0122675	0.018211	0.0299279	0.0397052	0.064396	0.0621079	0.0545074	0.0716934	0.0924532	0.118275	0.17561	0.231441
a96	0.00639263	0.00530918	0.00600188	0.00943604	0.0140276	0.0203501	0.0324531	0.0440732	0.0702215	0.0742489	0.0754342	0.101947	0.118947	0.122573	0.139176	0.159408
a62	0.00225602	0.0019725	0.0023732	0.00448018	0.00775849	0.0128783	0.0271048	0.0424008	0.0728728	0.0778648	0.0738323	0.101169	0.119039	0.127223	0.153594	0.17318
a96	0.00336114	0.00282136	0.00309542	0.00515944	0.00824275	0.0126319	0.0263789	0.0428092	0.0744793	0.0771329	0.0693296	0.10086	0.122072	0.131237	0.152689	0.1677
a34	0.00183768	0.00161923	0.00189565	0.0029603	0.00446121	0.00705977	0.0150166	0.0237535	0.0437442	0.0501219	0.0503536	0.0896766	0.121891	0.151225	0.202043	0.23234
a56	0.00135448	0.00127075	0.00149998	0.00251089	0.00399431	0.00617909	0.0125262	0.0191534	0.0360723	0.0427646	0.0457861	0.078681	0.118857	0.162515	0.218954	0.247881
a34	0.000872923	0.000863695	0.00105674	0.00172315	0.0027274	0.00433626	0.00957084	0.0149833	0.0298547	0.0351767	0.0373505	0.0648843	0.101502	0.156165	0.24129	0.297643
a70	0.000576576	0.000582245	0.000740867	0.00112915	0.00164392	0.0025907	0.00560243	0.00866287	0.0173671	0.0221726	0.0258784	0.0494939	0.0864963	0.151751	0.264026	0.361287
a90	0.00076206	0.00081908	0.00113944	0.00143458	0.0019689	0.003097	0.00542731	0.00787877	0.0147786	0.0181973	0.01964	0.0378906	0.0703754	0.136191	0.266857	0.413543
a56	0.000653088	0.000791165	0.00115026	0.00159124	0.00229636	0.00385417	0.00728139	0.00987204	0.017821	0.0212847	0.0239752	0.0472639	0.0808157	0.139201	0.24777	0.394379
a70	0.000716467	0.00090319	0.00144807	0.00181101	0.00247156	0.00380601	0.00616009	0.00786518	0.0140496	0.0150341	0.0151207	0.0307641	0.0565664	0.11379	0.250537	0.478956
a71	0.000495554	0.000599297	0.00101409	0.00118645	0.00159435	0.00254189	0.00374137	0.00473681	0.00867028	0.00988889	0.0103277	0.0216976	0.0465736	0.106568	0.259643	0.520721
a9	0.00115295	0.000941409	0.00122625	0.0015268	0.00222782	0.00287875	0.00434555	0.00629162	0.0101531	0.0097543	0.00914793	0.0173976	0.0484643	0.128428	0.289349	0.466715
a87	0.0186158	0.0117915	0.0107018	0.0104421	0.0114507	0.0127255	0.01685	0.0222195	0.0298724	0.0243733	0.0235811	0.0413619	0.0929148	0.156279	0.235139	0.281681
a23	0.113141	0.0765574	0.0700407	0.0533121	0.0406589	0.028891	0.0284421	0.0310557	0.042356	0.0462081	0.0417092	0.0556459	0.0799429	0.0937455	0.0985293	0.0997639
a87	0.0268866	0.0170528	0.0166751	0.0161336	0.0155291	0.0169304	0.0212702	0.0204815	0.0341525	0.0320657	0.0314118	0.0463153	0.0961729	0.14793	0.200623	0.26037
</S>	0.00727146	0.00537384	0.00677341	0.0104987	0.0129803	0.014635	0.0198092	0.0179453	0.026322	0.0214589	0.0200721	0.0289609	0.0694334	0.134465	0.243808	0.360193
