 	mbembe	ikoo	de	tsongo	avait	le	pouvoir	mystique	de	neutraliser	un	fétiche	</S>
a96	0.0379751	0.0576277	0.0616223	0.0631578	0.0585136	0.0391059	0.0294696	0.0413987	0.0505836	0.0825668	0.0861199	0.157686	0.234173
a75	0.029689	0.0473708	0.0529328	0.0622002	0.0678717	0.0552988	0.0379308	0.077467	0.0931789	0.105561	0.092559	0.124312	0.153628
a5	0.0281802	0.0340163	0.0361753	0.0399717	0.0464536	0.0280342	0.0159937	0.0223446	0.0295894	0.0522178	0.0726278	0.21761	0.376785
a66	0.0339939	0.0425279	0.045779	0.0562886	0.0651868	0.046658	0.0291107	0.0452626	0.0692561	0.0901782	0.0900456	0.169274	0.216438
a75	0.0119922	0.0167764	0.0165087	0.0183471	0.0194329	0.0155182	0.0102438	0.0245258	0.0700464	0.18073	0.18726	0.214756	0.213863
a85	0.0181413	0.0211063	0.0214363	0.023142	0.0280246	0.0174083	0.0101757	0.0165761	0.0367841	0.0797556	0.0910558	0.228995	0.407399
a44	0.0180187	0.020487	0.0235203	0.0276134	0.0387075	0.0259208	0.013711	0.02079	0.0392957	0.0729652	0.0913737	0.229835	0.377762
a53	0.0115876	0.0134575	0.0130777	0.0142866	0.016825	0.0119633	0.00708294	0.0129604	0.0405419	0.107441	0.129676	0.272559	0.34854
a44	0.0124667	0.0143832	0.0142376	0.016195	0.0192573	0.0135625	0.00895747	0.01478	0.0463972	0.117723	0.134955	0.251415	0.335669
a83	0.00372504	0.00433772	0.00417803	0.00500856	0.0058799	0.00428238	0.00278183	0.00548488	0.0219621	0.0731677	0.142456	0.343417	0.383319
a90	0.00203012	0.0023422	0.00216853	0.00280158	0.00306124	0.00205025	0.00134927	0.00265716	0.011662	0.0460217	0.131672	0.372974	0.41921
a13	0.00458585	0.00449589	0.00407222	0.00451232	0.0051115	0.00343235	0.00222113	0.00451241	0.0196213	0.0645123	0.115666	0.310078	0.457179
a4	0.000693584	0.000807596	0.000756904	0.000919689	0.000962154	0.000582803	0.00038274	0.000815772	0.00446221	0.0235021	0.0978655	0.337086	0.531163
a57	0.000782399	0.00107551	0.000989205	0.00103306	0.00112417	0.000800624	0.000606526	0.00125288	0.00554345	0.022781	0.0717785	0.289245	0.602988
a87	0.000223563	0.000306756	0.000295932	0.000305207	0.000338033	0.000201685	0.000140645	0.000353052	0.00215547	0.011506	0.0699214	0.294757	0.619495
a23	0.00355747	0.00322603	0.00248596	0.00125508	0.00155795	0.00136007	0.00133293	0.00203272	0.00683751	0.0232905	0.110089	0.301646	0.541328
a99	0.00768317	0.00900328	0.00737825	0.00375497	0.00461159	0.00381457	0.00383794	0.00522434	0.0122783	0.0234385	0.106831	0.275438	0.536706
a87	0.0136367	0.013534	0.0107468	0.00476431	0.0061463	0.00473787	0.00469036	0.00681727	0.0131889	0.0224396	0.102817	0.278032	0.518449
a23	0.0379517	0.0333033	0.0237816	0.0105655	0.013194	0.013077	0.0165706	0.0306172	0.0322947	0.0341701	0.11303	0.238166	0.403279
a97	0.0523209	0.0420934	0.0239568	0.00933003	0.0109723	0.0117761	0.014935	0.0288809	0.0374858	0.0372167	0.100763	0.188792	0.441477
</S>	0.0406924	0.0419804	0.0308898	0.013266	0.01662	0.0197572	0.0281389	0.052224	0.0481452	0.040252	0.102408	0.186107	0.379519
