 	aujourd'	hui	ma	femme	et	moi	allons	comparaître	devant	les	juges	</S>
a66	0.001912	0.00136851	0.000960081	0.00117165	0.0013439	0.00230386	0.00260482	0.00973763	0.019678	0.068994	0.189545	0.700381
a38	0.00332822	0.00244546	0.00154967	0.00193954	0.0018717	0.00253238	0.00287398	0.00926131	0.0206655	0.088866	0.201844	0.662822
a15	0.00305335	0.00204133	0.00116765	0.00135037	0.00132752	0.00174021	0.00201437	0.00779854	0.0174749	0.0737303	0.175016	0.713285
a7	0.000774308	0.00053497	0.000292891	0.000324078	0.000431749	0.000733184	0.000758513	0.00274716	0.00767752	0.0404639	0.142121	0.803141
a84	0.00271883	0.00192225	0.00103806	0.00104404	0.000903165	0.00110613	0.00111388	0.00397341	0.0108377	0.0576949	0.167014	0.750633
a57	0.0369079	0.0219789	0.0136704	0.0126491	0.010274	0.00940601	0.00740016	0.0134968	0.0324667	0.100163	0.225143	0.516445
a97	0.103841	0.0592326	0.0410239	0.0281052	0.0212699	0.0189352	0.0128661	0.0122949	0.0331918	0.0776331	0.193517	0.39809
a99	0.0886673	0.0532669	0.0409826	0.028701	0.0217976	0.0204783	0.0144249	0.0143016	0.0404729	0.0893669	0.210982	0.376558
a97	0.0606186	0.0358572	0.0253342	0.0160756	0.0111148	0.0124901	0.0126666	0.0205326	0.0501032	0.0798175	0.227874	0.447516
a87	0.0402186	0.0290315	0.0260684	0.0191847	0.0167344	0.0213014	0.019757	0.0277187	0.0587592	0.0847452	0.227961	0.42852
</S>	0.0375535	0.0291557	0.0292167	0.0242437	0.0252454	0.032882	0.0302573	0.0339572	0.0694288	0.084474	0.203756	0.399829
