 	la	manière	dont	il	monte	sur	les	palmiers	est	celle	des	récolteurs	de	vin	de	palme	</S>
a27	0.0118281	0.0143661	0.0185567	0.0431095	0.0637807	0.0940233	0.0685565	0.0911501	0.085999	0.0598336	0.0468534	0.0406986	0.0480054	0.0436113	0.0499027	0.0824981	0.137227
a61	0.0242392	0.0266415	0.0277871	0.0614835	0.0733269	0.104693	0.0692183	0.100345	0.0841445	0.0524852	0.0428107	0.036057	0.0343605	0.0344871	0.0431331	0.0752567	0.109531
a47	0.00695048	0.00635853	0.00698788	0.0153662	0.0236799	0.0347851	0.0296141	0.0466262	0.0543271	0.0474268	0.0453229	0.053968	0.0801885	0.0804433	0.0960777	0.157682	0.214195
a88	0.00392945	0.0044661	0.00525185	0.0132102	0.0200382	0.0306484	0.0239504	0.0448995	0.0532266	0.047762	0.0510791	0.0572162	0.0755556	0.0850758	0.0959575	0.155519	0.232214
a50	0.00530163	0.00601546	0.00618333	0.0169893	0.0264739	0.0411897	0.0327599	0.0410834	0.0410719	0.0257233	0.0213423	0.0279323	0.0478779	0.0667429	0.0955938	0.19801	0.299709
a62	0.0170867	0.0210928	0.0187898	0.0417226	0.0586917	0.0951515	0.0685288	0.0713662	0.0675846	0.0448133	0.0366755	0.0374267	0.0424444	0.0507487	0.0613808	0.110593	0.155903
a21	0.0039457	0.00371403	0.00437056	0.0120308	0.0196396	0.0278537	0.0226282	0.0290879	0.0348745	0.0290232	0.0291124	0.0395022	0.0641029	0.0967358	0.118636	0.199803	0.264939
a85	0.00184214	0.00105199	0.00127241	0.00275707	0.00352775	0.00451477	0.0050285	0.00690975	0.0109261	0.0137754	0.0294808	0.0506525	0.0723421	0.14062	0.160921	0.229598	0.26478
a6	0.0008987	0.000630547	0.000698773	0.00207874	0.00311732	0.00486044	0.004193	0.0092067	0.0138095	0.0113092	0.0226662	0.0338573	0.0575547	0.104841	0.143327	0.243324	0.343627
a36	0.000841314	0.000819208	0.00101106	0.00260233	0.00363068	0.00560073	0.0047428	0.0114781	0.0179923	0.0181619	0.0360151	0.050801	0.0735421	0.120433	0.142088	0.214622	0.295618
a6	0.00184248	0.00205438	0.00227166	0.00704889	0.0109571	0.0184593	0.0124508	0.0207145	0.0223995	0.0148185	0.0180655	0.0266019	0.0432705	0.0956378	0.137345	0.231308	0.334755
a37	0.00231074	0.00196598	0.00206392	0.00573951	0.00875212	0.0155866	0.00918332	0.0193516	0.0221501	0.0179723	0.0245626	0.0316106	0.0510506	0.107808	0.147104	0.220806	0.311981
a18	0.00211027	0.00190277	0.00164655	0.00475587	0.00719876	0.0121362	0.00862952	0.0138717	0.0144608	0.00951018	0.0124422	0.018751	0.0408749	0.0958344	0.154549	0.253611	0.347715
a82	0.009616	0.00976719	0.00631776	0.0112917	0.0136292	0.0205061	0.0180737	0.0173363	0.016186	0.0103367	0.0134877	0.0145569	0.0273048	0.070683	0.138207	0.265435	0.337265
a87	0.0710979	0.0481574	0.03643	0.044296	0.0454283	0.053546	0.0508711	0.0536641	0.0429544	0.031905	0.0408042	0.0330534	0.0408063	0.0651785	0.0893701	0.117283	0.135155
a23	0.0891196	0.0586662	0.0352111	0.0286918	0.0268647	0.0304682	0.0284612	0.0356765	0.0252763	0.0266722	0.0624545	0.0607078	0.0699889	0.092545	0.098161	0.108077	0.122958
a87	0.012667	0.0111171	0.005407	0.00371736	0.00423918	0.00635443	0.00396399	0.0072881	0.00717618	0.00913942	0.0363804	0.044104	0.060156	0.126815	0.176154	0.221314	0.264007
</S>	0.00706068	0.00512744	0.00286577	0.00188094	0.00207525	0.00314683	0.00208671	0.00544087	0.00583475	0.00890204	0.0397009	0.0339119	0.0393354	0.0957919	0.151795	0.253312	0.341733
