 	l'	homme	partit	et	aussitôt	la	femme	se	changea	en	oiseau	</S>
a73	0.0172269	0.0132866	0.019521	0.0241073	0.029555	0.029871	0.0329353	0.0366437	0.0542763	0.109582	0.217785	0.415209
a84	0.00466241	0.00352424	0.00618451	0.00979606	0.0158716	0.0187506	0.0232082	0.0249187	0.0410888	0.105707	0.237058	0.509229
a40	0.00331938	0.00211949	0.00257929	0.00289487	0.00399934	0.00632641	0.00947513	0.0128058	0.0234302	0.0843468	0.248426	0.600278
a98	0.0263478	0.0154177	0.0224755	0.0264556	0.04666	0.0422801	0.0422534	0.0401485	0.0575698	0.11308	0.199751	0.367561
a73	0.0100232	0.0076534	0.0127466	0.0189832	0.0295471	0.0288377	0.0298913	0.0281819	0.040173	0.102277	0.230734	0.460951
a56	0.00275026	0.00196123	0.00335513	0.00519765	0.00930911	0.0138598	0.0179617	0.0196751	0.0313026	0.093903	0.248846	0.551878
a98	0.00279769	0.00199202	0.00334136	0.00473244	0.00811809	0.0116332	0.0153353	0.0181481	0.0305305	0.0911405	0.241837	0.570394
a90	0.00363737	0.00267281	0.00480012	0.00639737	0.0108197	0.0153495	0.0189231	0.0206003	0.0312948	0.101973	0.257633	0.525899
a32	0.00888212	0.0067684	0.011316	0.0134074	0.020482	0.0259313	0.0308709	0.0328378	0.0469687	0.101849	0.22299	0.477696
a98	0.00786763	0.00501473	0.00645483	0.00677308	0.00915748	0.0115821	0.0138907	0.0163794	0.0253184	0.0845223	0.243931	0.569108
a9	0.0100144	0.00737177	0.0102153	0.0119396	0.0164781	0.0202748	0.0214964	0.0226695	0.0326054	0.098925	0.246521	0.501488
a87	0.00565868	0.00343993	0.0043824	0.00508259	0.00641033	0.00932547	0.0123078	0.0158567	0.0279353	0.107619	0.274565	0.527417
</S>	0.00660861	0.00311503	0.00280041	0.00241273	0.00261666	0.00425766	0.00591445	0.00939683	0.0210283	0.107655	0.294707	0.539487
