 	son	oncle	est	mort	il	y	a	deux	ans	</S>
a83	0.0177323	0.0176318	0.0269264	0.0469031	0.0624443	0.070169	0.0952803	0.130571	0.241854	0.290488
a61	0.0195209	0.0214436	0.0296754	0.0488789	0.0628525	0.0721618	0.0996943	0.130904	0.236282	0.278586
a24	0.0162475	0.0178112	0.0256253	0.0439416	0.0576457	0.0628997	0.0855096	0.121889	0.254158	0.314272
a62	0.0108617	0.0121041	0.0167243	0.0283514	0.0383657	0.0467922	0.0722883	0.112903	0.285653	0.375957
a34	0.018926	0.0207606	0.0253736	0.0361535	0.0460309	0.0513534	0.0741762	0.113789	0.264109	0.349328
a98	0.0108729	0.0124402	0.0177434	0.0301241	0.0448502	0.0510927	0.0750649	0.115459	0.273288	0.369065
a92	0.0204185	0.022236	0.0269076	0.0384993	0.0534075	0.0566799	0.0801405	0.108046	0.249448	0.344217
a35	0.0117589	0.0123884	0.015394	0.0240462	0.0398847	0.0467541	0.0756539	0.114696	0.280537	0.378887
a24	0.0129989	0.0132926	0.016291	0.0233303	0.0348265	0.0373256	0.0614595	0.0999685	0.278191	0.422316
a62	0.0111239	0.00990574	0.0104876	0.0134309	0.0210529	0.0251732	0.0469686	0.0944725	0.296144	0.471241
a83	0.00645906	0.005905	0.00695135	0.011328	0.0207965	0.0260932	0.0478108	0.0951564	0.303257	0.476243
a13	0.0099395	0.00881025	0.00917222	0.0124301	0.0205394	0.0284845	0.052722	0.101378	0.29627	0.460254
a38	0.00829011	0.00765079	0.00823006	0.0114726	0.0185101	0.0270074	0.0509356	0.09996	0.28852	0.479424
a14	0.00860385	0.00692447	0.00709898	0.0097902	0.0157483	0.0237254	0.0483428	0.10629	0.296555	0.476921
a73	0.00533277	0.00670156	0.00769297	0.0109006	0.0186093	0.0247019	0.0549832	0.123258	0.310461	0.437358
a57	0.00366704	0.00465062	0.00555309	0.00831812	0.0141568	0.0181205	0.038893	0.0891306	0.306985	0.510525
a87	0.00553204	0.0050872	0.00534102	0.00674152	0.0117963	0.0187298	0.0422389	0.0938328	0.288625	0.522075
</S>	0.0189721	0.0126007	0.0114424	0.0149499	0.0285558	0.0462811	0.0825054	0.148903	0.273605	0.362185
