 	cette	affaire	sera	traitée	aujourd'	hui	et	celle-ci	un	autre	jour	</S>
a62	0.00763734	0.00739653	0.0101672	0.0153621	0.0241849	0.0234406	0.0200327	0.0274639	0.0520124	0.115879	0.249866	0.446558
a31	0.0172612	0.0174509	0.0278888	0.0359885	0.0661298	0.063966	0.0488367	0.0558627	0.0571263	0.0984775	0.183783	0.327229
a0	0.0193188	0.017243	0.0271424	0.0333398	0.0761872	0.0850539	0.0663907	0.0638962	0.0657384	0.11055	0.173747	0.261393
a11	0.00767326	0.00624086	0.0112338	0.0132658	0.0372724	0.0491312	0.040864	0.0458628	0.0598617	0.123719	0.252919	0.351956
a62	0.00252545	0.00211058	0.00532427	0.00650005	0.020595	0.0290483	0.0243176	0.029152	0.0429277	0.105162	0.285954	0.446383
a96	0.00357805	0.00269716	0.0060828	0.00674661	0.0203297	0.0294615	0.0259824	0.0322939	0.0515464	0.127494	0.294351	0.399437
a76	0.00203734	0.00150531	0.00353672	0.00391878	0.0139345	0.0213112	0.0181658	0.0212523	0.0383215	0.108153	0.302736	0.465127
a69	0.00266832	0.00226783	0.00477505	0.00684521	0.040781	0.0639424	0.0437434	0.0338398	0.0604901	0.131672	0.223815	0.38516
a84	0.000642663	0.000485539	0.00144411	0.00225164	0.012503	0.0225427	0.0156196	0.0140415	0.0352922	0.0963132	0.252948	0.545916
a53	0.000419209	0.000313082	0.000641068	0.000665301	0.00229089	0.00489192	0.0042038	0.00480904	0.0151125	0.0657844	0.254765	0.646104
a93	0.000139764	0.000104105	0.000286351	0.000409899	0.00169021	0.00371962	0.00314632	0.0038637	0.0150361	0.0738866	0.285357	0.61236
a70	0.000120877	9.51584e-05	0.000307298	0.000454695	0.00214426	0.00409079	0.00336831	0.00442568	0.0132481	0.0528389	0.24586	0.673046
a0	7.70251e-05	6.05044e-05	0.000156079	0.000209467	0.00104519	0.00203077	0.00183374	0.00234672	0.00832863	0.0415793	0.228253	0.71408
a24	0.000467241	0.000352253	0.000547856	0.00071918	0.00294857	0.00530854	0.00416593	0.00461439	0.0151158	0.0616092	0.256763	0.647388
a11	0.00042054	0.000293774	0.000381757	0.000579989	0.00245547	0.00486842	0.00363512	0.00442849	0.0174019	0.0696452	0.269396	0.626493
a10	0.00149538	0.000873912	0.00105914	0.00148984	0.00555899	0.011001	0.00758258	0.00737674	0.0267691	0.0903227	0.269535	0.576936
a87	0.0100982	0.00461488	0.00405484	0.00680121	0.0155695	0.025455	0.0208058	0.0269479	0.0741233	0.154771	0.268714	0.388044
a23	0.03556	0.0223672	0.0168943	0.0346833	0.0721782	0.115252	0.0941217	0.112133	0.0991133	0.108198	0.12737	0.162129
a87	0.0216586	0.0115766	0.00756528	0.0140258	0.0309942	0.0481416	0.0420817	0.0551016	0.0747649	0.136358	0.229556	0.328175
</S>	0.00871655	0.00529114	0.00514168	0.00998565	0.0213266	0.0270767	0.0211701	0.0278933	0.04526	0.105625	0.267438	0.455075
