 	le	père	de	ngala	a	aménagé	une	place	dans	sa	maison	pour	offrir	des	sacrifices	aux	esprits	des	morts	</S>
a83	0.0133755	0.00982494	0.0126422	0.0180407	0.0196652	0.0295579	0.0290779	0.0298591	0.0486808	0.0548064	0.0518976	0.0668252	0.122121	0.0863413	0.0574063	0.0368093	0.0540948	0.0592504	0.0681416	0.131582
a75	0.0133204	0.00971747	0.0121122	0.0174409	0.0180015	0.0252483	0.024986	0.0260637	0.0455236	0.0545123	0.0530103	0.0715058	0.142398	0.0909401	0.0551122	0.0347385	0.0570343	0.0672434	0.0651762	0.115915
a98	0.0165785	0.0122504	0.0144616	0.0180935	0.0196215	0.0195682	0.0225728	0.0372481	0.0535249	0.0627609	0.0572923	0.0751394	0.105543	0.0585851	0.0324576	0.0217234	0.03899	0.0490639	0.0824464	0.202079
a44	0.0127049	0.00926048	0.0104855	0.0129498	0.0136513	0.0135154	0.0170346	0.0318299	0.0446809	0.0539725	0.0487821	0.0664095	0.0955552	0.0567768	0.0343528	0.020204	0.044029	0.0679067	0.118752	0.227146
a13	0.00653154	0.00430664	0.00512188	0.00691189	0.00690359	0.0114514	0.010608	0.0130067	0.0225882	0.0289453	0.0277202	0.0435657	0.09238	0.0469349	0.0288174	0.0183189	0.032531	0.0915398	0.18449	0.317327
a90	0.00843777	0.00611814	0.00657309	0.00808886	0.00874164	0.0139482	0.0119616	0.0169747	0.0235136	0.0300462	0.0286532	0.0426547	0.0866973	0.0451769	0.0215713	0.0162081	0.0188298	0.0632669	0.177526	0.365012
a11	0.00848515	0.00595691	0.00744109	0.00981441	0.0103174	0.0148635	0.0169615	0.0210699	0.0363371	0.0432167	0.0396115	0.0514597	0.0851968	0.0364322	0.0241609	0.0202159	0.0384161	0.119547	0.167773	0.242723
a75	0.00197751	0.00125133	0.00123111	0.00148969	0.00173237	0.00374945	0.00275885	0.00407301	0.00533927	0.00688369	0.00669864	0.0106529	0.0268938	0.0115449	0.00600898	0.00517344	0.00901999	0.0674406	0.252976	0.573104
a61	0.00882719	0.00511008	0.00603166	0.00795342	0.00801162	0.0108335	0.0108269	0.0150313	0.0253038	0.0324569	0.03232	0.0497089	0.109224	0.0440319	0.0265131	0.0172453	0.0238404	0.0737802	0.176948	0.316001
a88	0.00559597	0.00334216	0.00353822	0.00427627	0.00424294	0.00663471	0.00496127	0.00663144	0.00929985	0.0120655	0.0132102	0.021046	0.041539	0.0223521	0.0114883	0.00854689	0.0141191	0.0714563	0.224586	0.511068
a47	0.00204644	0.00125205	0.00125554	0.00145548	0.00161669	0.0034948	0.00247851	0.00423819	0.00413967	0.0044425	0.00376197	0.0053482	0.0111382	0.00613265	0.00398568	0.00384687	0.0106111	0.0562175	0.220825	0.651713
a83	0.00660016	0.00407965	0.00405786	0.00445	0.00512127	0.00867038	0.0061672	0.0111191	0.00975228	0.00990544	0.0074956	0.00994824	0.0232844	0.0139172	0.00705229	0.00537438	0.0108806	0.0532244	0.204747	0.594152
a9	0.00374443	0.00217617	0.00231533	0.00258996	0.00283481	0.00624376	0.00451461	0.00762159	0.00718094	0.00738319	0.00618941	0.00847354	0.0249144	0.0115117	0.00698961	0.00599003	0.0122441	0.0537901	0.18916	0.634132
a87	0.015296	0.00864241	0.00881934	0.00926968	0.00929939	0.0129388	0.00780491	0.017701	0.0135288	0.0123154	0.00995794	0.0132204	0.029389	0.0181658	0.00906715	0.00776857	0.0158312	0.0363418	0.178228	0.566415
a23	0.0235735	0.0175137	0.0190311	0.0181124	0.0180983	0.0384081	0.0221334	0.0423374	0.0314259	0.0263271	0.0208191	0.0308271	0.0647428	0.0614089	0.0504631	0.0532805	0.0928636	0.0805097	0.117359	0.170765
a97	0.00905417	0.00638536	0.00503732	0.00465764	0.00481249	0.0102879	0.00656567	0.0137436	0.00943662	0.0078836	0.0049077	0.00693836	0.0138679	0.011154	0.00826743	0.0132562	0.0434949	0.156033	0.326874	0.337342
a87	0.00969112	0.00603449	0.00610388	0.00609074	0.00556203	0.0142219	0.0115596	0.0324825	0.0247737	0.0234707	0.0148018	0.0214	0.0367431	0.0314097	0.0372205	0.0403313	0.0720432	0.105465	0.176053	0.324542
a23	0.014806	0.0106625	0.00941434	0.00902909	0.00864181	0.0233082	0.0111676	0.0263281	0.0148119	0.0132728	0.00919672	0.0164455	0.0344183	0.0312578	0.0419861	0.0569874	0.157727	0.139612	0.146487	0.22444
a87	0.00704086	0.00533299	0.00463046	0.00450487	0.00446024	0.0113702	0.00658856	0.0143853	0.00714723	0.00505292	0.00283812	0.00545145	0.0108642	0.00744157	0.00611311	0.0129972	0.0499215	0.101896	0.257988	0.473975
a23	0.0116278	0.00815237	0.00708616	0.00653466	0.00555025	0.0130845	0.00623472	0.0175686	0.00834065	0.00634425	0.00346996	0.00622049	0.0125275	0.0121253	0.0143622	0.0287742	0.084807	0.100222	0.205383	0.441585
a87	0.0102139	0.00702673	0.00637875	0.00582864	0.00530788	0.014296	0.00777536	0.0200097	0.00969043	0.00723321	0.0038695	0.00664119	0.0147156	0.0126847	0.0136524	0.0267387	0.0572277	0.0928079	0.246594	0.431308
a23	0.0100217	0.00642249	0.00549744	0.00511312	0.00492432	0.00953751	0.00538364	0.0160904	0.00620311	0.00422967	0.00221909	0.00340045	0.00707687	0.00612361	0.00839426	0.0173268	0.0462317	0.0727224	0.254067	0.509014
a87	0.0215028	0.0163174	0.0145636	0.0129189	0.0126286	0.0273978	0.0151083	0.0274707	0.0152787	0.0110079	0.00528226	0.00882762	0.0182938	0.0158581	0.0153373	0.0263535	0.0420156	0.0697252	0.207178	0.416934
a23	0.0180394	0.0131546	0.0115049	0.0100241	0.00918429	0.0156035	0.00849556	0.0197213	0.0102166	0.00728104	0.00350594	0.00607213	0.0124185	0.00977472	0.0106277	0.0179391	0.0307988	0.0524218	0.207328	0.525889
a87	0.0278423	0.0208315	0.0167277	0.0129264	0.0116689	0.0214168	0.0119374	0.0210922	0.0131249	0.00944855	0.00466795	0.00850211	0.017655	0.0153958	0.0115017	0.0163955	0.0289101	0.0574725	0.221399	0.451083
</S>	0.0181084	0.0125981	0.0103574	0.00797827	0.00773877	0.0131017	0.00859635	0.0219854	0.0110774	0.00732532	0.00352695	0.00503659	0.00979317	0.00728298	0.00840557	0.0134849	0.0256155	0.0522633	0.220872	0.534852
