 	mon	enfant	est	tenu	responsable	pour	tout	ce	qui	se	passe	dans	ce	village	</S>
a57	0.0366866	0.0740452	0.114477	0.164474	0.116388	0.0744766	0.0561765	0.0525553	0.0429948	0.0344273	0.0349509	0.0298489	0.0331547	0.0558073	0.0795378
a82	0.0420093	0.0728988	0.108223	0.197584	0.137316	0.0809397	0.0524567	0.0472857	0.0359512	0.0232002	0.024452	0.0210249	0.0235067	0.0477644	0.0853877
a87	0.0348333	0.0504994	0.0710538	0.159173	0.123382	0.0894633	0.0645458	0.0604535	0.0433824	0.026554	0.0232299	0.025565	0.0324498	0.0680322	0.127382
a23	0.0711913	0.0552726	0.0662361	0.114057	0.0739932	0.0589384	0.0515459	0.0555299	0.0445425	0.0259505	0.0230319	0.0328126	0.0407137	0.0991107	0.187073
a18	0.0739824	0.0696696	0.0750938	0.051497	0.0342014	0.0271194	0.0245694	0.0320458	0.0319358	0.02289	0.0201716	0.0367241	0.0585492	0.152311	0.28924
a50	0.0293726	0.0293465	0.030771	0.0278061	0.0240792	0.0272582	0.0290487	0.035618	0.0356982	0.029243	0.0245667	0.0664914	0.105462	0.207091	0.298147
a62	0.0144388	0.0159088	0.0203034	0.0396521	0.0399815	0.0403952	0.0392925	0.046936	0.0482591	0.0370885	0.0401336	0.0818822	0.103174	0.179033	0.253522
a12	0.0129467	0.0194425	0.0260219	0.0476621	0.0547972	0.0512973	0.0493168	0.0549321	0.0574222	0.0473782	0.0562333	0.0807278	0.0933856	0.145739	0.202697
a62	0.0137301	0.0216679	0.0326232	0.0621293	0.0640189	0.0550722	0.0515276	0.0558203	0.055675	0.0461642	0.0525808	0.0659921	0.0774188	0.135835	0.209745
a83	0.0127972	0.0217434	0.0320377	0.0548537	0.0534955	0.0448957	0.0432032	0.0449069	0.0466529	0.0464179	0.0645051	0.0799204	0.0951507	0.152248	0.207172
a62	0.010604	0.0182776	0.0286215	0.0676386	0.0655087	0.0529887	0.0495272	0.0511344	0.0496847	0.0436428	0.0545537	0.0672883	0.0806553	0.140711	0.219163
a47	0.00962398	0.0157659	0.0244022	0.0580036	0.0556126	0.0473603	0.0463447	0.0469684	0.0441644	0.0409202	0.0491442	0.0657554	0.0864809	0.159535	0.249918
a75	0.0127711	0.0215394	0.0328469	0.0740925	0.0687552	0.059113	0.0582977	0.0565348	0.0479417	0.0441733	0.0470146	0.0566706	0.0723517	0.131352	0.216546
a5	0.0169945	0.0252246	0.0383994	0.057432	0.0571171	0.0486062	0.0556247	0.0512961	0.0448539	0.0444506	0.0461617	0.0580896	0.0784714	0.14629	0.230988
a0	0.0177058	0.0204126	0.0264696	0.0366114	0.0350165	0.0371458	0.0459491	0.0468617	0.0406831	0.0441073	0.0419735	0.053789	0.0871515	0.171399	0.294724
a54	0.00820667	0.0095831	0.012633	0.0258559	0.0315675	0.0306589	0.0397619	0.0392936	0.0347401	0.0397786	0.0352248	0.0442517	0.0843676	0.186696	0.377381
a7	0.020706	0.0318792	0.0452564	0.0521614	0.0475676	0.0356783	0.0434735	0.0398468	0.0335917	0.0347293	0.0315973	0.0316874	0.0571152	0.151241	0.343469
a4	0.00298559	0.00436563	0.00666117	0.0163615	0.0182841	0.0184634	0.0264625	0.0229774	0.0190932	0.0219559	0.0132467	0.0211868	0.0655729	0.209789	0.532594
a62	0.00615731	0.00913528	0.0120916	0.0233481	0.0277522	0.0302145	0.0403373	0.0390938	0.0360579	0.0402442	0.0305064	0.0415382	0.0930482	0.200179	0.370296
a12	0.00354665	0.00386703	0.00453789	0.0109848	0.0159002	0.0174722	0.0265218	0.0270978	0.0275343	0.0350043	0.0292294	0.0423427	0.101959	0.228737	0.425266
a96	0.00339778	0.00353892	0.00425384	0.0109529	0.0155936	0.0162919	0.025239	0.025848	0.0261185	0.0325703	0.0272651	0.0386037	0.0928003	0.226173	0.451353
a88	0.00256117	0.00276435	0.003453	0.00919769	0.0126914	0.0135805	0.0215487	0.0219267	0.0224485	0.0277005	0.0218999	0.0336066	0.0919847	0.237343	0.477293
a71	0.00172895	0.00195549	0.00247606	0.00788983	0.0114315	0.0127669	0.0217336	0.0204734	0.0218382	0.0299768	0.0235779	0.032104	0.0918042	0.23013	0.490113
a54	0.00304256	0.00335923	0.00410972	0.0122149	0.017661	0.0223829	0.0369984	0.0342699	0.0360646	0.0520411	0.0430755	0.0525848	0.120786	0.207804	0.353606
a36	0.00330144	0.00357775	0.00500318	0.0103208	0.0121115	0.0145045	0.0261393	0.0260229	0.0263524	0.0311619	0.0178641	0.0337497	0.0973721	0.24632	0.446199
a2	0.00279962	0.00250847	0.00295155	0.00686081	0.00985156	0.0141626	0.0279688	0.0264981	0.0284741	0.0416824	0.0228798	0.0403292	0.111127	0.241043	0.420864
a7	0.015432	0.015125	0.0167558	0.036238	0.0363649	0.0388047	0.0641655	0.0596587	0.0570257	0.0746281	0.0375225	0.0436424	0.0856524	0.156227	0.262758
a5	0.0152334	0.0123794	0.0131105	0.0223948	0.0247355	0.0309772	0.0502932	0.0539401	0.0587397	0.0811685	0.0527962	0.0748106	0.12091	0.172811	0.215701
a37	0.00569471	0.00450044	0.00485983	0.00779906	0.0131422	0.0180642	0.0346308	0.0411032	0.0479562	0.0573813	0.0348813	0.051178	0.114328	0.222304	0.342177
a5	0.0045638	0.00385371	0.00411748	0.00673046	0.0114197	0.0154764	0.0302163	0.0335735	0.0386528	0.0495081	0.0306228	0.0442056	0.111525	0.230726	0.384808
a43	0.00711297	0.00652286	0.00715114	0.0102556	0.0146263	0.0171451	0.0314335	0.0353354	0.0426179	0.0527498	0.0390157	0.0525167	0.113728	0.217706	0.352084
a90	0.00215318	0.00205603	0.00245396	0.00584336	0.00930837	0.0123173	0.0242249	0.0243099	0.0290627	0.0396213	0.0264144	0.0367936	0.103424	0.240108	0.441909
a69	0.00261085	0.00331134	0.00454083	0.0114219	0.0197294	0.0208901	0.0334505	0.0339152	0.0353065	0.040886	0.0276399	0.0353475	0.0902911	0.222027	0.418632
a7	0.00130419	0.00193384	0.00281913	0.00934896	0.013338	0.0132052	0.0203543	0.0191024	0.0203212	0.0256539	0.0190872	0.0288331	0.078003	0.228319	0.518377
a26	0.00132126	0.0017305	0.00230961	0.00712373	0.0104577	0.0119323	0.0203289	0.0186504	0.0195891	0.0260749	0.0180781	0.0308894	0.0945966	0.252396	0.484521
a57	0.00357454	0.00358633	0.00427041	0.00967026	0.0129877	0.0197814	0.0350227	0.0359875	0.0396403	0.0548969	0.035041	0.0520322	0.11698	0.223748	0.352781
a87	0.0125054	0.0105961	0.011593	0.0247991	0.0290714	0.031965	0.0509454	0.0579131	0.0628852	0.0814573	0.052049	0.0605872	0.101049	0.164693	0.24789
a23	0.0877408	0.0525128	0.0429967	0.0791647	0.048188	0.0361006	0.0491506	0.0606085	0.0583859	0.0570885	0.0362444	0.0526053	0.0786597	0.117128	0.143426
a87	0.101517	0.052778	0.0418795	0.044996	0.0294324	0.0284232	0.0395411	0.0479049	0.0462199	0.0468819	0.0373299	0.0688489	0.0973577	0.149156	0.167734
a23	0.0386585	0.0242833	0.0241746	0.0495033	0.0438449	0.0382127	0.0503804	0.0543457	0.0556131	0.0572897	0.0440663	0.0698783	0.0947161	0.156809	0.198224
a87	0.0488185	0.0394164	0.0413448	0.0829726	0.0617551	0.0428174	0.0550256	0.0613163	0.0616943	0.0568403	0.0393421	0.0598032	0.0743268	0.120824	0.153703
</S>	0.0638287	0.0343146	0.0288425	0.0445042	0.0418916	0.0347248	0.0445793	0.0498951	0.0537428	0.054869	0.0409294	0.0584963	0.0817263	0.152155	0.2155
