 	a	ongondza	les	gens	ne	peuvent	pas	me	prendre	pour	un	faible	parce	que	j'	y	ai	construit	une	petite	maison	</S>
a90	0.00359731	0.00555677	0.0074453	0.0171632	0.0308035	0.0557763	0.0789848	0.0965889	0.0952924	0.101078	0.0835375	0.0627786	0.0574107	0.0505888	0.0314834	0.0231518	0.022666	0.0187693	0.0214404	0.0262462	0.0392003	0.0704409
a98	0.00622127	0.00770527	0.0102183	0.0236307	0.0426659	0.0766121	0.0986449	0.10963	0.103052	0.101358	0.0781183	0.0575197	0.0488189	0.0400661	0.0263189	0.0189304	0.0176895	0.0145899	0.0156492	0.0183082	0.0287432	0.0555091
a73	0.0133649	0.0134724	0.0159464	0.0264213	0.0414029	0.0659066	0.0817681	0.0880635	0.0836706	0.0820824	0.0683733	0.0591379	0.0512168	0.0420577	0.0290011	0.0204363	0.0183493	0.0178226	0.0214042	0.0275426	0.0437561	0.0888031
a56	0.0107558	0.01468	0.0147782	0.02289	0.0309637	0.0446933	0.0638858	0.0871557	0.0947376	0.0965273	0.0810457	0.0627772	0.0621037	0.0562978	0.0343611	0.0246359	0.0239222	0.019112	0.0171051	0.0210205	0.0356115	0.0809399
a44	0.0109223	0.0113775	0.0114005	0.0184795	0.0278252	0.0455425	0.062173	0.0772395	0.0779144	0.0854765	0.072716	0.0544752	0.0530362	0.0487614	0.0312224	0.0237943	0.0232225	0.019598	0.0235059	0.0322323	0.0574544	0.13163
a75	0.00578815	0.00669034	0.00711634	0.0133471	0.0212754	0.0361393	0.0520767	0.06919	0.0749064	0.0821375	0.0723537	0.0541487	0.0533612	0.0492501	0.0333542	0.0275433	0.0268333	0.0228441	0.026929	0.0390195	0.0712759	0.15442
a47	0.0163359	0.0145185	0.0149787	0.0221143	0.030479	0.0443541	0.0546124	0.0612617	0.0636515	0.0656472	0.0582513	0.0471562	0.041027	0.0354339	0.0276576	0.0230861	0.0242127	0.0238535	0.0324151	0.0473705	0.0830706	0.168512
a36	0.0121851	0.013141	0.0134831	0.0205866	0.0295673	0.0471502	0.0658259	0.0821235	0.0861323	0.0858018	0.0751403	0.0604104	0.0541756	0.0448867	0.030544	0.0221181	0.0202833	0.0180204	0.0199937	0.0283516	0.0504023	0.119677
a2	0.00483067	0.00723044	0.005998	0.0095715	0.0138521	0.0226529	0.0367429	0.0576308	0.0751059	0.0835877	0.0740926	0.0468082	0.0475479	0.0431928	0.0269207	0.0237739	0.026683	0.0270262	0.0320909	0.0469412	0.0907016	0.197018
a57	0.0123604	0.0111291	0.00753122	0.0100276	0.0130931	0.0201274	0.0312249	0.0509259	0.0857047	0.0950692	0.0840785	0.0536143	0.0512527	0.0405838	0.0286582	0.0263435	0.0225995	0.0227776	0.0286649	0.0477985	0.094067	0.162368
a87	0.0111225	0.00767362	0.00406962	0.00541487	0.00747884	0.0112358	0.0180157	0.0305026	0.0633226	0.080219	0.0853616	0.0737366	0.0722534	0.0627621	0.0492448	0.0430762	0.035779	0.0332634	0.0361557	0.0505957	0.0814614	0.137255
a23	0.0208089	0.0130194	0.00955815	0.0132324	0.0146205	0.0160827	0.0211728	0.0298009	0.0522586	0.0610677	0.0684872	0.0741258	0.0621016	0.0562798	0.0549385	0.0532285	0.0493121	0.0441575	0.0479085	0.0572787	0.0780839	0.102476
a83	0.00791064	0.00804053	0.00831348	0.0107245	0.0105356	0.0087911	0.00953678	0.0105619	0.0139511	0.0185679	0.0189476	0.0259212	0.0213014	0.0218916	0.0270089	0.0381335	0.0454591	0.0560047	0.0888306	0.136355	0.185162	0.228051
a13	0.00100624	0.000892026	0.00127852	0.00208506	0.0026526	0.00334729	0.00501079	0.00675221	0.00986815	0.0143883	0.0147618	0.0173139	0.016114	0.0177627	0.0204781	0.0297046	0.0390118	0.0561347	0.0917209	0.135834	0.210078	0.303804
a54	0.000352329	0.000458344	0.000902068	0.00211893	0.00327346	0.00471227	0.00688889	0.0091498	0.0127953	0.0161702	0.0154001	0.0181239	0.0146521	0.015225	0.0176632	0.0253106	0.0359112	0.0523092	0.0913371	0.141951	0.208631	0.306663
a47	0.000582141	0.000752634	0.00115829	0.00321544	0.00550728	0.00816481	0.0114188	0.015047	0.0188597	0.0222615	0.0198114	0.0250493	0.0196783	0.0198369	0.0218065	0.0283034	0.0370013	0.0433318	0.0729577	0.117862	0.192839	0.314555
a5	0.000698675	0.000924817	0.00148466	0.00398908	0.00647426	0.00887025	0.0111567	0.0140636	0.0161783	0.0178671	0.0144411	0.0169343	0.0122304	0.012525	0.0127001	0.0179217	0.0250344	0.0346752	0.0725986	0.127213	0.217665	0.354355
a21	0.00113532	0.001275	0.00169157	0.00386833	0.0060297	0.00802334	0.0100597	0.0129448	0.0148263	0.0159595	0.0141492	0.0158291	0.0131981	0.0144386	0.0156321	0.0225051	0.0311898	0.0405459	0.0804493	0.136335	0.215922	0.323991
a92	0.0022506	0.00278384	0.00369124	0.00794235	0.0119519	0.0157339	0.0191473	0.0238872	0.0279306	0.0280118	0.0246624	0.0257908	0.0217251	0.0223483	0.0224568	0.0277044	0.035405	0.0430902	0.0765792	0.114952	0.174583	0.267372
a37	0.0019735	0.00266044	0.00335364	0.00721341	0.0111651	0.0167929	0.0230443	0.0310767	0.0366962	0.0357726	0.030772	0.0306619	0.0239603	0.0230118	0.0221324	0.0276815	0.0311531	0.0370899	0.0584721	0.0905671	0.155414	0.299335
a96	0.00077945	0.00111848	0.00132449	0.00311567	0.00551713	0.00914885	0.0130589	0.0184456	0.0243006	0.0241126	0.0191588	0.0176658	0.0129842	0.0128921	0.0108968	0.0154495	0.0178894	0.0285727	0.0647704	0.116517	0.204815	0.377467
a83	0.000805377	0.00107459	0.00124202	0.00284993	0.00500844	0.00839564	0.0128516	0.0188711	0.0252623	0.025814	0.02064	0.0196032	0.0154587	0.0163553	0.0145107	0.0216507	0.0242253	0.0364878	0.0765709	0.120151	0.194979	0.337193
a75	0.00033569	0.000450214	0.000513036	0.00111327	0.00195713	0.00359843	0.00628402	0.00996182	0.0145277	0.0159042	0.0125277	0.0111724	0.00907924	0.00954644	0.00840236	0.0129771	0.0152203	0.025453	0.0580347	0.106927	0.218608	0.457406
a61	0.000387928	0.000595234	0.000741992	0.00172786	0.00307758	0.00540657	0.00899523	0.0142909	0.0177893	0.0185299	0.0156428	0.0150964	0.0126885	0.013614	0.0133418	0.0202819	0.0276415	0.0417682	0.075127	0.12341	0.216587	0.353258
a70	0.000320141	0.000456872	0.00050363	0.00101327	0.0016963	0.00298006	0.00504723	0.00808295	0.0118376	0.0128802	0.0100704	0.00880927	0.00669105	0.00687848	0.00563834	0.00894115	0.0103357	0.0188766	0.0490655	0.101144	0.226671	0.50206
a0	0.00032822	0.000467034	0.000499404	0.0011047	0.00187027	0.00333887	0.00573438	0.0093821	0.0127348	0.013501	0.01036	0.00854497	0.00727715	0.00785302	0.00650723	0.0102855	0.0124914	0.0220828	0.0550466	0.100338	0.216672	0.493581
a21	0.000452923	0.000536486	0.000615921	0.00119025	0.00169353	0.00260834	0.00464344	0.00778876	0.0132865	0.0152847	0.0125017	0.0101554	0.0076624	0.0077844	0.00628017	0.0107146	0.0125647	0.0240709	0.0591982	0.111593	0.236983	0.452391
a18	0.00107242	0.00111989	0.00107442	0.00174777	0.00253463	0.00402558	0.00653867	0.0105905	0.0151687	0.0156746	0.0129838	0.0109315	0.010137	0.0107702	0.0102481	0.0153917	0.0191049	0.0293727	0.0597315	0.0973758	0.210263	0.454143
a71	0.000461286	0.000615183	0.000809575	0.0015147	0.00202855	0.00278216	0.00457096	0.00673656	0.00971132	0.0113553	0.00961117	0.00806119	0.00635137	0.00635468	0.00493593	0.00845384	0.0104194	0.0204651	0.0552011	0.10146	0.219307	0.508794
a40	0.00332424	0.00242685	0.00253151	0.00399636	0.00532916	0.00726972	0.01132	0.0177069	0.028173	0.0343032	0.0331401	0.0329054	0.0226732	0.0230934	0.0183556	0.0295347	0.0328123	0.0518563	0.0852607	0.113425	0.174117	0.266445
a75	0.0013492	0.00149251	0.00182078	0.00285628	0.00323349	0.00390841	0.00642934	0.0098391	0.0143496	0.0171591	0.0147218	0.0139923	0.0123719	0.0144926	0.0149122	0.023275	0.0351527	0.05214	0.0944806	0.127341	0.217933	0.316749
a47	0.000822464	0.00118748	0.00136787	0.00273061	0.00431983	0.00748734	0.0127561	0.0208514	0.0266965	0.0295185	0.023935	0.0182701	0.0177171	0.0186368	0.0162897	0.0210851	0.0272953	0.0345634	0.0588828	0.103217	0.198439	0.35393
a36	0.000206144	0.000316888	0.000404664	0.000918964	0.00161774	0.00285908	0.00527545	0.0087602	0.011642	0.0129387	0.0116333	0.0128305	0.00840086	0.00811341	0.00651264	0.0106292	0.0131586	0.0238809	0.0614011	0.120098	0.225074	0.453327
a2	0.000948744	0.00100287	0.00112099	0.00172846	0.00216102	0.00286144	0.00506595	0.00885093	0.0144486	0.0165507	0.014832	0.0137286	0.0116119	0.0124226	0.00989784	0.0156163	0.0214693	0.0374938	0.0803892	0.114095	0.209989	0.403715
a57	0.0111973	0.00552534	0.0055467	0.00823154	0.0107723	0.0122987	0.0162364	0.0239476	0.0372553	0.0490673	0.0518036	0.0525906	0.0386093	0.0397251	0.0331593	0.0457531	0.0483272	0.0589463	0.0752839	0.0913048	0.133929	0.150489
a87	0.0337303	0.0204872	0.0124529	0.0122613	0.0123008	0.0123732	0.016076	0.0253309	0.0420018	0.0589225	0.064763	0.0651077	0.0529254	0.0520024	0.0410505	0.0421926	0.0412553	0.0447131	0.0584196	0.0746674	0.10426	0.112706
a23	0.0326894	0.0243651	0.0183297	0.0234368	0.0244331	0.0240611	0.0290194	0.0400715	0.0562109	0.0658872	0.0648591	0.065475	0.0506223	0.0467454	0.0374845	0.0347938	0.0324115	0.0336034	0.0466628	0.0613027	0.0877749	0.0997604
a87	0.0157566	0.0104474	0.00931219	0.0110615	0.0109579	0.0103795	0.0136792	0.0200958	0.0292047	0.0344305	0.0350166	0.0382089	0.0311471	0.031302	0.0277065	0.0329267	0.0357868	0.0455829	0.0730543	0.107917	0.152539	0.223488
a23	0.00603479	0.00791703	0.00805329	0.0098532	0.00937762	0.00895859	0.0114006	0.0162722	0.0245371	0.0294981	0.03078	0.0363897	0.0250276	0.0233185	0.0220495	0.0259604	0.0273877	0.0365804	0.0625001	0.112205	0.185554	0.280344
a87	0.00815549	0.00865826	0.00971047	0.0117372	0.0102117	0.00941011	0.0125433	0.0186971	0.0244262	0.0281341	0.0260416	0.0287412	0.0211163	0.0215993	0.0182681	0.0227265	0.0233076	0.0314337	0.0542392	0.102266	0.181355	0.327221
a23	0.00631616	0.00672987	0.00710098	0.00748974	0.00623097	0.00527017	0.00691364	0.00999585	0.014176	0.0164268	0.0170392	0.0230948	0.0146069	0.0147207	0.0150512	0.0202396	0.0226317	0.0328312	0.0610787	0.12275	0.215744	0.353562
a24	0.0122836	0.00965156	0.00927225	0.0095274	0.00769524	0.00654476	0.00843517	0.0122943	0.0166198	0.0197425	0.0197497	0.0226998	0.0165978	0.0170536	0.0153693	0.0197231	0.020502	0.0286478	0.0496447	0.104091	0.201135	0.372719
a61	0.0148625	0.0083062	0.00761349	0.00740967	0.00628335	0.00536221	0.00639842	0.00846032	0.0116094	0.015811	0.0178047	0.0213913	0.0182179	0.0200414	0.0201336	0.0245366	0.0262281	0.0315156	0.0510269	0.101246	0.198325	0.377416
a5	0.00174798	0.0014838	0.00228526	0.00357444	0.0042442	0.0052463	0.0081406	0.0127959	0.0197132	0.0239329	0.0226221	0.0276111	0.0233688	0.026579	0.0257535	0.0310716	0.0379274	0.0524324	0.0737721	0.110631	0.184387	0.300679
a37	0.000396907	0.000477629	0.000899757	0.00254729	0.00425443	0.00619386	0.00937579	0.0132393	0.0177222	0.0200176	0.0184141	0.0265793	0.0203015	0.0223006	0.025769	0.0371623	0.048416	0.0632457	0.0905644	0.127283	0.186073	0.258766
a96	0.000291068	0.000333034	0.000605204	0.0017138	0.00311291	0.00452332	0.00665335	0.00907766	0.011845	0.0129805	0.0111222	0.0154059	0.0114585	0.0126791	0.014343	0.0222864	0.0327839	0.0511862	0.0878407	0.13352	0.215269	0.340969
a75	0.000498298	0.000644667	0.00103326	0.00275565	0.00481166	0.00668609	0.00893888	0.0111988	0.0135578	0.0145973	0.0127368	0.0160488	0.0131401	0.0144556	0.0158555	0.0234421	0.0327354	0.0474057	0.0879746	0.135439	0.211969	0.324075
a6	0.000927836	0.00113847	0.0015891	0.00395644	0.00673648	0.0103225	0.0151048	0.0212763	0.0254718	0.024929	0.0216497	0.0255379	0.0187179	0.0194306	0.0206107	0.0290505	0.037908	0.047886	0.0783382	0.116634	0.179091	0.293693
a85	0.000304163	0.000427186	0.000735108	0.00218566	0.00425817	0.00743965	0.0116829	0.0175608	0.0220912	0.0209859	0.0171803	0.0191176	0.0132453	0.013284	0.0134222	0.0197356	0.0271224	0.0399978	0.0718163	0.113887	0.194317	0.369204
a37	0.000773178	0.000909846	0.00145979	0.00403012	0.00713507	0.0120578	0.0191626	0.0287529	0.0349229	0.0308984	0.0239084	0.0285177	0.0177552	0.0178252	0.0181132	0.0258491	0.0306835	0.039444	0.0573384	0.0884659	0.162712	0.349285
a26	0.000323994	0.000401794	0.000536932	0.00140828	0.00273022	0.00516052	0.00906754	0.0150811	0.0214425	0.0210763	0.0168277	0.0167869	0.0123656	0.0136901	0.0118487	0.0172933	0.0211073	0.0334624	0.06915	0.110033	0.196213	0.403992
a38	0.000501905	0.000375483	0.000475859	0.00093418	0.00149984	0.00256715	0.00507006	0.00890665	0.0152781	0.0172358	0.0139638	0.0135366	0.0112922	0.0128176	0.0119059	0.0169881	0.0209446	0.0328793	0.0668009	0.105943	0.212785	0.427298
</S>	0.000650931	0.000502739	0.000505657	0.000765704	0.00101283	0.00146175	0.00278148	0.00485829	0.00899982	0.0114374	0.0108276	0.0119429	0.0103353	0.0120215	0.0124716	0.0193434	0.0236378	0.0387109	0.0801726	0.126503	0.227641	0.393416
