 	les	hommes	d'	ongondza	sont	en	train	de	pêcher	au	harpon	au	vouma	</S>
a85	0.0225695	0.0205068	0.0196589	0.0257164	0.0334231	0.0398038	0.0434547	0.0483783	0.0450391	0.0646762	0.0813252	0.101242	0.190152	0.264054
a11	0.0284666	0.0259546	0.0240069	0.0312345	0.0442253	0.0531293	0.0584054	0.0632022	0.0566392	0.0725669	0.0799134	0.0885262	0.153869	0.21986
a75	0.00783486	0.00764313	0.00900275	0.0233261	0.0392591	0.0406363	0.0395985	0.0342836	0.0344093	0.0691861	0.102427	0.120021	0.190177	0.282196
a15	0.0104054	0.00946895	0.00947107	0.0190021	0.0290795	0.0330041	0.0358156	0.031248	0.0293635	0.0580898	0.0878408	0.113227	0.215353	0.318632
a69	0.00745288	0.00541939	0.00550265	0.0111354	0.0169693	0.0215635	0.0270515	0.0262019	0.0323796	0.0784712	0.126898	0.148329	0.214802	0.277823
a4	0.00409423	0.00348213	0.00325785	0.00746242	0.0128979	0.0154213	0.0180759	0.0175599	0.0205246	0.0573763	0.0990555	0.137305	0.241675	0.361812
a53	0.0018741	0.00184993	0.00192834	0.00447139	0.00822321	0.00929306	0.0112074	0.0118081	0.015498	0.0437941	0.0822816	0.14112	0.266099	0.400551
a4	0.00189559	0.00201698	0.00212812	0.00564819	0.0102103	0.0113494	0.0144794	0.0180063	0.0240187	0.0597846	0.0998615	0.139313	0.23869	0.372597
a83	0.00150097	0.00133464	0.00129666	0.00297019	0.00432375	0.00496571	0.00687053	0.00875652	0.0139609	0.0365142	0.0737493	0.124722	0.260281	0.458754
a54	0.000962037	0.000771298	0.000719241	0.0014587	0.00183496	0.00234588	0.00346582	0.00560361	0.0111213	0.0363928	0.0694978	0.113507	0.265406	0.486913
a7	0.00085705	0.000670033	0.000554592	0.00130006	0.00149413	0.00202364	0.00303333	0.00430843	0.00869646	0.0297945	0.0848865	0.142073	0.273016	0.447293
a57	0.000874117	0.000765255	0.000722187	0.00157668	0.00200913	0.00298054	0.00417984	0.00683673	0.0121276	0.0401708	0.0802912	0.120187	0.26674	0.460539
a87	0.00648987	0.00384089	0.0028101	0.00517339	0.0086236	0.0154522	0.0209971	0.0265821	0.0319762	0.0636368	0.0973849	0.126614	0.238015	0.352404
a23	0.0358918	0.0255513	0.0239702	0.0351698	0.0473188	0.0727137	0.0939066	0.104307	0.102997	0.105653	0.0988985	0.0798157	0.0820578	0.0917481
a87	0.0246035	0.0148299	0.0116708	0.0222406	0.027394	0.0339915	0.0441655	0.052112	0.0593074	0.0808052	0.10051	0.121581	0.175463	0.231326
</S>	0.0108774	0.00728881	0.00727528	0.0154214	0.0158937	0.0222862	0.0285611	0.0317708	0.0367752	0.054458	0.0786062	0.113246	0.218676	0.358864
