 	son	grand	frère	l'	a	obligé	de	répudier	sa	femme	</S>
a18	0.00367557	0.00385988	0.0061748	0.00774926	0.0100425	0.00403789	0.00890448	0.027679	0.0920979	0.266357	0.569422
a75	0.0097787	0.00849884	0.0107521	0.0099029	0.00933031	0.00509912	0.00956274	0.0282585	0.0910182	0.267498	0.550301
a92	0.00117944	0.00130144	0.00227657	0.00276679	0.00356314	0.0017743	0.00482237	0.0198447	0.0934158	0.28356	0.585496
a85	0.000772852	0.000843576	0.00156997	0.00177483	0.00250259	0.00125768	0.00440316	0.0198884	0.0911385	0.279949	0.5959
a79	0.00104077	0.000994585	0.00188558	0.00174725	0.00230466	0.00142685	0.00663685	0.0262414	0.089494	0.273114	0.595114
a37	0.000639574	0.000695905	0.00128039	0.0012925	0.00186489	0.000841627	0.00363585	0.0164835	0.0728554	0.260582	0.639828
a75	0.00109856	0.00121149	0.00191158	0.00167729	0.00201932	0.000675095	0.00459272	0.0254067	0.0986614	0.29652	0.566226
a85	0.000905874	0.000918233	0.00166453	0.00150206	0.00192018	0.000953746	0.00497921	0.0238374	0.0931232	0.290042	0.580153
a56	0.000766256	0.000768617	0.00155412	0.00134898	0.00188776	0.00113416	0.0044043	0.0162496	0.0703423	0.269073	0.632471
a43	0.00135694	0.0013852	0.00213404	0.0018713	0.00187443	0.000780815	0.00439619	0.0222619	0.0887699	0.295278	0.579891
a11	0.0005954	0.000690089	0.0012541	0.00207691	0.0024243	0.00109668	0.00466065	0.0205168	0.0938764	0.298592	0.574217
a38	0.00314183	0.00322464	0.00605415	0.00885315	0.0089932	0.00480647	0.0149875	0.0399697	0.115887	0.288989	0.505093
a27	0.0107467	0.00939899	0.0125105	0.0154281	0.0163463	0.0115476	0.0289145	0.0592606	0.12542	0.267374	0.443053
a82	0.0884105	0.0554729	0.0482426	0.0441776	0.0377958	0.0250373	0.0541421	0.0831337	0.116596	0.181018	0.265973
a3	0.248343	0.0993729	0.052294	0.0411784	0.0421954	0.0339515	0.0572083	0.0703183	0.0821168	0.113276	0.159745
a10	0.182152	0.0906114	0.0502098	0.0430667	0.0453852	0.0344315	0.0539264	0.0721036	0.0961819	0.138557	0.193374
a97	0.140758	0.0726906	0.0477897	0.0425414	0.0454604	0.0309759	0.0551974	0.0760897	0.108226	0.158039	0.222232
a3	0.107254	0.063594	0.0515955	0.0473801	0.057092	0.0413877	0.0614547	0.0743906	0.109505	0.161254	0.225092
a9	0.0934518	0.0532251	0.0447242	0.0400493	0.0465287	0.0372185	0.0529442	0.066075	0.101286	0.174827	0.289671
a82	0.0846539	0.0449526	0.0401108	0.0427739	0.0530503	0.0453989	0.0549079	0.0584569	0.0911287	0.169872	0.314694
a87	0.0959731	0.0509241	0.0498927	0.0569238	0.0692517	0.0547041	0.0569112	0.0528675	0.0802531	0.147391	0.284907
</S>	0.122905	0.0614152	0.0557875	0.0593404	0.069818	0.0569569	0.0636791	0.0594858	0.0800455	0.131974	0.238592
