 	le	féticheur	lui	a	exigé	un	sacrifice	avant	de	lui	donner	les	attributs	de	la	sorcellerie	</S>
a5	0.0237356	0.039414	0.0500812	0.0654957	0.074827	0.0739158	0.0790368	0.097534	0.0758036	0.0566898	0.0558985	0.0561593	0.050144	0.0561064	0.0539993	0.0468213	0.0443378
a37	0.0196448	0.0362117	0.0494547	0.0679015	0.0858036	0.0948112	0.103492	0.110652	0.0859416	0.0580566	0.0522474	0.0447468	0.0305751	0.0332732	0.0366739	0.0406012	0.0499123
a93	0.0192686	0.0284693	0.0380288	0.0485247	0.0577994	0.0612527	0.0791985	0.105227	0.101306	0.077081	0.0703313	0.0588737	0.0386965	0.0425898	0.0479971	0.0552051	0.0701505
a56	0.0173544	0.0240898	0.0303443	0.0360093	0.0432272	0.0479966	0.068844	0.0942369	0.0975217	0.0776845	0.0709431	0.0607707	0.0416667	0.0516967	0.0607881	0.0746103	0.102216
a34	0.0130477	0.0198428	0.0263211	0.0327499	0.0431307	0.0543119	0.0787435	0.0770218	0.0834607	0.0722961	0.0701965	0.0686282	0.0535307	0.0617011	0.0675526	0.0766575	0.100807
a56	0.00843668	0.0130998	0.0180106	0.0208272	0.0265385	0.0348266	0.063744	0.0638788	0.0817681	0.0749695	0.0714939	0.0784019	0.0655071	0.085337	0.086552	0.0925558	0.114053
a44	0.00548403	0.00869478	0.0123168	0.0134722	0.0158774	0.0198648	0.0392882	0.0464171	0.0648175	0.0617246	0.058033	0.0687224	0.0628411	0.106893	0.116581	0.130486	0.168486
a93	0.00452671	0.00658927	0.00920788	0.00907068	0.00848371	0.00941666	0.0166621	0.0257348	0.0445886	0.0488195	0.0467944	0.0595472	0.0593274	0.124264	0.139753	0.163108	0.224106
a70	0.00226314	0.00349887	0.00492279	0.00468354	0.00484983	0.00586748	0.0109454	0.0175078	0.0383873	0.0426381	0.0419703	0.0566209	0.054776	0.130087	0.159007	0.187675	0.2343
a62	0.00128972	0.0019857	0.00284459	0.00259714	0.00234505	0.00280636	0.00480179	0.00868282	0.0217393	0.0250928	0.0245716	0.0346207	0.0354489	0.11681	0.170188	0.237806	0.306369
a83	0.00101233	0.0014903	0.00209863	0.00196785	0.00201273	0.00273524	0.00465677	0.00714191	0.0163099	0.0174699	0.0160673	0.0220673	0.0231128	0.0938061	0.160611	0.2637	0.36374
a75	0.000566912	0.000809534	0.00114835	0.00121556	0.00120979	0.00171159	0.00262648	0.00403454	0.00939981	0.0108021	0.010464	0.0144188	0.0166003	0.0725954	0.141699	0.281266	0.429433
a25	0.000240532	0.000355537	0.00045743	0.000491533	0.000604876	0.000978795	0.00173561	0.00241668	0.00463078	0.00493242	0.00535626	0.00791209	0.010117	0.054212	0.125613	0.292657	0.487289
a79	0.000215628	0.00027257	0.000318663	0.000346793	0.000357018	0.000462403	0.000813879	0.00157449	0.00356423	0.00427785	0.00512	0.00867413	0.0144034	0.070567	0.13823	0.278489	0.472313
a44	0.000903968	0.000966038	0.00109175	0.00103165	0.00103281	0.00129421	0.00177235	0.00285374	0.00728021	0.0102995	0.0124484	0.0181036	0.0206107	0.0668159	0.123797	0.260757	0.468942
a96	0.000590807	0.000707572	0.000753339	0.000623587	0.000528173	0.000597232	0.000708081	0.00154934	0.00440563	0.00661472	0.00867391	0.0131557	0.0162417	0.0582842	0.118729	0.269926	0.49791
a66	0.000730002	0.000904896	0.000979769	0.000905122	0.000883221	0.00104895	0.00109252	0.00197094	0.00420542	0.00567597	0.00648756	0.00966409	0.0143806	0.0514846	0.109199	0.254635	0.535752
a13	0.00218258	0.00242507	0.00270412	0.00303245	0.00244768	0.00249654	0.00346507	0.00671803	0.0146322	0.0194534	0.0188967	0.0282384	0.0441963	0.0932077	0.137542	0.228334	0.390028
a99	0.00206173	0.0022781	0.00261736	0.00263348	0.0019777	0.0020082	0.00288486	0.00819079	0.021543	0.0290554	0.0259633	0.0338359	0.0459344	0.100123	0.147359	0.238195	0.33334
a87	0.00738689	0.00658247	0.00683834	0.00616965	0.00536749	0.00590392	0.00770858	0.0180229	0.0402271	0.0544989	0.0444582	0.0524989	0.0564446	0.0955154	0.125394	0.196683	0.2703
a23	0.18087	0.105739	0.0594174	0.0501482	0.0461326	0.0417767	0.0445942	0.0512957	0.0570388	0.0650328	0.0542449	0.0490442	0.0412307	0.0300905	0.0329236	0.0398297	0.0505908
a99	0.0709547	0.0302653	0.01149	0.00701079	0.00599159	0.00486903	0.00583135	0.00604466	0.00816396	0.0116953	0.0172317	0.0246529	0.0289122	0.0545706	0.114281	0.218499	0.379536
a87	0.0311978	0.0152204	0.0072222	0.0046052	0.0042135	0.00324633	0.00357421	0.00490659	0.0082899	0.0131629	0.0198686	0.0306493	0.036305	0.0583671	0.116878	0.22478	0.417512
</S>	0.0229298	0.0126352	0.00728709	0.00534999	0.00540894	0.00469354	0.00551873	0.00756079	0.0113381	0.017419	0.0249051	0.0330432	0.0394798	0.0542047	0.105308	0.219793	0.423125
