 	la	manière	de	gratifier	des	riches	est	différente	de	celle	des	pauvres	</S>
a71	0.00170968	0.00138828	0.00174848	0.00447185	0.00784822	0.0234139	0.0506361	0.11867	0.16182	0.135749	0.109669	0.138393	0.244484
a75	0.00836937	0.00936446	0.00990167	0.0146583	0.0259161	0.0696366	0.0939031	0.123025	0.145959	0.149075	0.107996	0.102498	0.139698
a21	0.000858366	0.000753756	0.000923167	0.00207397	0.00502095	0.0143706	0.0482319	0.120774	0.160785	0.132081	0.116923	0.141188	0.256017
a92	0.000981988	0.00064939	0.000679363	0.000995446	0.00152284	0.00423955	0.0151517	0.04649	0.107251	0.145189	0.166092	0.206254	0.304504
a85	0.000889985	0.000743095	0.000805707	0.00116649	0.00259174	0.00760276	0.0230368	0.0610246	0.109877	0.121222	0.155029	0.192707	0.323303
a21	0.00345465	0.00323645	0.00275279	0.00270309	0.00276154	0.00424631	0.0162447	0.0557296	0.107133	0.155066	0.167458	0.192109	0.287106
a85	0.00123332	0.000882983	0.000815042	0.00119244	0.00230815	0.00579017	0.0189616	0.0479272	0.0994648	0.135948	0.177381	0.212716	0.29538
a6	0.00267041	0.00241894	0.00214212	0.00249487	0.00269059	0.00449909	0.0138911	0.0453105	0.0923759	0.134298	0.17089	0.204534	0.321784
a36	0.00113196	0.00110838	0.00111343	0.00161846	0.00280131	0.0059313	0.0191234	0.0464219	0.0869898	0.121913	0.185703	0.214892	0.311251
a75	0.00135219	0.00121556	0.000756433	0.00116115	0.00132289	0.00233768	0.00559383	0.013108	0.0266136	0.0449675	0.114355	0.24536	0.541856
a47	0.000894999	0.000732184	0.000532744	0.000597584	0.0011252	0.00325619	0.00726401	0.0184393	0.0458896	0.075219	0.15625	0.25295	0.436849
a37	0.000414079	0.000338567	0.000276936	0.000333898	0.0004796	0.00154873	0.00389281	0.0112897	0.0290274	0.0546076	0.142107	0.260944	0.494739
a26	0.00111799	0.000890566	0.000644501	0.000827679	0.00111871	0.00209851	0.00476562	0.00793597	0.0221452	0.0477505	0.132663	0.264948	0.513094
a27	0.0286864	0.0232645	0.0154848	0.0157588	0.0177963	0.0205214	0.0318565	0.034522	0.0455531	0.069924	0.132156	0.227222	0.337254
a10	0.138906	0.0860725	0.0401506	0.0286844	0.0205519	0.0240703	0.0379054	0.0499806	0.0471938	0.0670076	0.0945018	0.139667	0.225309
a87	0.19123	0.104805	0.0450955	0.0436066	0.0302516	0.028131	0.0592973	0.0677129	0.0681693	0.0757923	0.0702822	0.0844036	0.131223
a23	0.152863	0.109073	0.0557491	0.0687939	0.0419838	0.0348759	0.0670547	0.0720796	0.0755798	0.0729667	0.0598491	0.0688395	0.120293
a99	0.0408546	0.0312383	0.0144186	0.0163342	0.00937513	0.00851412	0.0212699	0.024847	0.042595	0.05465	0.120958	0.220051	0.394894
a97	0.0285671	0.0182142	0.00962425	0.0138441	0.0175801	0.0305717	0.0381544	0.034209	0.0530377	0.0665488	0.122191	0.211699	0.355758
a99	0.0116215	0.00697836	0.00494328	0.00807447	0.00860313	0.0140628	0.01924	0.0233408	0.031772	0.0431017	0.0983874	0.221596	0.508279
a87	0.013717	0.0104486	0.00773337	0.0120017	0.0110035	0.0154501	0.0227274	0.0251813	0.0362995	0.0475436	0.107898	0.225213	0.464783
a97	0.0294846	0.0180188	0.0118761	0.0148818	0.0118419	0.0157975	0.0285175	0.0343698	0.0346701	0.0409502	0.0795602	0.183975	0.496057
</S>	0.0657147	0.0405308	0.0293033	0.0509405	0.0420457	0.0453261	0.0662429	0.0669859	0.054719	0.0532213	0.0699214	0.123972	0.291077
