 	les	chasseurs	sont	revenus	bredouilles	parce	que	l'	un	d'	eux	portait	la	malchance	à	cause	de	sa	soeur	qui	était	enceinte	</S>
a13	0.0122173	0.0225531	0.0398776	0.0728439	0.120592	0.116218	0.0830353	0.0561614	0.0611387	0.0517314	0.0313038	0.0205005	0.0320827	0.0334186	0.0295408	0.0320809	0.0240672	0.0206149	0.0220182	0.0272256	0.0274794	0.0289854	0.0343132
a75	0.0111825	0.0161755	0.0246393	0.0447609	0.0701722	0.0748662	0.0767792	0.0840325	0.101478	0.0797579	0.0401715	0.0229795	0.0315339	0.0301438	0.0286649	0.0342231	0.0251141	0.0232252	0.0251569	0.0327377	0.0346655	0.0396516	0.0478884
a47	0.00439589	0.00707311	0.0113498	0.0220689	0.0400017	0.0513022	0.0410517	0.0292033	0.0365001	0.023542	0.0153167	0.0108932	0.0204612	0.0229708	0.0484207	0.0694349	0.0634756	0.0650219	0.0723898	0.0795162	0.0784433	0.0875934	0.0995734
a62	0.00483754	0.00795243	0.0111363	0.0213456	0.0360485	0.051179	0.0500659	0.0424324	0.053785	0.0360374	0.0285584	0.0196372	0.0312854	0.0326361	0.0615421	0.0832135	0.075857	0.0662258	0.0646097	0.0583615	0.0497842	0.0518432	0.0616258
a88	0.00583719	0.0101955	0.0164999	0.0313899	0.0524511	0.0691941	0.0595553	0.040333	0.0503792	0.0315544	0.0204149	0.0146316	0.0268044	0.0233674	0.0375477	0.0571044	0.0440527	0.0464538	0.0486998	0.0690865	0.0717954	0.0816916	0.0909601
a71	0.00506631	0.00908043	0.0157242	0.0305989	0.0459128	0.0660816	0.0679297	0.0589079	0.0758976	0.0461862	0.0296053	0.018367	0.0360768	0.0276775	0.0434982	0.0659065	0.0467383	0.0430469	0.0399881	0.0550718	0.0534218	0.0579639	0.0612522
a9	0.00616614	0.00850906	0.0130586	0.0264657	0.0306684	0.0507641	0.0755699	0.108939	0.148456	0.0938103	0.0560808	0.027929	0.0447648	0.0260821	0.0285036	0.0445147	0.0280145	0.0246655	0.0230499	0.0285223	0.0290829	0.0351182	0.0412651
a99	0.015067	0.0153917	0.0172495	0.0242054	0.0287295	0.0520114	0.0883721	0.120122	0.160054	0.107946	0.0586921	0.0335214	0.0342219	0.0267337	0.028425	0.0281663	0.0235637	0.0199692	0.0203774	0.020315	0.0196394	0.023715	0.0335111
a87	0.0208566	0.0142447	0.0143067	0.0173192	0.0231432	0.0481013	0.0786997	0.110774	0.134635	0.0915192	0.064465	0.0479364	0.0536943	0.0343624	0.0413256	0.0369513	0.0306049	0.0220887	0.020593	0.0216181	0.0188337	0.0206518	0.0332754
a23	0.0240251	0.0156409	0.0163202	0.0188778	0.029473	0.0637951	0.0861	0.101903	0.107329	0.0818859	0.0650624	0.061867	0.0538931	0.0426874	0.0451402	0.033845	0.0309695	0.0212146	0.0198649	0.0207289	0.0171916	0.0156883	0.026497
a97	0.00747935	0.00962655	0.0167092	0.0304988	0.042938	0.0588064	0.0522296	0.059242	0.0577418	0.0565079	0.0635206	0.0729869	0.0708044	0.0549035	0.0368507	0.0371789	0.0297511	0.0251309	0.026309	0.0379761	0.0367781	0.0383797	0.0776504
a87	0.00629375	0.00828558	0.0154793	0.0241557	0.0295213	0.0386123	0.0405102	0.0562909	0.0555299	0.0498038	0.0639656	0.0855027	0.0880091	0.0600119	0.0514046	0.0469342	0.0418942	0.0331293	0.0359303	0.0434498	0.037995	0.033719	0.0535716
a23	0.00988702	0.0103609	0.0186922	0.0263619	0.0340685	0.0490758	0.0480995	0.0641132	0.0610916	0.0618855	0.0840251	0.129746	0.113156	0.068086	0.0410887	0.0318959	0.0298918	0.0216086	0.0222208	0.0240948	0.0189407	0.0135484	0.0180606
a10	0.00548753	0.00707907	0.0154392	0.0236747	0.0293603	0.0406854	0.0300527	0.0345803	0.0286642	0.0296111	0.0505441	0.107939	0.0901813	0.0727685	0.0536806	0.0405211	0.039676	0.0359424	0.0410189	0.0538196	0.0551747	0.0524778	0.0616213
a50	0.00517101	0.00627934	0.0116761	0.0146962	0.0148584	0.0193144	0.0176788	0.0287181	0.027074	0.0244109	0.0410554	0.0884448	0.112009	0.068714	0.0666293	0.0488842	0.0463361	0.0429815	0.0506832	0.067946	0.0693929	0.0635853	0.063461
a96	0.00176201	0.00177218	0.00325968	0.00489334	0.00531075	0.00867972	0.0089913	0.0145918	0.0129336	0.011556	0.0233762	0.0593172	0.0771975	0.0579854	0.0901119	0.057021	0.0609078	0.0545661	0.0642961	0.0744166	0.089219	0.104879	0.112956
a56	0.00122396	0.00115957	0.00238142	0.00411039	0.00549286	0.00890271	0.00809732	0.00967576	0.00886826	0.00689931	0.0100801	0.0234257	0.030282	0.0358091	0.0723758	0.048296	0.0559839	0.05139	0.0666624	0.0904694	0.108971	0.143981	0.205462
a25	0.00219346	0.0019708	0.00357375	0.00626769	0.0104962	0.019286	0.0193233	0.0178397	0.0173277	0.0128755	0.0114399	0.0148063	0.0177096	0.017096	0.0432389	0.0330956	0.0370813	0.0398726	0.0541704	0.0807511	0.110985	0.16013	0.268469
a69	0.000489484	0.000714923	0.00153841	0.00354412	0.00526676	0.00798835	0.00593354	0.00516054	0.00563268	0.00429333	0.00554007	0.00796632	0.0116367	0.0129794	0.0407049	0.0344863	0.0369904	0.0400884	0.0544438	0.0726003	0.102022	0.172134	0.367845
a90	0.00116271	0.00144525	0.00227678	0.00400205	0.00617375	0.0101058	0.0129663	0.0148057	0.016001	0.0118049	0.0118078	0.0124231	0.0148032	0.0189365	0.0441981	0.039931	0.041689	0.0413678	0.0547638	0.0692521	0.0946966	0.155033	0.320354
a25	0.00110331	0.00133862	0.00193069	0.00327563	0.00591818	0.00948334	0.0115125	0.012336	0.0152865	0.0104921	0.010145	0.0090506	0.0112528	0.0150263	0.039392	0.0427661	0.0472565	0.0540415	0.0701295	0.0791144	0.097954	0.144819	0.306375
a79	0.000556607	0.000706954	0.00106391	0.00190784	0.003177	0.00485598	0.00485079	0.00550931	0.00704003	0.00468659	0.00538203	0.00614004	0.00805019	0.0110262	0.0313811	0.0398687	0.0443298	0.0538664	0.071292	0.0806021	0.0988704	0.150739	0.364097
a56	0.0015889	0.00163623	0.00202021	0.00307337	0.00546625	0.0076356	0.00845872	0.0103901	0.0127967	0.0091894	0.0107465	0.0108404	0.0134531	0.0161436	0.0385253	0.0454097	0.0504808	0.0594504	0.0730009	0.0805922	0.0986428	0.139621	0.300838
a75	0.00120616	0.00124836	0.0015293	0.00217714	0.003874	0.00722511	0.0103666	0.0115289	0.0143925	0.00943302	0.00835428	0.00815119	0.0111261	0.0119504	0.0326575	0.0404207	0.0482545	0.061421	0.0816429	0.0914638	0.118075	0.167876	0.255625
a98	0.000559579	0.00060647	0.000740238	0.00105571	0.00187605	0.00311658	0.0034122	0.00422885	0.00586638	0.00381233	0.00462119	0.00531932	0.00640462	0.0068387	0.0229112	0.0337433	0.0414689	0.0607798	0.0753214	0.0802899	0.109015	0.170377	0.357635
a79	0.000538362	0.000680439	0.000913481	0.00146942	0.00234062	0.00357893	0.00320078	0.00422934	0.00561684	0.00388019	0.00541703	0.00661461	0.00792483	0.0090014	0.0271859	0.0372218	0.0411849	0.0546076	0.0653472	0.0733396	0.0993347	0.156902	0.38947
a98	0.000500776	0.000582376	0.000760353	0.00117196	0.00197236	0.00329289	0.00360513	0.00465828	0.00644716	0.00418583	0.00501137	0.00563078	0.00705286	0.00739349	0.0231816	0.0335695	0.0387407	0.0558666	0.0683698	0.0780197	0.106982	0.167964	0.375041
a85	0.000681394	0.000793243	0.00101932	0.00149085	0.0020953	0.00288944	0.00234735	0.00330271	0.00461827	0.00284151	0.00381284	0.00475149	0.00691623	0.0072644	0.0221183	0.0316836	0.0350492	0.0491009	0.0610577	0.0730397	0.10427	0.172574	0.406283
a6	0.000405353	0.000478097	0.000617027	0.000858183	0.00123141	0.00176455	0.00158542	0.00216836	0.00298778	0.00180527	0.00247453	0.00337192	0.00474804	0.00463486	0.0153949	0.0234782	0.0275624	0.0432407	0.056661	0.0674477	0.102848	0.182765	0.451472
a75	0.000923093	0.00100001	0.00115369	0.00132395	0.00185419	0.00245751	0.00214047	0.00271315	0.0038117	0.00231992	0.0031746	0.00408359	0.0061122	0.00579423	0.0194053	0.0279904	0.034944	0.0498596	0.0657625	0.0718548	0.109348	0.189243	0.39273
a12	0.000665112	0.000671889	0.000774631	0.000875079	0.00120146	0.00171325	0.00179771	0.00254628	0.00335462	0.00210223	0.00288966	0.00359994	0.00473733	0.00429226	0.0128143	0.0191842	0.0261829	0.0447613	0.0639624	0.0675133	0.114077	0.210177	0.410106
a61	0.000600677	0.00073734	0.00103004	0.00137735	0.00184673	0.00279646	0.00277578	0.00328392	0.00418385	0.00239826	0.00254291	0.00313312	0.00528162	0.00437361	0.0139032	0.0228277	0.0304362	0.0504542	0.0766664	0.0814322	0.122497	0.201108	0.364313
a31	0.000839667	0.00108491	0.00155092	0.00223984	0.00271996	0.00445275	0.00468786	0.00545417	0.00702379	0.0041519	0.00422391	0.00470777	0.00861419	0.00731389	0.0191204	0.027803	0.0325511	0.0464748	0.0678645	0.0732064	0.103079	0.179864	0.390971
a18	0.00121112	0.00153067	0.00222832	0.00343715	0.00390725	0.00599198	0.00581037	0.00693265	0.00835269	0.00553379	0.00611354	0.0070318	0.0139161	0.0118504	0.0238457	0.030972	0.0325035	0.0421503	0.0586911	0.0612406	0.0908613	0.174189	0.401698
a38	0.00657644	0.00565333	0.00688184	0.00911572	0.00892646	0.0132425	0.0165298	0.0285893	0.0317158	0.0192512	0.0202057	0.0228211	0.0271016	0.0198337	0.0347842	0.0326898	0.032921	0.0392386	0.0499647	0.0512378	0.0862736	0.160746	0.2757
a75	0.0112643	0.00867923	0.0102852	0.0114423	0.0113361	0.0144264	0.0145007	0.0193913	0.0203664	0.0133522	0.0138176	0.0188899	0.020943	0.0162298	0.0237324	0.0228861	0.0241044	0.0309075	0.0408871	0.0485223	0.0843497	0.16704	0.352645
a5	0.00078797	0.000784955	0.00121439	0.00165268	0.00170109	0.00224127	0.00183208	0.00258192	0.00296723	0.00200702	0.00234955	0.00305537	0.00714673	0.00548312	0.0109805	0.0157845	0.0154786	0.022681	0.0363458	0.0491732	0.0889262	0.198429	0.526396
a37	0.00072706	0.000708158	0.000995891	0.00122564	0.00134957	0.00197889	0.00233478	0.00347706	0.00392156	0.0023364	0.00234174	0.00324595	0.0058243	0.00526828	0.0122793	0.0141143	0.0174115	0.0256066	0.0433995	0.0524399	0.0911287	0.201575	0.50631
a12	0.00126348	0.00126877	0.00180396	0.00251546	0.0025723	0.00346275	0.00317956	0.00546066	0.00658983	0.00386391	0.00414608	0.00462602	0.0087024	0.00634954	0.0126199	0.0174506	0.017612	0.0259455	0.0407099	0.0548346	0.0977569	0.201348	0.475918
a96	0.000914265	0.00106447	0.00151232	0.0023228	0.0025935	0.00419717	0.0051425	0.00720499	0.00878821	0.00561282	0.00498749	0.0056933	0.01027	0.00892864	0.0174851	0.0216028	0.0234149	0.0324361	0.0482653	0.0519452	0.0834618	0.182381	0.469775
a18	0.00100388	0.00113099	0.00167778	0.00255512	0.00258534	0.00404489	0.00432791	0.00725434	0.00944599	0.00522867	0.0049819	0.00603183	0.0117706	0.00931984	0.0192593	0.022796	0.0223353	0.0307606	0.0432188	0.0518389	0.0904393	0.194782	0.453211
a71	0.0150443	0.0126487	0.0150763	0.0154108	0.0155693	0.01912	0.0203678	0.0278102	0.0293022	0.0185597	0.0176822	0.0245464	0.021629	0.0183703	0.0304704	0.026401	0.0300054	0.0372189	0.0487651	0.0550226	0.0905459	0.152445	0.257989
a9	0.0240086	0.0193383	0.0206433	0.0188859	0.0204166	0.0251609	0.0264249	0.0279975	0.0278897	0.0196522	0.0208862	0.0326939	0.0233318	0.0189707	0.0300456	0.0262905	0.0326959	0.0437653	0.0550431	0.0586467	0.090094	0.132639	0.20448
a10	0.0266676	0.0157541	0.0194738	0.018633	0.020353	0.0342429	0.0371308	0.047338	0.043735	0.029512	0.0319787	0.0607942	0.0352527	0.0231516	0.0291292	0.0281042	0.0353924	0.0491821	0.0599628	0.0647486	0.0809369	0.0945226	0.114004
a87	0.0209995	0.00881158	0.0116277	0.0126895	0.0177122	0.04461	0.0495784	0.0718016	0.0660305	0.0369935	0.0385375	0.0702181	0.0517171	0.0308948	0.0368898	0.0371352	0.0411298	0.0470865	0.0541182	0.0553414	0.0564109	0.0583588	0.0813074
a23	0.022737	0.00903917	0.0113881	0.0118229	0.0177305	0.0403816	0.0430325	0.0596802	0.0525975	0.0340328	0.0384492	0.0804681	0.0673903	0.0402066	0.0427198	0.0366755	0.0385631	0.0406118	0.0494655	0.0526247	0.0542239	0.0586059	0.0975531
a99	0.0090689	0.00498763	0.00630729	0.00557447	0.00841032	0.0131507	0.00887584	0.0110223	0.00849927	0.00760297	0.0156192	0.0352691	0.0328696	0.0264782	0.0323737	0.0423025	0.0453616	0.0608711	0.0875736	0.107709	0.120988	0.132098	0.176987
a97	0.0115011	0.00824143	0.0106603	0.0109562	0.0130055	0.0135205	0.00942818	0.0124465	0.0104473	0.0121465	0.0280789	0.0640957	0.0608963	0.0429284	0.0417039	0.0486833	0.0467937	0.0515911	0.0672201	0.0860708	0.0945992	0.104396	0.150589
</S>	0.0141176	0.00877848	0.0132628	0.0161111	0.0213228	0.0275244	0.0222437	0.0260133	0.0234397	0.0195806	0.0274889	0.0497944	0.0619483	0.0362301	0.034834	0.0369696	0.0357419	0.038626	0.0536187	0.0603374	0.0696197	0.0948172	0.207579
