 	la	manière	dont	il	continue	cette	affaire	exprime	le	mépris	</S>
a56	0.00436598	0.00805357	0.0176624	0.0516325	0.101096	0.214302	0.188651	0.155321	0.112078	0.0650721	0.0817662
a44	0.00360915	0.00587707	0.0126653	0.0438842	0.0880118	0.208336	0.183418	0.148883	0.125601	0.0744135	0.105301
a31	0.00319619	0.00473054	0.0107702	0.0382254	0.0738092	0.189571	0.168923	0.142578	0.142638	0.0902895	0.135268
a50	0.00273147	0.0037937	0.00918917	0.0310686	0.0573585	0.145811	0.132842	0.131266	0.15528	0.132998	0.197661
a83	0.00143623	0.00226363	0.00545415	0.0142296	0.0274158	0.0947885	0.1028	0.12069	0.182511	0.183724	0.264687
a9	0.00149693	0.00210726	0.0046849	0.0134235	0.0265709	0.0854362	0.0935739	0.104996	0.190378	0.192744	0.284589
a99	0.0027511	0.00345029	0.00500735	0.0119991	0.0310508	0.112166	0.110799	0.10765	0.144041	0.195046	0.27604
a87	0.00522907	0.00526623	0.00606922	0.0109134	0.0264343	0.0939885	0.0944582	0.0953714	0.149707	0.203794	0.308769
a23	0.0715129	0.0360384	0.0171292	0.0227168	0.0337563	0.0897295	0.107952	0.109999	0.15587	0.17413	0.181166
a50	0.0116071	0.00931049	0.00507588	0.00565032	0.0106933	0.0436336	0.0525793	0.0955512	0.200424	0.204934	0.360541
a62	0.00106828	0.00116785	0.000815449	0.00196579	0.0068213	0.038958	0.0428664	0.0742432	0.203451	0.20269	0.425953
a12	0.00122039	0.00171769	0.00191042	0.00363363	0.010505	0.0386985	0.0403593	0.0701963	0.165516	0.223988	0.442255
a31	0.00138779	0.00194822	0.00231334	0.00470231	0.0117301	0.0478738	0.0533459	0.0910127	0.177681	0.231126	0.376878
a0	0.0014171	0.00200651	0.00248135	0.00519692	0.013703	0.0517379	0.0566285	0.0950342	0.167151	0.238312	0.366331
a47	0.00109232	0.00173918	0.00227033	0.00493618	0.0120029	0.0522691	0.0637063	0.0954503	0.177957	0.225034	0.363543
a21	0.000890596	0.00137852	0.00167284	0.00330821	0.00893493	0.0481523	0.0622999	0.0893405	0.178511	0.212884	0.392626
a12	0.000192683	0.000188087	0.000290125	0.000875481	0.00353406	0.0221727	0.0244141	0.0426035	0.127115	0.224051	0.554563
a96	0.000299211	0.00026414	0.000324869	0.00107003	0.00407166	0.0204938	0.020898	0.0396024	0.117628	0.250816	0.544532
a21	0.000152586	0.000185321	0.000300717	0.000882579	0.00335696	0.0202234	0.0214649	0.0355444	0.110036	0.206121	0.601732
a12	0.000226019	0.000186371	0.000223492	0.000882346	0.00356231	0.017107	0.0159191	0.0270628	0.0831021	0.246366	0.605362
a43	0.000298635	0.000272744	0.000340269	0.00129838	0.00493838	0.0210373	0.019365	0.032532	0.0950244	0.233948	0.590945
a0	0.000181158	0.000242413	0.000361441	0.00118758	0.00391917	0.0220534	0.0213444	0.0319891	0.093292	0.197655	0.627775
a9	0.000208404	0.000327849	0.000507465	0.00129326	0.00374286	0.0203087	0.0197209	0.0270947	0.0855586	0.193347	0.64789
a10	0.00526654	0.00434529	0.00351253	0.00662276	0.0117152	0.03385	0.0286553	0.0380139	0.106852	0.225502	0.535664
a87	0.0147489	0.00861473	0.00553162	0.0109775	0.0153085	0.0386531	0.0347865	0.0474073	0.118875	0.2317	0.473396
a23	0.0567546	0.0270737	0.00912205	0.0158754	0.0189542	0.0652475	0.0773406	0.0951596	0.160812	0.195027	0.278634
a87	0.02502	0.0186949	0.00497834	0.00953932	0.012836	0.0598218	0.0613667	0.0787325	0.134144	0.185458	0.409409
</S>	0.00473946	0.00352694	0.0014182	0.0044583	0.0121939	0.0631257	0.0446114	0.0514547	0.0850406	0.146266	0.583164
