 	après	la	pluie	le	chemin	n'	était	qu'	une	mare	de	boue	</S>
a62	0.000927994	0.000691243	0.0011769	0.00166833	0.00368527	0.00564183	0.0100056	0.017494	0.0296144	0.0519967	0.106857	0.269229	0.501012
a83	0.00106849	0.000857962	0.00127823	0.0016663	0.00348165	0.00539037	0.00922215	0.0160486	0.0269731	0.0496519	0.113652	0.285885	0.484825
a75	0.00136977	0.00110107	0.00171297	0.00218822	0.00399554	0.00564461	0.00892702	0.0148258	0.0232091	0.0376761	0.0866343	0.266656	0.54606
a92	0.00158204	0.00132377	0.00217113	0.00299219	0.00663059	0.00953067	0.013972	0.0201352	0.0266045	0.0394337	0.0919422	0.263064	0.520618
a56	0.000713537	0.000620491	0.00108948	0.00162209	0.00410802	0.00616144	0.00965439	0.01471	0.021139	0.0357289	0.0901431	0.263818	0.550491
a96	0.000721248	0.000578629	0.00103546	0.00148965	0.00361037	0.00573955	0.0105501	0.0180931	0.0291409	0.0506477	0.111425	0.277343	0.489626
a83	0.00089089	0.000684778	0.00106253	0.00136327	0.00260678	0.00376761	0.0068725	0.0123752	0.0206983	0.0377864	0.108641	0.300381	0.50287
a62	0.0014013	0.00112597	0.00158042	0.00186107	0.00299144	0.00400413	0.00670367	0.0113858	0.0191181	0.0350303	0.108058	0.306457	0.500283
a83	0.00304475	0.00243015	0.00309367	0.00339846	0.00515138	0.00636289	0.00875651	0.0133135	0.0205975	0.0358532	0.114556	0.31635	0.467093
a36	0.00331436	0.00249868	0.00323475	0.0036191	0.00541245	0.00682073	0.0093431	0.013875	0.0206864	0.0348184	0.113771	0.309799	0.472807
a27	0.00633767	0.00465052	0.00595022	0.00740246	0.0130269	0.0148563	0.0165571	0.0214073	0.0312264	0.060237	0.158182	0.265066	0.3951
a10	0.0341634	0.0236395	0.0239446	0.023355	0.0320081	0.0347673	0.0363963	0.0426032	0.0611048	0.101151	0.163794	0.18489	0.238183
a87	0.0667325	0.0490196	0.0477921	0.0490361	0.0600131	0.0629986	0.0647919	0.0700495	0.0799825	0.0914728	0.105271	0.117236	0.135604
a10	0.0862887	0.0689189	0.0757499	0.0790844	0.0873972	0.0886843	0.0883831	0.085482	0.0842118	0.0751121	0.068294	0.0593983	0.0529952
a87	0.0551332	0.0403667	0.0436787	0.0521164	0.073247	0.0777841	0.0853491	0.0902748	0.0977331	0.0990488	0.104349	0.0996784	0.0812408
</S>	0.0422175	0.0339556	0.0424233	0.0578915	0.0835523	0.0872071	0.0915352	0.0869044	0.0892595	0.0945645	0.097797	0.0988847	0.0938074
