 	je	voudrais	le	voir	pour	discuter	avec	lui	de	cette	affaire	</S>
a90	0.00689844	0.00996111	0.0144006	0.0200385	0.0175437	0.0226748	0.0356495	0.0469323	0.0786624	0.141039	0.27705	0.329149
a38	0.0075407	0.00981844	0.012821	0.0183914	0.0153161	0.019408	0.0317151	0.0446825	0.0782595	0.13857	0.276607	0.34687
a0	0.00753595	0.00821994	0.0109233	0.0181761	0.0158814	0.0209153	0.0389062	0.0540282	0.0854298	0.135443	0.26184	0.342701
a24	0.0113742	0.0108124	0.012731	0.0207413	0.0220875	0.0295447	0.0517607	0.0642585	0.0915563	0.126102	0.230305	0.328726
a9	0.0151799	0.0129914	0.0139222	0.0221027	0.0248504	0.0332025	0.055483	0.0676167	0.0963729	0.125801	0.218463	0.314014
a87	0.0161171	0.0157177	0.0158948	0.0245254	0.0322474	0.0431192	0.0629511	0.0714296	0.0982375	0.129225	0.208237	0.282298
a85	0.0166886	0.0160719	0.0131268	0.0146018	0.0170527	0.0271344	0.0449577	0.0616742	0.108128	0.147722	0.237014	0.295828
a66	0.0257947	0.0251069	0.0231536	0.0228385	0.0248076	0.03572	0.0600688	0.087555	0.140052	0.162036	0.195245	0.197622
a87	0.0175173	0.0168779	0.0138941	0.0131014	0.0160796	0.0322829	0.0736568	0.104112	0.149522	0.156861	0.189947	0.216147
a23	0.0345772	0.0380609	0.0278076	0.0219262	0.0255286	0.0523419	0.0938994	0.103908	0.127227	0.121344	0.153868	0.199511
a87	0.0303844	0.0467114	0.0461965	0.0328906	0.0412119	0.0714933	0.0964389	0.0977838	0.111168	0.106632	0.135288	0.183801
a23	0.0317471	0.0411427	0.0354865	0.0244506	0.0254218	0.0473756	0.0723566	0.0840738	0.106438	0.115025	0.168815	0.247668
</S>	0.0367853	0.053287	0.0532629	0.0503407	0.0630665	0.0977274	0.107929	0.0985889	0.0986127	0.0862662	0.105955	0.148178
