 	il	ne	faut	pas	enflammer	la	savane	de	peur	que	le	hangar	du	récolteur	du	vin	de	palme	prenne	feu	</S>
a90	0.0165429	0.0109106	0.0139331	0.0319652	0.0325009	0.0665825	0.0875245	0.103466	0.0948642	0.0922483	0.0743833	0.0680349	0.0525271	0.0417643	0.0284837	0.022405	0.0216912	0.0162374	0.019833	0.0427904	0.0613112
a15	0.0161378	0.0112598	0.0144213	0.0327708	0.0324886	0.0567103	0.075387	0.0896053	0.0835704	0.0848366	0.0718885	0.0670226	0.0569196	0.0476978	0.0389603	0.0367669	0.0357687	0.0256511	0.0240656	0.0416692	0.0564018
a25	0.00691304	0.00525546	0.00681908	0.0155788	0.0208801	0.0445824	0.0604646	0.0821038	0.0847716	0.0824899	0.0791214	0.0739814	0.0642685	0.0597044	0.046475	0.0385156	0.0396662	0.0318829	0.0307887	0.0524853	0.0732518
a56	0.00549552	0.00380113	0.00499955	0.0138951	0.0214581	0.0570341	0.0759316	0.0994341	0.0990555	0.0855679	0.0859478	0.0738392	0.0606098	0.0572762	0.0414866	0.0319322	0.0344521	0.0276359	0.0270742	0.0382887	0.0547848
a25	0.00440394	0.00291819	0.00384044	0.0102316	0.0142175	0.0414142	0.0652193	0.0909986	0.0921179	0.0920228	0.0901472	0.0817831	0.0658061	0.0560709	0.0420174	0.0333772	0.030766	0.0250588	0.0307151	0.0518826	0.0749912
a56	0.00197661	0.00129775	0.00164568	0.0044634	0.00723989	0.0242673	0.039136	0.0642263	0.0725043	0.0708471	0.0784181	0.0694866	0.0573629	0.0571186	0.0457709	0.0359196	0.0404297	0.03936	0.0519543	0.0911828	0.145392
a44	0.00167915	0.00109569	0.00140832	0.00326264	0.00545606	0.0157472	0.0285362	0.0545073	0.0660165	0.0683873	0.0834169	0.0774003	0.0639015	0.06386	0.0492766	0.0352971	0.0372328	0.0383797	0.055565	0.0963894	0.153184
a90	0.00209768	0.0012036	0.00144822	0.00309086	0.00463607	0.0133203	0.0233332	0.043793	0.0567858	0.0633925	0.0845174	0.0871772	0.0710617	0.0691433	0.058995	0.0425092	0.0433839	0.0430252	0.0604545	0.0885141	0.138117
a69	0.00150719	0.00098608	0.00132592	0.00248449	0.00354911	0.00981985	0.0186963	0.0360828	0.0490182	0.0456757	0.0676438	0.0671392	0.0589399	0.0701202	0.064287	0.046724	0.0505099	0.0551776	0.0759578	0.10275	0.171605
a34	0.00132041	0.000766527	0.000929348	0.00182178	0.00304112	0.00836745	0.0151377	0.0297784	0.039687	0.0396968	0.059848	0.0613563	0.0514794	0.0594649	0.0537264	0.0387541	0.0505603	0.0613647	0.0901095	0.120932	0.211857
a12	0.00157589	0.0008803	0.00102728	0.00181819	0.00312867	0.0070408	0.0117377	0.0225499	0.0318654	0.0345722	0.0541159	0.0552123	0.0472189	0.056108	0.0494156	0.0334209	0.0436711	0.0576182	0.0955318	0.134963	0.256528
a96	0.00168693	0.000975946	0.0011047	0.00175905	0.00302238	0.00456631	0.00660777	0.0120847	0.017043	0.0204966	0.0318886	0.0312247	0.0296677	0.0433061	0.0452621	0.0414488	0.0747075	0.101741	0.129751	0.164111	0.237544
a21	0.000961187	0.000597051	0.000742262	0.00147342	0.00279775	0.00480397	0.00737335	0.0129488	0.016036	0.01886	0.0255002	0.0247501	0.0237986	0.0337276	0.0343197	0.0287526	0.0549177	0.0821965	0.13172	0.182384	0.311339
a5	0.000853645	0.000537139	0.000629163	0.00105403	0.0019664	0.0026346	0.00359208	0.00593539	0.00796447	0.00952339	0.0139896	0.0138942	0.014205	0.0233676	0.0250011	0.0231964	0.0491545	0.0854658	0.147895	0.229677	0.339463
a18	0.000649969	0.000380304	0.000437086	0.000819384	0.0014545	0.00249124	0.00374014	0.00624823	0.00750725	0.00899519	0.0113906	0.0107281	0.0101136	0.0146012	0.0154506	0.0135039	0.0309008	0.0619639	0.133107	0.228698	0.436819
a62	0.000548857	0.000298264	0.00032564	0.000686287	0.00127181	0.00244356	0.00358671	0.00586456	0.00760039	0.00791329	0.00968786	0.0109013	0.0101941	0.0141902	0.0153671	0.0087567	0.0145961	0.0343974	0.13538	0.241395	0.474596
a34	0.000810828	0.00052964	0.000534178	0.000801549	0.00123338	0.00200552	0.00272255	0.00397954	0.00467713	0.00525535	0.006482	0.00626092	0.00620208	0.00932745	0.0115662	0.00955869	0.0234791	0.0512814	0.141345	0.236858	0.475089
a75	0.000427385	0.000269046	0.00028648	0.000492665	0.00079929	0.00133822	0.00179623	0.00264758	0.00313048	0.00357442	0.00426226	0.003999	0.00392989	0.00571976	0.00770302	0.00654669	0.0169636	0.0430179	0.135537	0.245654	0.511905
a79	0.000168738	0.000101631	0.000102471	0.000172043	0.0003064	0.000643348	0.000873603	0.00141832	0.00169347	0.00174761	0.00219644	0.00201333	0.00177772	0.00261739	0.00304014	0.00279601	0.0100347	0.0340222	0.117803	0.249954	0.566517
a92	0.000286282	0.000154851	0.000147699	0.000250793	0.000376248	0.000677538	0.000966477	0.00156475	0.00188504	0.00208163	0.00249982	0.00231909	0.00205265	0.00299454	0.0031547	0.00222003	0.00585258	0.019506	0.107247	0.257803	0.58596
a47	0.000228321	0.000115874	0.00010744	0.00017133	0.000262982	0.000536465	0.000739228	0.00123642	0.00153538	0.00160263	0.00224729	0.00230546	0.00201054	0.00309953	0.00350623	0.00294619	0.00879432	0.0284334	0.11316	0.255188	0.571773
a96	0.000230525	0.000130761	0.000128597	0.000197309	0.000240981	0.000426218	0.00056557	0.000971429	0.00116627	0.00134549	0.00193516	0.00196309	0.00194751	0.00306128	0.00341827	0.00296988	0.00970496	0.0267989	0.083023	0.236747	0.623028
a18	0.000616685	0.000360455	0.000349572	0.000503775	0.000527567	0.000850665	0.00118297	0.00187862	0.0022316	0.00258862	0.00319151	0.00331797	0.00329167	0.0048944	0.00622804	0.00535437	0.0121349	0.031812	0.136916	0.272107	0.509662
a93	0.00438006	0.00242608	0.00237478	0.00470649	0.00562049	0.00602886	0.00738597	0.0106117	0.0135938	0.01679	0.0190059	0.019862	0.019941	0.0256196	0.0310002	0.0265642	0.0304044	0.0634015	0.161721	0.200287	0.328274
a4	0.000327345	0.000152416	0.000129957	0.000237564	0.000345315	0.00070274	0.00084258	0.00129453	0.00175258	0.00207704	0.00272629	0.00301393	0.00292633	0.00424863	0.00596751	0.00375084	0.00719324	0.0199648	0.146828	0.26179	0.533728
a70	0.000251868	0.000122506	0.000116853	0.000228563	0.000265838	0.000490414	0.00057519	0.000918445	0.00132889	0.00178003	0.00245731	0.00265697	0.00286894	0.00454342	0.0063926	0.00420455	0.008582	0.024523	0.164876	0.280536	0.492281
a83	0.000257165	0.000141361	0.000139574	0.000260969	0.000232325	0.000457455	0.000592946	0.00105308	0.00147866	0.00203482	0.00256612	0.00277239	0.00296028	0.00388102	0.00509652	0.00381274	0.00724344	0.0217057	0.171985	0.289949	0.48138
a96	0.000408425	0.000215485	0.000200844	0.000416333	0.000401392	0.000774502	0.00106211	0.00209172	0.00289362	0.00362766	0.00447985	0.00481224	0.00460897	0.00575593	0.00692686	0.00509928	0.00822001	0.0255205	0.158623	0.264669	0.499193
a12	0.000240799	0.000140032	0.000140633	0.000292806	0.000282576	0.000544206	0.000713569	0.00128025	0.00174348	0.00215363	0.00262387	0.00281304	0.00270922	0.00334359	0.00437267	0.00356049	0.00639719	0.0200832	0.152497	0.259626	0.534442
a36	0.000248401	0.000134898	0.000135358	0.000284097	0.00027054	0.000554724	0.00076791	0.00138223	0.00182714	0.00221702	0.00264099	0.00272823	0.00245663	0.00317955	0.00417271	0.00340701	0.0064796	0.0200534	0.158297	0.25694	0.531822
a27	0.00150748	0.000860396	0.000774904	0.00146021	0.00158859	0.00214066	0.00279565	0.00507895	0.00685385	0.00758073	0.00885762	0.00921734	0.00784421	0.0102883	0.0129582	0.011093	0.0135734	0.0363225	0.171751	0.239592	0.447861
a82	0.0444669	0.0286212	0.0249569	0.0310392	0.0285382	0.0267966	0.0242715	0.0268335	0.033671	0.0368118	0.0380806	0.034627	0.0221962	0.0256375	0.0307007	0.0297837	0.0325572	0.0501626	0.101552	0.13638	0.192316
a87	0.0803256	0.047456	0.0357218	0.0405928	0.0266297	0.0199874	0.016235	0.0185644	0.0237948	0.0327277	0.039439	0.0539353	0.0432289	0.0538367	0.0596571	0.0500367	0.0457025	0.048388	0.061673	0.0813914	0.120676
a23	0.0468661	0.0260995	0.0144733	0.0148996	0.00995624	0.00913724	0.00845985	0.0137249	0.0224639	0.0384166	0.0547012	0.0861533	0.0779854	0.115679	0.120578	0.0810318	0.0709762	0.0484527	0.0379808	0.0429368	0.0590273
a87	0.0176924	0.00621258	0.00322023	0.00300811	0.00136559	0.00126789	0.00100903	0.00181158	0.00314802	0.0064079	0.0108054	0.0167103	0.0135088	0.0150377	0.0152372	0.0120244	0.0172621	0.0277114	0.0619228	0.243295	0.521342
</S>	0.010027	0.00435537	0.00220107	0.00206195	0.00149923	0.0020468	0.00215376	0.00429766	0.00672817	0.0118142	0.016744	0.0239813	0.0182831	0.0180784	0.0155034	0.0118985	0.0138747	0.0168995	0.0432359	0.200994	0.573322
