 	mon	oncle	m'	a	reproché	de	ne	pas	l'	avoir	invité	au	mariage	de	ma	fille	</S>
a44	0.00764885	0.0174087	0.03366	0.0764393	0.0953614	0.0636506	0.0706109	0.0677121	0.0607443	0.0649286	0.0563756	0.0704099	0.0611059	0.0543613	0.0487335	0.0591738	0.0916753
a21	0.00570999	0.0138232	0.0241457	0.0674254	0.0723734	0.0672752	0.073835	0.0732052	0.0698986	0.0749104	0.0648185	0.0748335	0.0550628	0.0527887	0.0499454	0.0633698	0.0965794
a12	0.00534857	0.011939	0.0221335	0.0788638	0.0968067	0.0814954	0.0804597	0.0839428	0.0673263	0.0721896	0.0551949	0.066429	0.0504097	0.042529	0.0408216	0.0551254	0.0889849
a43	0.00463882	0.00953881	0.0151561	0.0512212	0.0608465	0.0633322	0.0697599	0.0882897	0.0727683	0.0858776	0.0633694	0.0827182	0.0673374	0.0549794	0.0483725	0.0603621	0.101432
a24	0.00363824	0.00870345	0.014022	0.0424092	0.0527025	0.0713332	0.079653	0.106558	0.100521	0.1086	0.0765659	0.0887599	0.0590306	0.0410093	0.0322771	0.0421736	0.0720432
a88	0.00437952	0.00920806	0.0146182	0.0399553	0.0619597	0.0695402	0.0757786	0.115531	0.104021	0.104488	0.065627	0.0880057	0.0658124	0.0408423	0.0299054	0.0418351	0.0684915
a83	0.00485145	0.00982683	0.015343	0.0377317	0.0590878	0.0714902	0.0767331	0.121397	0.116786	0.118151	0.0759399	0.0954696	0.0668683	0.0337218	0.0224359	0.0288881	0.0452786
a9	0.00323467	0.0073893	0.0122429	0.0336296	0.0530889	0.0572344	0.0615487	0.10511	0.105932	0.123044	0.0800073	0.0993178	0.0694165	0.0419382	0.0326812	0.0417938	0.07239
a99	0.00548008	0.00835656	0.0130622	0.0269034	0.0495512	0.0506866	0.056234	0.0927826	0.112304	0.115119	0.0748977	0.10196	0.0744145	0.043602	0.0310687	0.0532679	0.0903094
a10	0.0132512	0.0122077	0.0173168	0.0281165	0.047081	0.0443003	0.0484411	0.0786713	0.105607	0.108469	0.0723969	0.0971277	0.0776427	0.0510922	0.0368291	0.0616968	0.0997528
a24	0.0223164	0.0153808	0.0209665	0.0296609	0.0409554	0.0427066	0.0501549	0.0771459	0.0967784	0.0956392	0.0702081	0.0918665	0.07411	0.0492466	0.0381848	0.0700339	0.114645
a61	0.00854647	0.00782308	0.00940575	0.0145168	0.0217532	0.0285173	0.033201	0.0653848	0.0840917	0.0961483	0.0737824	0.0898961	0.0750331	0.051711	0.0500965	0.0846394	0.205453
a5	0.00249069	0.00373201	0.005158	0.0143689	0.0222979	0.0291186	0.0312371	0.06074	0.0672478	0.0866166	0.0713397	0.0838871	0.0682415	0.0574293	0.0719444	0.101507	0.222644
a96	0.00179485	0.00278658	0.00419154	0.0111302	0.0142177	0.016939	0.0199163	0.0408773	0.0484693	0.0642112	0.0523658	0.0686488	0.0626466	0.0730281	0.0964314	0.14146	0.280886
a18	0.00142018	0.00259812	0.00401312	0.00912118	0.014825	0.0169766	0.0191632	0.0411496	0.0545928	0.081722	0.0657988	0.0851762	0.0767035	0.0829829	0.0970604	0.127826	0.218871
a62	0.0015317	0.0029259	0.00436401	0.0104093	0.0203002	0.0213725	0.0228372	0.0466534	0.0551292	0.0883783	0.0675587	0.0961857	0.0901164	0.0864064	0.0884754	0.115553	0.181802
a47	0.00198034	0.00320511	0.00496037	0.00997654	0.0170324	0.0188253	0.02093	0.0464782	0.0628737	0.0963573	0.0777576	0.0948507	0.080814	0.0830699	0.0908351	0.114205	0.175849
a88	0.0016393	0.00303857	0.00475999	0.0111172	0.0229097	0.0256638	0.0277848	0.0559078	0.0662929	0.105584	0.0833864	0.103237	0.0843225	0.0805738	0.083672	0.102824	0.137287
a61	0.00104777	0.00164576	0.00246272	0.00541506	0.0100144	0.0114741	0.0127235	0.0280843	0.0371116	0.0629173	0.0533367	0.0759401	0.0716043	0.0948133	0.117681	0.175954	0.237774
a96	0.000494325	0.000825952	0.00134044	0.00353975	0.00611166	0.00819278	0.00950532	0.0235445	0.0314679	0.0548248	0.0453487	0.0663209	0.0657219	0.0926841	0.123205	0.18893	0.277941
a93	0.000585727	0.000969033	0.00150187	0.003458	0.00648357	0.00781275	0.00863981	0.018755	0.0259271	0.0463641	0.0406378	0.0618151	0.0638663	0.0949899	0.12768	0.20444	0.286074
a13	0.000400435	0.000723622	0.00119735	0.00330611	0.00473437	0.00686991	0.00786977	0.0183075	0.023046	0.0387004	0.03754	0.0512835	0.0528535	0.0820803	0.123932	0.204909	0.342246
a62	0.000498461	0.000747232	0.0011419	0.00284559	0.00482278	0.0064342	0.00725025	0.015996	0.0229423	0.0333109	0.0294174	0.045365	0.0526237	0.0834774	0.116508	0.236246	0.340373
a21	0.000733428	0.00111453	0.00153115	0.00353605	0.00588227	0.0075383	0.00799729	0.0159622	0.0244724	0.0360433	0.0315394	0.045049	0.0516014	0.0898422	0.133499	0.243656	0.300002
a92	0.000196781	0.000277361	0.000442131	0.00119797	0.00179136	0.00278649	0.00314386	0.00807621	0.0102928	0.017615	0.0150718	0.0263115	0.0383189	0.0717391	0.12427	0.256651	0.421818
a96	0.00018293	0.000284211	0.000441388	0.00109942	0.00165959	0.00244532	0.00265517	0.00657666	0.00871891	0.0152609	0.0138864	0.0244681	0.0362922	0.0720302	0.124948	0.254269	0.434781
a62	0.000177897	0.00030236	0.00042222	0.000978846	0.00175154	0.00245938	0.00261624	0.00551078	0.00860579	0.0153537	0.0156406	0.0244813	0.0259721	0.0534104	0.0955246	0.255876	0.490916
a88	0.000350568	0.000487903	0.000690266	0.00158828	0.00291389	0.003871	0.00401177	0.00810228	0.0126585	0.0218157	0.0219134	0.0314965	0.0328532	0.0633222	0.103182	0.249082	0.441661
a71	0.000274164	0.000433595	0.000575736	0.00131402	0.00212819	0.00298888	0.00319887	0.00652793	0.0107883	0.018502	0.0186602	0.0279985	0.0272728	0.0558614	0.0892429	0.246959	0.487273
a38	0.00166489	0.00212573	0.00246494	0.00377038	0.00459177	0.00541989	0.00603984	0.011503	0.0240743	0.0333307	0.0276634	0.0382869	0.0409093	0.0828612	0.117179	0.251011	0.347104
a90	0.0023471	0.00203473	0.00229095	0.00341853	0.00376441	0.00456991	0.00484184	0.00813386	0.0173286	0.0242944	0.0214121	0.0303275	0.0362082	0.0856511	0.125133	0.269203	0.359041
a15	6.59833e-05	8.08172e-05	9.30376e-05	0.000254231	0.00026294	0.000540106	0.00062816	0.00153441	0.00347868	0.00639983	0.00686955	0.011298	0.0161729	0.0455376	0.0930691	0.28012	0.533595
a79	0.000126084	0.000138831	0.00015934	0.000385919	0.000493522	0.00076118	0.000814219	0.00153862	0.00308024	0.00541487	0.00561091	0.00992531	0.0135929	0.0424624	0.0812003	0.265437	0.568858
a44	0.00010652	0.000117012	0.000115208	0.000272056	0.000214739	0.000447224	0.000588274	0.00150999	0.003018	0.00541429	0.0055733	0.0093628	0.0144433	0.0356841	0.0704661	0.237626	0.615041
a54	0.00021797	0.000243066	0.000257231	0.000556929	0.000631182	0.00106292	0.00118543	0.00246398	0.00528102	0.00856886	0.00844455	0.0133845	0.0150599	0.0428255	0.0804071	0.257043	0.562367
a47	9.0373e-05	9.70955e-05	0.000101616	0.000253064	0.00029431	0.00046374	0.000547986	0.00104724	0.00172316	0.0035448	0.0041333	0.00775333	0.0108409	0.0304136	0.0644172	0.239758	0.63452
a6	8.26323e-05	9.68361e-05	0.0001107	0.000245065	0.000319745	0.000395946	0.00047123	0.00108163	0.00184617	0.0039754	0.00397157	0.00772311	0.0099714	0.0299565	0.0639914	0.230863	0.644898
a36	0.00011587	0.000141037	0.000153717	0.000325868	0.000350426	0.000467714	0.00055799	0.00127352	0.00203383	0.00389891	0.00406045	0.0077037	0.0104226	0.0317899	0.0699615	0.245982	0.620761
a54	0.000197133	0.000214034	0.000217043	0.000446142	0.000457829	0.00065992	0.000747499	0.00130425	0.00241326	0.00442047	0.00476544	0.00748546	0.00845774	0.0290296	0.0656771	0.243572	0.629935
a7	0.000166048	0.000173508	0.000157936	0.000338831	0.00034961	0.000516147	0.000604212	0.00104231	0.00159504	0.00318863	0.00390027	0.00702631	0.0100771	0.0317321	0.0746669	0.264707	0.599758
a27	0.000598417	0.00068495	0.000739492	0.00113819	0.00106974	0.00183391	0.00201001	0.00313734	0.00590198	0.00930494	0.00938424	0.0131986	0.0150301	0.0444969	0.0895652	0.271875	0.530031
a36	0.00860129	0.00657469	0.00726484	0.00748633	0.00987139	0.0122979	0.0128175	0.0177923	0.0321005	0.0390151	0.0363154	0.040622	0.0484252	0.108401	0.129213	0.209957	0.273244
a2	0.0137692	0.00851559	0.00817836	0.00810243	0.00886348	0.0117011	0.0123976	0.0158924	0.0233812	0.0294396	0.0310892	0.0345164	0.0418397	0.0894992	0.119346	0.220183	0.323286
a57	0.0238685	0.013545	0.0119677	0.00977224	0.00754835	0.0119653	0.0133291	0.019818	0.0335864	0.0401873	0.0393431	0.0428708	0.0555677	0.108695	0.130267	0.194502	0.243166
a10	0.0633361	0.0240215	0.0181565	0.0144169	0.00694229	0.0150089	0.0197723	0.0364605	0.0543684	0.0598622	0.0473266	0.0559216	0.0680996	0.089029	0.101214	0.143749	0.182315
a87	0.0558229	0.0236688	0.0194004	0.0195513	0.00722192	0.0185313	0.0257153	0.0506747	0.0748677	0.0764882	0.0652056	0.0713086	0.0742758	0.0791089	0.0881816	0.119093	0.130884
</S>	0.0349917	0.0190476	0.0159676	0.0203518	0.00811601	0.0255977	0.0341637	0.0651379	0.092093	0.0900809	0.085785	0.0846282	0.0796004	0.0751474	0.0776898	0.0937689	0.0978322
