 	de	la	manière	qu'	elle	fait	goûter	ses	plats	aux	gens	ils	ne	coûtent	pas	cher	</S>
a23	0.0684465	0.0395555	0.0200388	0.0240482	0.025979	0.0262121	0.0310274	0.0245002	0.0206345	0.026367	0.039442	0.09837	0.113061	0.133476	0.0940352	0.113537	0.101269
a83	0.0163015	0.00946466	0.00789468	0.0103238	0.0116118	0.0152201	0.0265832	0.0321048	0.0276614	0.0377435	0.044689	0.116598	0.0930915	0.104244	0.121419	0.163162	0.161887
a9	0.00229407	0.00164514	0.00118476	0.00268371	0.00372391	0.00388049	0.00775092	0.0116681	0.0121579	0.0110768	0.0138103	0.0589579	0.0622102	0.115892	0.166269	0.209843	0.314952
a83	0.000636152	0.000515893	0.000521037	0.0011463	0.00169451	0.00200922	0.00386678	0.00619715	0.00855909	0.00756498	0.00921007	0.0307148	0.0313531	0.0644886	0.147351	0.254007	0.430164
a9	0.000431226	0.000352731	0.000443539	0.000878943	0.00169743	0.00214998	0.00416387	0.00859155	0.0110862	0.0107167	0.0165345	0.0408625	0.0434144	0.0716655	0.13584	0.248236	0.402935
a38	0.00146733	0.00126632	0.00181643	0.00352053	0.00490771	0.00613158	0.0090828	0.0112748	0.0142627	0.012779	0.0181544	0.0465851	0.050462	0.0707451	0.145986	0.219677	0.381881
a5	0.00113502	0.000949945	0.00142437	0.00247383	0.00304278	0.00394025	0.00579526	0.00731613	0.0103017	0.00893459	0.012691	0.0344294	0.0395351	0.0642797	0.144107	0.225898	0.433746
a18	0.000337949	0.000246943	0.000276268	0.00058613	0.00114128	0.00161672	0.00311922	0.00580436	0.00707326	0.00659733	0.0119912	0.0417807	0.0495025	0.0809985	0.147525	0.231471	0.409931
a36	0.000785565	0.000703387	0.00110544	0.00220492	0.00317848	0.00447092	0.00612589	0.00678137	0.00624299	0.00611285	0.00805166	0.0305786	0.0384965	0.0663022	0.158722	0.230528	0.429609
a26	0.000718251	0.000678239	0.00106847	0.00238363	0.00318813	0.00436137	0.00558647	0.00698981	0.00938644	0.00707799	0.00668906	0.0166662	0.020169	0.0436959	0.128064	0.213349	0.529929
a57	0.00696854	0.00601631	0.00672136	0.0116365	0.0143902	0.0169688	0.0195757	0.0177772	0.0147077	0.0132251	0.0132129	0.0418338	0.0460684	0.0775183	0.142812	0.175048	0.37552
a87	0.0351743	0.0214485	0.0153923	0.0179536	0.0198548	0.0221235	0.0278463	0.0236932	0.0193383	0.0173945	0.0202973	0.0625213	0.067012	0.0987369	0.136353	0.144211	0.250649
a23	0.132119	0.0734606	0.0401866	0.0421843	0.0393236	0.0428136	0.0494865	0.0284939	0.0183524	0.0182101	0.025624	0.0570547	0.0584909	0.0701943	0.0792841	0.0912889	0.133432
a87	0.0400027	0.0216155	0.0132966	0.01108	0.0109091	0.0185659	0.0365309	0.0305948	0.018557	0.0211086	0.0256914	0.0645338	0.0526736	0.081896	0.126128	0.208005	0.218812
a23	0.0173652	0.0100154	0.00640757	0.00619432	0.00686616	0.0107278	0.0214067	0.0203466	0.0212831	0.0179576	0.0171067	0.0366387	0.0307451	0.0604884	0.130918	0.255996	0.329537
a87	0.0285033	0.0178927	0.0133163	0.0118953	0.0126148	0.021742	0.0447006	0.039846	0.0305662	0.0303808	0.0348474	0.0668023	0.051088	0.0818339	0.11985	0.182686	0.211434
</S>	0.0105807	0.00607666	0.00387009	0.00408564	0.0054614	0.00873687	0.0226367	0.0341716	0.0298757	0.0283256	0.0283894	0.0575774	0.0411611	0.071961	0.141077	0.221509	0.284504
